Player,PLayerID,"concat('https://baseballsavant.mlb.com/player?player_id=',PlayerID,'&pos=',Po,'&player_type=batter&season=2017&tab=zone_chart_tab#')"
"Schebler, S",594988,https://baseballsavant.mlb.com/player?player_id=594988&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Castro, S",516770,https://baseballsavant.mlb.com/player?player_id=516770&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Anderson, B",605119,https://baseballsavant.mlb.com/player?player_id=605119&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Markakis, N",455976,https://baseballsavant.mlb.com/player?player_id=455976&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Devers, R",646240,https://baseballsavant.mlb.com/player?player_id=646240&pos=3B&player_type=batter&season=2017&tab=zone_chart_tab#
"Swanson, D",621020,https://baseballsavant.mlb.com/player?player_id=621020&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Blackmon, C",453568,https://baseballsavant.mlb.com/player?player_id=453568&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Choo, S",425783,https://baseballsavant.mlb.com/player?player_id=425783&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Dozier, B",572821,https://baseballsavant.mlb.com/player?player_id=572821&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Hosmer, E",543333,https://baseballsavant.mlb.com/player?player_id=543333&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Gonzalez, A",408236,https://baseballsavant.mlb.com/player?player_id=408236&pos=1B&player_type=batter&season=2017&tab=zone_chart_tab#
"Kepler, M",596146,https://baseballsavant.mlb.com/player?player_id=596146&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Schoop, J",570731,https://baseballsavant.mlb.com/player?player_id=570731&pos=2B&player_type=batter&season=2017&tab=zone_chart_tab#
"Peralta, D",444482,https://baseballsavant.mlb.com/player?player_id=444482&pos=RF&player_type=batter&season=2017&tab=zone_chart_tab#
"Pirela, J",517369,https://baseballsavant.mlb.com/player?player_id=517369&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
"Pollock, A",572041,https://baseballsavant.mlb.com/player?player_id=572041&pos=CF&player_type=batter&season=2017&tab=zone_chart_tab#
"Ramirez, H",434670,https://baseballsavant.mlb.com/player?player_id=434670&pos=DH&player_type=batter&season=2017&tab=zone_chart_tab#
"Cabrera, A",452678,https://baseballsavant.mlb.com/player?player_id=452678&pos=SS&player_type=batter&season=2017&tab=zone_chart_tab#
"Posey, B",457763,https://baseballsavant.mlb.com/player?player_id=457763&pos=C&player_type=batter&season=2017&tab=zone_chart_tab#
"Schwarber, K",656941,https://baseballsavant.mlb.com/player?player_id=656941&pos=LF&player_type=batter&season=2017&tab=zone_chart_tab#
