"","RFPred","RFPer","RF_M","RF_P","Actual","Salary","Name","HTeam","Opp","Pts","Pos","C1B","C2B","C3B","C4B","C5B","C6B","C7B","C8B","C9B","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","Xgb","XgbPer","xgb_M","xgb_P","DNN","DNNPer"
"20449",6.66705555555556,0,-10,12,2,"4200","Joey Votto","CIN","ARI",1.7,"1B",1.1844,1.683,0.5291,2.5641,3.3936,2.2382,1.5015,2.5901,1.29,0.8874,0.8684,0.552,1.1978,1.7886,2.2644,1.1712,1.1623,1.6483,0,0,0,0,0,0
"20450",10.5148333333333,0,-7,10,0,"2000","Stuart Turner","CIN","ARI",2.3,"C",0,0,0,0,0,0,0,0,0,0.8874,0.8684,0.552,1.1978,1.7886,2.2644,1.1712,1.1623,1.6483,0,0,0,0,0,0
"20451",5.54511111111111,0,-8,2,0,"4000","Adam Duvall","CIN","ARI",1.7,"OF",0.5735,0.8892,1.008,1.835,2.92,2.5979,0.7,1.788,1.4464,0.8874,0.8684,0.552,1.1978,1.7886,2.2644,1.1712,1.1623,1.6483,0,0,0,0,0,0
"20452",5.29838888888889,0,-9,21,0,"3200","Scott Schebler","CIN","ARI",1.9,"OF",1.6016,1.3884,0.912,1.6165,2.1318,1.0845,1.1183,2.366,0.6336,0.8874,0.8684,0.552,1.1978,1.7886,2.2644,1.1712,1.1623,1.6483,0,0,0,0,0,0
"20453",9.93711111111111,0,-8,22,8,"3700","Billy Hamilton","CIN","ARI",1.3,"OF",1.35,1.272,0.9856,1.7958,1.998,1.7703,0.9853,1.917,1.87,0.8874,0.8684,0.552,1.1978,1.7886,2.2644,1.1712,1.1623,1.6483,0,0,0,0,0,0
"20454",5.65461111111111,0,-4,8,5,"3200","Jose Peraza","CIN","ARI",1.8,"2B/SS",1.1304,0.9894,1,1.175,2.3976,2.002,1.0296,1.456,2.769,0.8874,0.8684,0.552,1.1978,1.7886,2.2644,1.1712,1.1623,1.6483,0,0,0,0,0,0
"20455",6.157,0,-12,33,24,"3500","Zack Cozart","CIN","ARI",1.9,"SS",0.7918,2.3375,1.0176,1.1662,2.9016,3.5178,0.2387,2.1546,1.89,0.8874,0.8684,0.552,1.1978,1.7886,2.2644,1.1712,1.1623,1.6483,0,0,0,0,0,0
"20456",10.619,0,-9,-1,9,"2900","Eugenio Suarez","CIN","ARI",2.1,"3B",1.435,0.9,0.4025,1.804,2.8584,1.7554,1.1515,2.0292,1.7688,0.8874,0.8684,0.552,1.1978,1.7886,2.2644,1.1712,1.1623,1.6483,0,0,0,0,0,0
"20457",9.04255555555556,0,-6,7,5,"3100","Albert Almora","CHC","ATL",1.9,"OF",0,0,0,0,0,0,0,0,0,0.5875,1.9721,1.0395,1.0857,1.2172,2.6791,0.4125,1.8734,1.68,0,0,0,0,0,0
"20458",11.2155555555556,0,-13,22,4,"5100","Anthony Rizzo","CHC","ATL",1.5,"1B",0.6944,0.9102,1.155,1.953,2.5461,1.4986,2.3316,3.4017,0.7744,0.5875,1.9721,1.0395,1.0857,1.2172,2.6791,0.4125,1.8734,1.68,0,0,0,0,0,0
"20459",11.6736666666667,0,-7,19,20,"4200","Willson Contreras","CHC","ATL",1.7,"C",0.4085,1.1172,1.5582,1.9437,2.6307,2.9607,1.1172,1.9485,1.6543,0.5875,1.9721,1.0395,1.0857,1.2172,2.6791,0.4125,1.8734,1.68,0,0,0,0,0,0
"20460",11.2106111111111,0,-8,15,20,"3600","Javier Baez","CHC","ATL",1.7,"2B/SS",0.7548,0.8399,1.3904,2.0633,2.5281,1.9564,1.1552,2.2774,1.9712,0.5875,1.9721,1.0395,1.0857,1.2172,2.6791,0.4125,1.8734,1.68,0,0,0,0,0,0
"20461",6.80711111111111,0,-5,6,6,"4000","Jason Heyward","CHC","ATL",1.5,"OF",1.1296,1.1029,1.5024,1.925,2.2902,1.3482,1.475,1.8018,1.344,0.5875,1.9721,1.0395,1.0857,1.2172,2.6791,0.4125,1.8734,1.68,0,0,0,0,0,0
"20462",11.8591111111111,0,-6,14,0,"4100","Addison Russell","CHC","ATL",1.7,"SS",1.0296,0.792,0.8,1.1914,1.703,2.1805,0.825,2.68,1.9276,0.5875,1.9721,1.0395,1.0857,1.2172,2.6791,0.4125,1.8734,1.68,0,0,0,0,0,0
