RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
3.058888889,0.139040404,-1,13,0,2200,Drew Robinson (L),TEX,LAA,0,2B/OF,0,0,0,0,0,0
3.047833333,0.117224359,-10,4,0,2600,Martin Maldonado (R),LAA,TEX,2.2,C,0,0,0,0,0,0
2.891111111,0.111196581,-4,13,9,2600,Drew Butera (R),KC,CLE,1.3,C,0,0,0,0,0,0
2.830222222,0.104823045,-5,20,3,2700,Guillermo Heredia (S),SEA,HOU,1.7,OF,0,0,0,0,0,0
2.805444444,0.073827485,-8,18,0,3800,Michael Taylor (R),WSH,LAD,1.5,OF,0,0,0,0,0,0
2.785611111,0.084412458,-7,9,0,3300,Miguel Cabrera (R),DET,CWS,0,1B,0,0,0,0,0,0
2.728722222,0.09409387,-6,9,0,2900,Adam Rosales (R),ARI,SF,1.8,SS,0,0,0,0,0,0
2.609,0.072472222,-6,15,3,3600,Corey Dickerson (L),TB,BOS,1.7,OF,0,0,0,0,0,0
2.403611111,0.085843254,-6,12,2,2800,Mallex Smith (L),TB,BOS,1.8,OF,0,0,0,0,0,0
1.531611111,0.04940681,-6,9,13,3100,Yandy Diaz (R),CLE,KC,1.7,3B,0,0,0,0,0,0
