RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
12.93266667,0.230940476,-7,23,15,5600,Giancarlo Stanton (R),MIA,CIN,1.4,OF,0,0,0,0,0,0
14.93077778,0.271468687,-14,-1,10,5500,Cody Bellinger (L),LAD,SF,1.5,1B/OF,0,0,0,0,0,0
12.82005556,0.228929563,-9,19,6,5600,Anthony Rizzo (L),CHC,MIL,1.5,1B,0,0,0,0,0,0
9.205611111,0.164385913,-12,6,0,5600,Charlie Blackmon (L),COL,WSH,1.4,OF,0,0,0,0,0,0
13.16061111,0.230887914,-15,17,0,5700,Jose Altuve (R),HOU,DET,1.4,2B,0,0,0,0,0,0
13.1525,0.248160377,-6,19,17,5300,Corey Seager (L),LAD,SF,1.5,SS,0,0,0,0,0,0
13.04133333,0.232880952,-10,19,10,5600,Mike Trout (R),LAA,TOR,1.5,OF,0,0,0,0,0,0
10.62472222,0.193176768,-11,10,0,5500,Nolan Arenado (R),COL,WSH,1.3,3B,0,0,0,0,0,0
10.4655,0.190281818,-7,14,0,5500,Bryce Harper (L),WSH,COL,1.4,OF,0,0,0,0,0,0
4.766444444,0.089932914,-1,21,9,5300,Edwin Encarnacion (R),CLE,CWS,1.4,1B,0,0,0,0,0,0
6.668611111,0.128242521,-4,14,23,5200,Paul Goldschmidt (R),ARI,STL,1.4,1B,0,0,0,0,0,0
11.76061111,0.226165598,-13,4,22,5200,Steven Souza (R),TB,NYY,1.4,OF,0,0,0,0,0,0
11.72266667,0.205660819,-8,16,2,5700,Aaron Judge (R),NYY,TB,1.4,OF,0,0,0,0,0,0
11.71377778,0.254647343,-7,19,3,4600,Corey Dickerson (L),TB,NYY,1.4,OF,0,0,0,0,0,0
11.63244444,0.276962963,-9,12,3,4200,Alex Bregman (R),HOU,DET,1.6,3B,0,0,0,0,0,0
11.54588889,0.372448029,-13,9,0,3100,C.J. Cron (R),LAA,TOR,2,1B,0,0,0,0,0,0
5.8545,0.114794118,-10,25,14,5100,J.D. Martinez (R),ARI,STL,1.3,OF,0,0,0,0,0,0
11.34211111,0.210039095,-7,21,6,5400,Justin Smoak (S),TOR,LAA,1.4,1B,0,0,0,0,0,0
11.23077778,0.244147343,-9,28,5,4600,Josh Reddick (L),HOU,DET,1.7,OF,0,0,0,0,0,0
11.19594444,0.243390097,-5,14,5,4600,Brett Gardner (L),NYY,TB,1.8,OF,0,0,0,0,0,0
12.39161111,0.247832222,-6,16,13,5000,Kris Bryant (R),CHC,MIL,1.7,3B,0,0,0,0,0,0
7.996111111,0.159922222,-8,11,11,5000,A.J. Pollock (R),ARI,STL,1.5,OF,0,0,0,0,0,0
10.27483333,0.209690476,-11,8,19,4900,Joey Votto (L),CIN,MIA,1.4,1B,0,0,0,0,0,0
10.76388889,0.229018913,-12,12,21,4700,Gary Sanchez (R),NYY,TB,1.6,C,0,0,0,0,0,0
8.0685,0.164663265,-6,8,7,4900,Michael Brantley (L),CLE,CWS,1.5,OF,0,0,0,0,0,0
7.996222222,0.163188209,-2,8,9,4900,Bradley Zimmer (L),CLE,CWS,1.6,OF,0,0,0,0,0,0
15.51805556,0.323292824,-6,32,9,4800,Jonathan Schoop (R),BAL,TEX,1.8,2B,0,0,0,0,0,0
9.094,0.189458333,-10,31,0,4800,Daniel Murphy (L),WSH,COL,1.4,2B,0,0,0,0,0,0
6.262444444,0.130467593,-12,12,14,4800,Gerardo Parra (L),COL,WSH,1.2,OF,0,0,0,0,0,0
10.57427778,0.224984634,-10,8,4,4700,Willson Contreras (R),CHC,MIL,1.6,C,0,0,0,0,0,0
8.335277778,0.177346336,-12,19,3,4700,Adrian Beltre (R),TEX,BAL,1.6,3B,0,0,0,0,0,0
10.4645,0.337564516,-15,14,0,3100,Alex Avila (L),DET,HOU,2.1,1B/C,0,0,0,0,0,0
7.494611111,0.159459811,-10,7,8,4700,Jake Lamb (L),ARI,STL,1.5,3B,0,0,0,0,0,0
6.142722222,0.130696217,-10,11,4,4700,Mookie Betts (R),BOS,KC,1.8,OF,0,0,0,0,0,0
9.608944444,0.208890097,-3,9,5,4600,Adam Jones (R),BAL,TEX,2,OF,0,0,0,0,0,0
8.008944444,0.174107488,-6,7,7,4600,Eric Hosmer (L),KC,BOS,1.4,1B,0,0,0,0,0,0
7.729777778,0.168038647,-9,10,13,4600,Francisco Lindor (S),CLE,CWS,1.7,SS,0,0,0,0,0,0
