,RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
21497,5.143777778,0.177371648,-5,12,2,2900,Matt Chapman (R),OAK,TOR,2.2,3B,0,0,0,0,0,0
21500,4.932055556,0.189694444,-4,10,0,2600,Bruce Maxwell (L),OAK,TOR,1.9,C,0,0,0,0,0,0
21498,4.531055556,0.119238304,-10,0,8,3800,Yonder Alonso (L),OAK,TOR,1.7,1B,0,0,0,0,0,0
21359,9.269944444,0.243945906,-4,9,9,3800,Freddy Galvis (S),PHI,HOU,1.8,SS,0,0,0,0,0,0
21356,8.832055556,0.245334877,-5,9,22,3600,Cesar Hernandez (S),PHI,HOU,1.9,2B,0,0,0,0,0,0
21354,7.361111111,0.198948949,-11,11,15,3700,Aaron Altherr (R),PHI,HOU,1.7,OF,0,0,0,0,0,0
21358,7.159833333,0.223744792,-5,5,23,3200,Tommy Joseph (R),PHI,HOU,1.8,1B,0,0,0,0,0,0
21357,7.121888889,0.187418129,-10,21,2,3800,Howie Kendrick (R),PHI,HOU,0,2B/OF,0,0,0,0,0,0
21352,7.075722222,0.221116319,-5,16,32,3200,Cameron Rupp (R),PHI,HOU,1.6,C,0,0,0,0,0,0
21353,7.022944444,0.212816498,-10,12,10,3300,Nick Williams (L),PHI,HOU,1.9,OF,0,0,0,0,0,0
21355,3.776333333,0.111068627,-8,6,21,3400,Maikel Franco (R),PHI,HOU,1.6,3B,0,0,0,0,0,0
21414,10.42966667,0.347655556,-6,7,3,3000,Jabari Blash (R),SD,NYM,2.1,OF,0,0,0,0,0,0
21416,9.570888889,0.478544444,-3,1,0,2000,Allen Cordoba (R),SD,NYM,2.4,OF/SS,0,0,0,0,0,0
21413,9.148277778,0.240744152,-8,8,9,3800,Wil Myers (R),SD,NYM,2,1B,0,0,0,0,0,0
21415,8.275555556,0.295555556,-4,12,26,2800,Manuel Margot (R),SD,NYM,2.5,OF,0,0,0,0,0,0
21417,6.816,0.194742857,-10,11,9,3500,Hunter Renfroe (R),SD,NYM,2,OF,0,0,0,0,0,0
21418,6.549111111,0.181919753,-9,-2,5,3600,Jose Pirela (R),SD,NYM,2,OF,0,0,0,0,0,0
21411,6.098166667,0.16047807,-6,25,5,3800,Cory Spangenberg (L),SD,NYM,1.6,3B/OF,0,0,0,0,0,0
21412,2.765833333,0.138291667,-3,4,14,2000,Luis Torrens (R),SD,NYM,2.3,C,0,0,0,0,0,0
21296,10.29938889,0.294268254,-5,13,6,3500,Ben Gamel (L),SEA,BOS,1.6,OF,0,0,0,0,0,0
21291,8.993833333,0.359753333,-12,8,9,2500,Guillermo Heredia (S),SEA,BOS,1.7,OF,0,0,0,0,0,0
21297,8.643333333,0.246952381,-8,1,3,3500,Kyle Seager (L),SEA,BOS,1.5,3B,0,0,0,0,0,0
21290,7.726944444,0.214637346,-9,14,0,3600,Nelson Cruz (R),SEA,BOS,1.7,OF,0,0,0,0,0,0
21466,5.51,0.141282051,-8,2,11,3900,Josh Harrison (R),PIT,SF,1.6,2B/3B,0,0,0,0,0,0
21293,6.6325,0.236875,-5,10,0,2800,Danny Espinosa (S),SEA,BOS,1.5,2B,0,0,0,0,0,0
21294,6.226944444,0.214722222,-4,13,0,2900,Danny Valencia (R),SEA,BOS,1.8,1B,0,0,0,0,0,0
21295,5.790388889,0.214458848,-11,15,2,2700,Mitch Haniger (R),SEA,BOS,1.7,OF,0,0,0,0,0,0
21298,5.710055556,0.237918981,-8,6,0,2400,Carlos Ruiz (R),SEA,BOS,1.5,C,0,0,0,0,0,0
21292,5.270055556,0.150573016,-6,5,5,3500,Jean Segura (R),SEA,BOS,2,SS,0,0,0,0,0,0
21326,14.75327778,0.327850617,-11,11,16,4500,Tommy Pham (R),STL,COL,1.8,OF,0,0,0,0,0,0
21328,11.68316667,0.417255952,-10,-2,13,2800,Harrison Bader (R),STL,COL,2,OF,0,0,0,0,0,0
21327,10.41777778,0.297650794,-10,5,16,3500,Paul DeJong (R),STL,COL,2.1,2B/SS,0,0,0,0,0,0
21331,8.457166667,0.256277778,-11,7,14,3300,Yadier Molina (R),STL,COL,2,C,0,0,0,0,0,0
21333,6.999,0.194416667,-7,3,16,3600,Matt Carpenter (L),STL,COL,2.2,1B,0,0,0,0,0,0
21330,6.352833333,0.154947154,-7,10,14,4100,Randal Grichuk (R),STL,COL,1.7,OF,0,0,0,0,0,0
21329,6.027833333,0.182661616,-5,8,10,3300,Kolten Wong (L),STL,COL,1.8,2B,0,0,0,0,0,0
21313,5.253,0.169451613,-3,19,12,3100,Ronald Torreyes (R),NYY,CIN,1.8,3B/SS,0,0,0,0,0,0
21467,5.232833333,0.121693798,-6,11,0,4300,Starling Marte (R),PIT,SF,1.6,OF,0,0,0,0,0,0
21332,4.322277778,0.127125817,-11,4,4,3400,Jedd Gyorko (R),STL,COL,2.1,3B,0,0,0,0,0,0
21285,8.195333333,0.221495495,-4,15,24,3700,Evan Longoria (R),TB,BAL,2,3B,0,0,0,0,0,0
21460,5.188666667,0.225594203,-7,16,4,2300,John Jaso (L),PIT,SF,2.4,1B/OF,0,0,0,0,0,0
21281,7.1005,0.273096154,-7,24,3,2600,Tim Beckham (R),TB,BAL,2.3,SS,0,0,0,0,0,0
21286,6.359388889,0.141319753,-11,7,21,4500,Steven Souza (R),TB,BAL,1.5,OF,0,0,0,0,0,0
21288,5.874888889,0.133520202,-7,3,4,4400,Mallex Smith (L),TB,BAL,1.8,OF,0,0,0,0,0,0
21282,4.779111111,0.11378836,-6,8,5,4200,Logan Morrison (L),TB,BAL,1.7,1B,0,0,0,0,0,0
21451,5.009333333,0.200373333,-9,14,0,2500,Conor Gillaspie (L),SF,PIT,2,3B,0,0,0,0,0,0
21283,4.690666667,0.180410256,-9,11,0,2600,Adeiny Hechavarria (R),TB,BAL,1.9,SS,0,0,0,0,0,0
21289,4.453,0.101204545,-16,13,4,4400,Corey Dickerson (L),TB,BAL,1.8,OF,0,0,0,0,0,0
21287,4.291166667,0.122604762,-8,8,2,3500,Brad Miller (L),TB,BAL,1.9,2B,0,0,0,0,0,0
21284,2.402277778,0.075071181,-14,2,5,3200,Wilson Ramos (R),TB,BAL,1.8,C,0,0,0,0,0,0
21392,13.30333333,0.309379845,-8,21,8,4300,Shin-Soo Choo (L),TEX,MIA,2,OF,0,0,0,0,0,0
21447,4.918444444,0.153701389,-5,6,11,3200,Gorkys Hernandez (R),SF,PIT,1.6,OF,0,0,0,0,0,0
21389,12.13122222,0.327870871,-11,18,9,3700,Mike Napoli (R),TEX,MIA,2.1,1B,0,0,0,0,0,0
21386,11.01055556,0.305848765,-5,9,9,3600,Joey Gallo (L),TEX,MIA,2.2,1B/3B,0,0,0,0,0,0
