RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
19.51555556,0.47598916,-11,18,7,4100,Justin Upton (R),LAA,HOU,1.9,OF,0,0,0,0,0,0
18.54861111,0.431363049,-8,18,10,4300,Jean Segura (R),SEA,TEX,2,SS,0,0,0,0,0,0
16.90138889,0.5121633,-7,9,14,3300,Mike Zunino (R),SEA,TEX,2.2,C,0,0,0,0,0,0
15.38805556,0.279782828,-7,20,0,5500,Mookie Betts (R),BOS,OAK,1.6,OF,0,0,0,0,0,0
15.19888889,0.361878307,-10,20,0,4200,Zack Cozart (R),CIN,STL,1.5,SS,0,0,0,0,0,0
14.65255556,0.257062378,-13,12,19,5700,J.D. Martinez (R),ARI,COL,1.4,OF,0,0,0,0,0,0
14.56838889,0.297314059,-12,12,35,4900,Tommy Pham (R),STL,CIN,1.7,OF,0,0,0,0,0,0
14.3775,0.28755,-7,15,4,5000,Robinson Cano (L),SEA,TEX,1.6,2B,0,0,0,0,0,0
14.34688889,0.326065657,-9,7,2,4400,Matt Olson (L),OAK,BOS,1.5,1B/OF,0,0,0,0,0,0
13.75655556,0.393044444,-12,2,17,3500,Nick Castellanos (R),DET,CWS,2.1,3B,0,0,0,0,0,0
13.34327778,0.234092593,-8,14,7,5700,Francisco Lindor (S),CLE,KC,1.4,SS,0,0,0,0,0,0
13.34144444,0.266828889,-6,17,15,5000,Kris Bryant (R),CHC,NYM,1.6,3B,0,0,0,0,0,0
12.983,0.360638889,-8,8,4,3600,Jed Lowrie (S),OAK,BOS,1.8,2B,0,0,0,0,0,0
12.56294444,0.279176543,-7,6,5,4500,Didi Gregorius (L),NYY,BAL,1.5,SS,0,0,0,0,0,0
12.48255556,0.356644444,-10,17,24,3500,Yonder Alonso (L),SEA,TEX,2.2,1B,0,0,0,0,0,0
12.46422222,0.336870871,-6,10,5,3700,Odubel Herrera (L),PHI,MIA,2.2,OF,0,0,0,0,0,0
11.9785,0.323743243,-10,14,14,3700,Joey Gallo (L),TEX,SEA,2.3,1B/3B,0,0,0,0,0,0
11.7575,0.267215909,-7,9,0,4400,Shin-Soo Choo (L),TEX,SEA,1.9,OF,0,0,0,0,0,0
11.61583333,0.341642157,-9,11,0,3400,Derek Dietrich (L),MIA,PHI,1.9,3B,0,0,0,0,0,0
11.36922222,0.241898345,-14,11,10,4700,Jose Martinez (R),STL,CIN,1.6,1B/OF,0,0,0,0,0,0
11.17611111,0.237789598,-6,33,23,4700,Gary Sanchez (R),NYY,BAL,1.6,C,0,0,0,0,0,0
11.04811111,0.24551358,-11,19,27,4500,Kyle Seager (L),SEA,TEX,1.7,3B,0,0,0,0,0,0
11.04433333,0.290640351,-10,15,8,3800,Marcus Semien (R),OAK,BOS,1.9,SS,0,0,0,0,0,0
10.99727778,0.305479938,-4,15,7,3600,Javier Baez (R),CHC,NYM,2,2B/SS,0,0,0,0,0,0
10.94455556,0.260584656,-8,11,6,4200,Matt Carpenter (L),STL,CIN,2,1B,0,0,0,0,0,0
10.94411111,0.288002924,-5,4,7,3800,Rafael Devers (L),BOS,OAK,1.9,3B,0,0,0,0,0,0
10.69472222,0.344991039,-9,4,12,3100,Harrison Bader (R),STL,CIN,2.2,OF,0,0,0,0,0,0
10.623,0.287108108,-9,15,20,3700,Rougned Odor (L),TEX,SEA,2.1,2B,0,0,0,0,0,0
10.55927778,0.329977431,-11,12,14,3200,Alen Hanson (S),CWS,DET,1.8,2B/OF,0,0,0,0,0,0
10.50016667,0.198116352,-8,4,36,5300,Anthony Rizzo (L),CHC,NYM,1.5,1B,0,0,0,0,0,0
10.44888889,0.232197531,-12,2,4,4500,Mitch Haniger (R),SEA,TEX,1.8,OF,0,0,0,0,0,0
10.34744444,0.27230117,-19,1,17,3800,Tim Anderson (R),CWS,DET,2.1,SS,0,0,0,0,0,0
10.286,0.278,-12,4,7,3700,Mitch Moreland (L),BOS,OAK,2,1B,0,0,0,0,0,0
10.26716667,0.366684524,-7,14,0,2800,Willie Calhoun (L),TEX,SEA,1.8,2B/OF,0,0,0,0,0,0
10.17066667,0.339022222,-7,7,3,3000,Tucker Barnhart (S),CIN,STL,1.6,C,0,0,0,0,0,0
10.15794444,0.260460114,-6,21,5,3900,Whit Merrifield (R),KC,CLE,1.9,2B,0,0,0,0,0,0
10.10822222,0.252705556,-14,9,9,4000,Josh Donaldson (R),TOR,MIN,1.8,3B,0,0,0,0,0,0
9.935888889,0.268537538,-11,10,3,3700,Randal Grichuk (R),STL,CIN,1.9,OF,0,0,0,0,0,0
9.934777778,0.310461806,-10,5,6,3200,Kurt Suzuki (R),ATL,WSH,1.7,C,0,0,0,0,0,0
9.876888889,0.214714976,-5,30,0,4600,Carlos Gonzalez (L),COL,ARI,1.4,OF,0,0,0,0,0,0
9.744333333,0.348011905,-8,4,7,2800,James McCann (R),DET,CWS,2.3,C,0,0,0,0,0,0
9.694055556,0.269279321,-7,5,16,3600,Cesar Hernandez (S),PHI,MIA,2.3,2B,0,0,0,0,0,0
