RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
19.37211111,0.523570571,-7,14,0,3700,Justin Smoak (S),TOR,CWS,2.2,1B,0,0,0,0,0,0
18.27288889,0.38878487,-8,14,0,4700,Adam Eaton (L),WSH,ATL,1.6,OF,0,0,0,0,0,0
16.67255556,0.45060961,-10,7,0,3700,Paul DeJong (R),STL,MIL,1.7,SS,0,0,0,0,0,0
16.09944444,0.473513072,-9,9,0,3400,Odubel Herrera (L),PHI,NYM,1.7,OF,0,0,0,0,0,0
15.68605556,0.522868519,-11,3,0,3000,Kendrys Morales (S),TOR,CWS,2.4,1B,0,0,0,0,0,0
10.46405556,0.348801852,-3,26,0,3000,Yan Gomes (R),CLE,LAA,1.7,C,0,0,0,0,0,0
15.39166667,0.496505376,-11,11,0,3100,Nicky Delmonico (L),CWS,TOR,1.7,OF,0,0,0,0,0,0
15.38027778,0.480633681,-5,11,0,3200,Chris Owings (R),ARI,LAD,1.8,2B/OF,0,0,0,0,0,0
14.58522222,0.331482323,-9,11,0,4400,Zack Cozart (R),LAA,CLE,1.7,SS,0,0,0,0,0,0
14.36744444,0.342082011,-4,6,0,4200,Lorenzo Cain (R),MIL,STL,2.1,OF,0,0,0,0,0,0
13.92283333,0.480097701,-10,1,0,2900,Brian Goodwin (L),WSH,ATL,2.3,OF,0,0,0,0,0,0
13.3865,0.371847222,1,18,0,3600,Ozzie Albies (S),ATL,WSH,2.1,2B,0,0,0,0,0,0
13.17233333,0.346640351,-7,41,0,3800,Avisail Garcia (R),CWS,TOR,1.8,OF,0,0,0,0,0,0
13.08094444,0.251556624,-11,8,0,5200,Mike Trout (R),LAA,CLE,1.6,OF,0,0,0,0,0,0
13.01933333,0.26570068,-11,15,0,4900,Yoenis Cespedes (R),NYM,PHI,1.3,OF,0,0,0,0,0,0
13.017,0.394454545,-9,10,0,3300,Josh Reddick (L),HOU,BAL,2.2,OF,0,0,0,0,0,0
12.97816667,0.31654065,-4,16,0,4100,Matt Olson (L),OAK,TEX,1.7,1B,0,0,0,0,0,0
12.75716667,0.318929167,-7,44,0,4000,Ryan Zimmerman (R),WSH,ATL,1.9,1B,0,0,0,0,0,0
12.656,0.294325581,-5,8,0,4300,Alex Bregman (R),HOU,BAL,2,3B,0,0,0,0,0,0
12.57988889,0.503195556,-8,10,0,2500,Rajai Davis (R),CLE,LAA,2.4,OF,0,0,0,0,0,0
12.37233333,0.412411111,-13,14,0,3000,Hunter Renfroe (R),SD,COL,2.2,OF,0,0,0,0,0,0
5.451833333,0.201919753,-5,24,0,2700,Chance Sisco (L),BAL,HOU,1.5,C,0,0,0,0,0,0
12.24416667,0.278276515,-11,7,0,4400,Francisco Lindor (S),CLE,LAA,1.7,SS,0,0,0,0,0,0
12.22244444,0.249437642,-14,24,0,4900,Rhys Hoskins (R),PHI,NYM,1.3,OF,0,0,0,0,0,0
12.12461111,0.378894097,-10,22,0,3200,Jose Pirela (R),SD,COL,2.1,OF,0,0,0,0,0,0
12.07372222,0.274402778,-5,28,0,4400,Jose Abreu (R),CWS,TOR,1.6,1B,0,0,0,0,0,0
11.98583333,0.260561594,-11,9,0,4600,Khris Davis (R),OAK,TEX,1.6,OF,0,0,0,0,0,0
5.056277778,0.168542593,-4,23,0,3000,Robinson Chirinos (R),TEX,OAK,2,C,0,0,0,0,0,0
11.63688889,0.283826558,-10,21,0,4100,Eric Thames (L),MIL,STL,1.9,1B,0,0,0,0,0,0
11.62233333,0.400770115,-1,31,0,2900,Chad Pinder (R),OAK,TEX,1.9,OF/SS,0,0,0,0,0,0
11.58077778,0.386025926,-14,7,0,3000,Luis Valbuena (L),LAA,CLE,2,1B/3B,0,0,0,0,0,0
11.42966667,0.336166667,-5,19,0,3400,Jed Lowrie (S),OAK,TEX,2.1,2B,0,0,0,0,0,0
11.35783333,0.252396296,-14,12,0,4500,Jose Ramirez (S),CLE,LAA,1.5,2B/3B,0,0,0,0,0,0
11.18427778,0.310674383,-9,11,0,3600,Trevor Story (R),COL,SD,1.7,SS,0,0,0,0,0,0
11.09094444,0.284383191,-12,2,0,3900,Yonder Alonso (L),CLE,LAA,1.6,1B,0,0,0,0,0,0
11.08255556,0.307848765,-7,11,0,3600,Marwin Gonzalez (S),HOU,BAL,2.1,1B/OF,0,0,0,0,0,0
11.00983333,0.215879085,-9,7,0,5100,Jose Altuve (R),HOU,BAL,1.7,2B,0,0,0,0,0,0
10.67838889,0.266959722,-7,13,0,4000,Yasiel Puig (R),LAD,ARI,1.8,OF,0,0,0,0,0,0
10.63311111,0.322215488,-6,4,0,3300,Asdrubal Cabrera (S),NYM,PHI,2,2B,0,0,0,0,0,0
10.60811111,0.331503472,-16,8,0,3200,Randal Grichuk (R),TOR,CWS,2.3,OF,0,0,0,0,0,0
10.60622222,0.331444444,-5,23,0,3200,Aaron Altherr (R),PHI,NYM,2,OF,0,0,0,0,0,0
4.473444444,0.131571895,-8,22,0,3400,Welington Castillo (R),CWS,TOR,1.7,C,0,0,0,0,0,0
10.28894444,0.239277778,-9,25,0,4300,Carlos Santana (S),PHI,NYM,1.6,1B,0,0,0,0,0,0
10.18033333,0.290866667,-10,8,0,3500,Matt Carpenter (L),STL,MIL,2.1,1B,0,0,0,0,0,0
10.08694444,0.219281401,-12,24,0,4600,Nolan Arenado (R),COL,SD,1.6,3B,0,0,0,0,0,0
10.01155556,0.294457516,-8,8,0,3400,Wil Myers (R),SD,COL,2.2,1B/OF,0,0,0,0,0,0
9.906888889,0.341616858,-6,11,0,2900,Yangervis Solarte (S),TOR,CWS,2.5,2B/SS,0,0,0,0,0,0
9.799555556,0.233322751,-5,8,0,4200,Matt Davidson (R),CWS,TOR,1.5,1B/3B,0,0,0,0,0,0
9.774944444,0.195498889,-9,13,0,5000,Carlos Correa (R),HOU,BAL,1.6,SS,0,0,0,0,0,0
9.725888889,0.255944444,-7,9,0,3800,Joey Gallo (L),TEX,OAK,2,1B/OF,0,0,0,0,0,0
9.708333333,0.313172043,-10,31,0,3100,Adam Engel (R),CWS,TOR,1.7,OF,0,0,0,0,0,0
9.648277778,0.201005787,-10,23,0,4800,Trea Turner (R),WSH,ATL,1.6,SS,0,0,0,0,0,0
9.644222222,0.247287749,-11,6,0,3900,Tim Anderson (R),CWS,TOR,1.6,SS,0,0,0,0,0,0
9.409222222,0.224029101,-13,2,0,4200,Justin Upton (R),LAA,CLE,1.8,OF,0,0,0,0,0,0
9.385833333,0.253671171,-9,18,0,3700,Howie Kendrick (R),WSH,ATL,1.9,2B/OF,0,0,0,0,0,0
9.370333333,0.212962121,-9,23,0,4400,Ryan Braun (R),MIL,STL,1.8,1B/OF,0,0,0,0,0,0
9.353555556,0.275104575,-8,15,0,3400,Matt Kemp (R),LAD,ARI,1.9,OF,0,0,0,0,0,0
9.350333333,0.246061404,-15,11,0,3800,Cesar Hernandez (S),PHI,NYM,1.8,2B,0,0,0,0,0,0
5.121277778,0.155190236,-6,20,0,3300,Jonathan Lucroy (R),OAK,TEX,1.6,C,0,0,0,0,0,0
9.228055556,0.242843567,-11,18,0,3800,Yadier Molina (R),STL,MIL,1.7,C,0,0,0,0,0,0
9.144333333,0.261266667,-6,13,0,3500,Tommy Pham (R),STL,MIL,2.3,OF,0,0,0,0,0,0
9.11,0.303666667,-10,3,0,3000,Stephen Piscotty (R),OAK,TEX,2,OF,0,0,0,0,0,0
9.066555556,0.266663399,-8,7,0,3400,Brandon Nimmo (L),NYM,PHI,1.9,OF,0,0,0,0,0,0
9.024777778,0.250688272,-7,14,0,3600,Marcus Semien (R),OAK,TEX,2.1,SS,0,0,0,0,0,0
9.011055556,0.214548942,-9,10,0,4200,Travis Shaw (L),MIL,STL,1.9,3B,0,0,0,0,0,0
8.974111111,0.271942761,-9,9,0,3300,J.P. Crawford (L),PHI,NYM,1.3,SS,0,0,0,0,0,0
8.973833333,0.249273148,-10,17,0,3600,Matt Chapman (R),OAK,TEX,1.7,3B,0,0,0,0,0,0
5.696833333,0.196442529,-6,15,0,2900,Austin Hedges (R),SD,COL,1.8,C,0,0,0,0,0,0
8.897666667,0.240477477,-9,10,0,3700,Todd Frazier (R),NYM,PHI,1.7,3B,0,0,0,0,0,0
8.851333333,0.252895238,-12,-1,0,3500,Jonathan Villar (S),MIL,STL,2,2B,0,0,0,0,0,0
8.829277778,0.294309259,-11,3,0,3000,Bradley Zimmer (L),CLE,LAA,1.7,OF,0,0,0,0,0,0
8.8265,0.259602941,-8,8,0,3400,Albert Pujols (R),LAA,CLE,1.9,1B,0,0,0,0,0,0
8.759888889,0.208568783,-11,6,0,4200,A.J. Pollock (R),ARI,LAD,1.5,OF,0,0,0,0,0,0
8.736888889,0.208021164,-5,13,0,4200,Josh Donaldson (R),TOR,CWS,2,3B,0,0,0,0,0,0
8.7015,0.255926471,-8,10,0,3400,Jonathan Schoop (R),BAL,HOU,1.9,2B,0,0,0,0,0,0
8.672777778,0.163637317,-9,30,0,5300,Bryce Harper (L),WSH,ATL,1.5,OF,0,0,0,0,0,0
8.660111111,0.216502778,-9,14,0,4000,Corey Seager (L),LAD,ARI,1.8,SS,0,0,0,0,0,0
8.628111111,0.261457912,-7,16,0,3300,Ian Desmond (R),COL,SD,1.8,1B/OF,0,0,0,0,0,0
8.595277778,0.209640921,-14,6,0,4100,Cody Bellinger (L),LAD,ARI,1.8,1B,0,0,0,0,0,0
8.576222222,0.214405556,-7,21,0,4000,Jason Kipnis (L),CLE,LAA,1.6,2B,0,0,0,0,0,0
8.550555556,0.294846743,-10,9,0,2900,Scott Kingery ( ),PHI,NYM,1.7,2B/3B,0,0,0,0,0,0
8.536111111,0.213402778,-15,27,0,4000,Marcell Ozuna (R),STL,MIL,1.8,OF,0,0,0,0,0,0
8.532166667,0.198422481,-7,5,0,4300,Edwin Encarnacion (R),CLE,LAA,1.5,1B,0,0,0,0,0,0
8.525444444,0.185335749,-7,3,0,4600,Freddie Freeman (L),ATL,WSH,1.7,1B,0,0,0,0,0,0
8.474888889,0.338995556,-9,5,0,2500,Christian Villanueva (R),SD,COL,2.3,3B,0,0,0,0,0,0
8.439,0.291,-6,3,0,2900,Shohei Ohtani (L),LAA,CLE,0,OF,0,0,0,0,0,0
8.436833333,0.255661616,-6,11,0,3300,Dexter Fowler (S),STL,MIL,2.3,OF,0,0,0,0,0,0
7.696833333,0.334644928,-7,13,0,2300,J.R. Murphy (R),ARI,LAD,1.9,C,0,0,0,0,0,0
6.1615,0.236980769,-6,13,0,2600,Rene Rivera (R),LAA,CLE,1.9,C,0,0,0,0,0,0
8.376166667,0.253823232,-9,8,0,3300,Rougned Odor (L),TEX,OAK,1.8,2B,0,0,0,0,0,0
8.314,0.277133333,-7,8,0,3000,Tyler Naquin (L),CLE,LAA,1.3,OF,0,0,0,0,0,0
8.247777778,0.24993266,-6,10,0,3300,Enrique Hernandez (R),LAD,ARI,2.1,OF,0,0,0,0,0,0
8.1515,0.169822917,-10,12,0,4800,Christian Yelich (L),MIL,STL,1.7,OF,0,0,0,0,0,0
8.128055556,0.254001736,-4,10,0,3200,Chase Headley (S),SD,COL,1.9,1B/3B,0,0,0,0,0,0
8.1085,0.245712121,-18,19,0,3300,Nomar Mazara (L),TEX,OAK,1.9,OF,0,0,0,0,0,0
11.68244444,0.402842912,-5,12,0,2900,Jorge Alfaro (R),PHI,NYM,1.7,C,0,0,0,0,0,0
8.046444444,0.321857778,-6,7,0,2500,Drew Robinson (L),TEX,OAK,1.9,3B/OF,0,0,0,0,0,0
8.011777778,0.333824074,-5,13,0,2400,Jake Smolinski (R),OAK,TEX,2.4,OF,0,0,0,0,0,0
7.965722222,0.265524074,-6,3,0,3000,Curtis Granderson (L),TOR,CWS,2.8,OF,0,0,0,0,0,0
7.890222222,0.263007407,-4,7,0,3000,Derek Fisher (L),HOU,BAL,2,OF,0,0,0,0,0,0
7.739611111,0.227635621,-12,4,0,3400,Trey Mancini (R),BAL,HOU,1.7,1B/OF,0,0,0,0,0,0
7.737222222,0.17584596,-10,17,0,4400,Paul Goldschmidt (R),ARI,LAD,1.6,1B,0,0,0,0,0,0
7.736055556,0.151687364,-12,9,0,5100,Charlie Blackmon (L),COL,SD,1.6,OF,0,0,0,0,0,0
8.408222222,0.400391534,-5,11,0,2100,Miguel Montero (L),WSH,ATL,2.7,C,0,0,0,0,0,0
7.691,0.265206897,-6,18,0,2900,Ryan Flaherty (L),ATL,WSH,1.8,2B/3B,0,0,0,0,0,0
7.575833333,0.194252137,-8,15,0,3900,David Peralta (L),ARI,LAD,1.7,OF,0,0,0,0,0,0
