Date,PLayerID,PBreak1,PBreak2,PBreak3,PBreak4,PBreak5,PBreak6,PBreak7,PBreak8,PBreak9,PB1,PB2,PB3,PB4,PlayerName,Breakdown,CPBrea,PPerreak1,PPerreak2,PPerreak3,PPerreak4,PPerreak5,PPerreak6,PPerreak7,PPerreak8,PPerreak9,PPer1,PPer2,PPer3,PPer4,PlayerNamePer,BreakdownPer,PerCP,BAvg1,BAvg2,BAvg3,BAvg4,BAvg5,BAvg6,BAvg7,BAvg8,BAvg9,BAvgQ1,BAvgQ2,BAvgQ3,BAvgQ4,PlayerNameBAvg,BAvgQ,BAvgQCP,EVAvg1,EVAvg2,EVAvg3,EVAvg4,EVAvg5,EVAvg6,EVAvg7,EVAvg8,EVAvg9,EVAvgQ1,EVAvgQ2,EVAvgQ3,EVAvgQ4,PlayerNameEVA,EVAvgQ,EVAvgQCP
2018-04-09,592518,85,87,53,133,197,150,126,155,178,184,213,286,698,"Manny Machado","Pitch Breakdown","[Catcher Perspective]",3.3,3.4,2.1,5.2,7.7,5.9,5.0,6.1,7.0,7.2,8.4,11.2,27.4,"Manny Machado","Pitch ","[Catcher Perspective]",.357,.214,.308,.242,.338,.317,.344,.250,.344,.176,.143,.241,.157,"Manny Machado","Batting Avg","[Catcher Perspective]",93.4,94.4,92.3,92.6,99.7,95.7,87.2,92.0,89.9,76.2,92.0,82.5,80.4,"Manny Machado","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,405395,76,117,80,116,171,199,80,147,188,182,242,227,653,"Albert Pujols","Pitch Breakdown","[Catcher Perspective]",3.1,4.7,3.2,4.7,6.9,8.0,3.2,5.9,7.6,7.3,9.8,9.2,26.4,"Albert Pujols","Pitch ","[Catcher Perspective]",.370,.262,.250,.333,.333,.253,.179,.340,.238,.042,.222,.042,.110,"Albert Pujols","Batting Avg","[Catcher Perspective]",87.5,93.9,92.5,90.0,91.9,92.1,89.0,90.8,88.3,82.6,88.4,69.9,76.9,"Albert Pujols","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,592743,56,85,71,127,173,167,120,163,170,165,151,298,540,"Andrelton Simmons","Pitch Breakdown","[Catcher Perspective]",2.4,3.7,3.1,5.6,7.6,7.3,5.2,7.1,7.4,7.2,6.6,13.0,23.6,"Andrelton Simmons","Pitch ","[Catcher Perspective]",.417,.359,.379,.274,.301,.319,.289,.233,.214,.379,.190,.200,.156,"Andrelton Simmons","Batting Avg","[Catcher Perspective]",83.8,89.6,88.8,85.3,89.9,90.3,84.2,86.5,81.1,83.3,86.3,85.0,77.5,"Andrelton Simmons","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,519317,74,110,61,149,184,158,114,161,182,287,155,379,717,"Giancarlo Stanton","Pitch Breakdown","[Catcher Perspective]",2.7,4.0,2.2,5.5,6.7,5.8,4.2,5.9,6.7,10.5,5.7,13.9,26.3,"Giancarlo Stanton","Pitch ","[Catcher Perspective]",.208,.200,.143,.403,.431,.286,.370,.366,.306,.147,.200,.154,.153,"Giancarlo Stanton","Batting Avg","[Catcher Perspective]",85.6,96.1,102.6,90.9,100.1,93.5,95.8,96.3,92.9,68.7,88.7,84.1,85.9,"Giancarlo Stanton","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,645277,45,40,33,75,73,49,40,46,51,138,89,107,126,"Ozzie Albies","Pitch Breakdown","[Catcher Perspective]",4.9,4.4,3.6,8.2,8.0,5.4,4.4,5.0,5.6,15.1,9.8,11.7,13.8,"Ozzie Albies","Pitch ","[Catcher Perspective]",.250,.222,.500,.241,.304,.480,.294,.292,.364,.100,.000,.238,.214,"Ozzie Albies","Batting Avg","[Catcher Perspective]",92.9,90.6,87.6,88.9,88.9,87.6,84.1,84.9,91.8,79.6,79.8,76.1,85.0,"Ozzie Albies","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,621446,2,5,6,9,16,15,13,11,24,9,21,18,60,"Lewis Brinson","Pitch Breakdown","[Catcher Perspective]",1.0,2.4,2.9,4.3,7.7,7.2,6.2,5.3,11.5,4.3,10.0,8.6,28.7,"Lewis Brinson","Pitch ","[Catcher Perspective]",,.500,.000,.000,.333,.125,.000,.333,.000,,.000,.000,.000,"Lewis Brinson","Batting Avg","[Catcher Perspective]",,106.1,91.0,85.3,97.4,97.0,88.0,90.8,85.9,,89.9,,78.2,"Lewis Brinson","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,456715,83,95,75,137,197,182,116,177,202,172,156,310,611,"Lorenzo Cain","Pitch Breakdown","[Catcher Perspective]",3.3,3.8,3.0,5.5,7.8,7.2,4.6,7.0,8.0,6.8,6.2,12.3,24.3,"Lorenzo Cain","Pitch ","[Catcher Perspective]",.182,.324,.409,.269,.330,.397,.308,.333,.343,.154,.154,.231,.171,"Lorenzo Cain","Batting Avg","[Catcher Perspective]",80.4,92.7,90.2,89.3,94.5,94.4,89.9,90.8,84.6,70.6,82.7,89.4,78.1,"Lorenzo Cain","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,594777,112,129,82,179,170,97,136,137,102,426,258,379,306,"Kole Calhoun","Pitch Breakdown","[Catcher Perspective]",4.5,5.1,3.3,7.1,6.8,3.9,5.4,5.5,4.1,17.0,10.3,15.1,12.2,"Kole Calhoun","Pitch ","[Catcher Perspective]",.310,.359,.296,.232,.346,.293,.238,.273,.240,.216,.038,.149,.056,"Kole Calhoun","Batting Avg","[Catcher Perspective]",92.7,88.5,81.9,90.1,92.1,87.1,83.0,92.7,93.5,86.9,75.0,82.6,87.2,"Kole Calhoun","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,518618,87,115,67,148,120,94,90,106,75,281,156,243,249,"Derek Dietrich","Pitch Breakdown","[Catcher Perspective]",4.8,6.3,3.7,8.1,6.6,5.1,4.9,5.8,4.1,15.3,8.5,13.3,13.6,"Derek Dietrich","Pitch ","[Catcher Perspective]",.313,.316,.250,.239,.347,.212,.258,.471,.200,.105,.105,.184,.105,"Derek Dietrich","Batting Avg","[Catcher Perspective]",92.8,87.7,73.9,92.3,88.6,79.8,89.2,92.6,89.3,87.2,71.8,81.1,75.8,"Derek Dietrich","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,545361,92,101,73,110,150,154,78,125,118,234,204,203,481,"Mike Trout","Pitch Breakdown","[Catcher Perspective]",4.3,4.8,3.4,5.2,7.1,7.3,3.7,5.9,5.6,11.0,9.6,9.6,22.7,"Mike Trout","Pitch ","[Catcher Perspective]",.130,.217,.250,.295,.404,.429,.435,.500,.278,.000,.278,.227,.173,"Mike Trout","Batting Avg","[Catcher Perspective]",79.6,83.4,101.5,82.0,94.7,98.7,91.6,94.2,89.1,59.8,95.3,78.5,86.8,"Mike Trout","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,656305,39,60,59,63,121,97,54,99,105,91,109,149,297,"Matt Chapman","Pitch Breakdown","[Catcher Perspective]",2.9,4.5,4.4,4.7,9.0,7.2,4.0,7.4,7.8,6.8,8.1,11.1,22.1,"Matt Chapman","Pitch ","[Catcher Perspective]",.154,.222,.091,.360,.179,.269,.357,.333,.192,.143,.300,.174,.152,"Matt Chapman","Batting Avg","[Catcher Perspective]",83.1,84.4,94.0,91.7,89.8,98.9,94.2,93.3,91.2,79.3,91.2,78.7,84.6,"Matt Chapman","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,425783,156,136,119,183,188,119,117,149,104,429,239,304,298,"Shin-Soo Choo","Pitch Breakdown","[Catcher Perspective]",6.1,5.4,4.7,7.2,7.4,4.7,4.6,5.9,4.1,16.9,9.4,12.0,11.7,"Shin-Soo Choo","Pitch ","[Catcher Perspective]",.351,.339,.263,.409,.342,.229,.243,.200,.000,.243,.107,.114,.000,"Shin-Soo Choo","Batting Avg","[Catcher Perspective]",95.0,86.5,80.5,95.3,88.9,80.6,90.6,87.2,92.8,88.7,75.8,71.3,87.6,"Shin-Soo Choo","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,541645,68,91,63,95,167,119,86,112,121,198,170,228,473,"Avisail Garcia","Pitch Breakdown","[Catcher Perspective]",3.4,4.6,3.2,4.8,8.4,6.0,4.3,5.6,6.1,9.9,8.5,11.5,23.8,"Avisail Garcia","Pitch ","[Catcher Perspective]",.391,.367,.263,.535,.453,.239,.250,.404,.318,.211,.150,.370,.164,"Avisail Garcia","Batting Avg","[Catcher Perspective]",83.3,94.7,99.8,93.1,91.9,94.9,88.4,91.4,87.1,80.9,95.5,89.9,76.5,"Avisail Garcia","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,501981,94,122,107,134,195,166,93,141,178,195,179,271,710,"Khris Davis","Pitch Breakdown","[Catcher Perspective]",3.6,4.7,4.1,5.2,7.5,6.4,3.6,5.5,6.9,7.5,6.9,10.5,27.5,"Khris Davis","Pitch ","[Catcher Perspective]",.125,.316,.333,.361,.338,.367,.333,.333,.098,.235,.211,.065,.028,"Khris Davis","Batting Avg","[Catcher Perspective]",91.9,99.0,96.5,93.7,96.1,92.6,100.3,93.7,80.4,75.6,82.8,85.3,78.3,"Khris Davis","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,543333,82,94,88,144,195,153,156,157,134,213,221,489,442,"Eric Hosmer","Pitch Breakdown","[Catcher Perspective]",3.2,3.7,3.4,5.6,7.6,6.0,6.1,6.1,5.2,8.3,8.6,19.0,17.2,"Eric Hosmer","Pitch ","[Catcher Perspective]",.524,.500,.375,.333,.452,.299,.365,.234,.386,.333,.175,.163,.122,"Eric Hosmer","Batting Avg","[Catcher Perspective]",90.5,98.2,88.1,95.1,95.0,87.4,91.9,92.4,88.2,93.8,74.5,83.0,77.6,"Eric Hosmer","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,542255,134,143,105,177,186,140,116,127,108,412,259,320,301,"Ender Inciarte","Pitch Breakdown","[Catcher Perspective]",5.3,5.7,4.2,7.0,7.4,5.5,4.6,5.0,4.3,16.3,10.2,12.7,11.9,"Ender Inciarte","Pitch ","[Catcher Perspective]",.286,.354,.333,.348,.441,.382,.211,.211,.297,.278,.224,.195,.256,"Ender Inciarte","Batting Avg","[Catcher Perspective]",88.0,85.9,81.9,85.7,85.7,82.5,75.7,81.4,81.4,82.8,71.9,66.4,74.5,"Ender Inciarte","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,641820,71,78,61,118,131,157,87,172,188,146,166,268,626,"Trey Mancini","Pitch Breakdown","[Catcher Perspective]",3.1,3.4,2.7,5.2,5.8,6.9,3.8,7.6,8.3,6.4,7.3,11.8,27.6,"Trey Mancini","Pitch ","[Catcher Perspective]",.348,.269,.294,.341,.577,.333,.250,.391,.254,.235,.227,.133,.116,"Trey Mancini","Batting Avg","[Catcher Perspective]",87.4,94.5,91.9,88.2,97.2,92.9,87.2,91.3,84.0,76.6,92.7,85.9,77.5,"Trey Mancini","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,621566,38,35,25,61,49,48,53,73,36,103,65,174,153,"Matt Olson","Pitch Breakdown","[Catcher Perspective]",4.2,3.8,2.7,6.7,5.4,5.3,5.8,8.0,3.9,11.3,7.1,19.1,16.8,"Matt Olson","Pitch ","[Catcher Perspective]",.250,.300,.167,.421,.600,.118,.250,.375,.267,.000,.000,.083,.167,"Matt Olson","Batting Avg","[Catcher Perspective]",93.4,96.5,89.4,90.2,98.4,89.9,90.3,90.5,92.5,81.6,73.3,85.2,89.6,"Matt Olson","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,624577,71,75,76,112,142,149,75,134,142,159,126,305,535,"Yasiel Puig","Pitch Breakdown","[Catcher Perspective]",3.4,3.6,3.6,5.3,6.8,7.1,3.6,6.4,6.8,7.6,6.0,14.5,25.5,"Yasiel Puig","Pitch ","[Catcher Perspective]",.278,.278,.263,.347,.386,.262,.292,.292,.345,.063,.077,.205,.070,"Yasiel Puig","Batting Avg","[Catcher Perspective]",77.4,96.5,96.4,88.1,97.1,90.6,92.0,91.2,88.0,61.7,83.2,80.1,80.1,"Yasiel Puig","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,543768,96,85,79,171,135,101,154,145,110,239,214,517,346,"Travis Shaw","Pitch Breakdown","[Catcher Perspective]",4.0,3.6,3.3,7.1,5.6,4.2,6.4,6.1,4.6,10.0,8.9,21.6,14.5,"Travis Shaw","Pitch ","[Catcher Perspective]",.333,.158,.368,.279,.404,.333,.321,.340,.256,.222,.038,.179,.245,"Travis Shaw","Batting Avg","[Catcher Perspective]",97.2,89.1,85.1,96.5,94.1,84.7,89.5,88.4,89.7,88.8,66.0,81.1,83.6,"Travis Shaw","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,543807,62,106,97,131,182,187,103,165,212,146,196,281,661,"George Springer","Pitch Breakdown","[Catcher Perspective]",2.5,4.2,3.8,5.2,7.2,7.4,4.1,6.5,8.4,5.8,7.8,11.1,26.1,"George Springer","Pitch ","[Catcher Perspective]",.385,.261,.263,.259,.377,.319,.323,.246,.343,.000,.269,.200,.171,"George Springer","Batting Avg","[Catcher Perspective]",78.5,91.3,94.2,81.4,95.1,95.9,92.3,96.7,84.8,52.5,83.7,83.3,79.1,"George Springer","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,621035,80,110,89,122,170,202,86,137,154,146,192,208,548,"Chris Taylor","Pitch Breakdown","[Catcher Perspective]",3.6,4.9,4.0,5.4,7.6,9.0,3.8,6.1,6.9,6.5,8.6,9.3,24.4,"Chris Taylor","Pitch ","[Catcher Perspective]",.360,.269,.286,.452,.432,.286,.294,.340,.208,.000,.125,.056,.153,"Chris Taylor","Batting Avg","[Catcher Perspective]",79.6,86.6,95.4,79.7,92.1,92.4,91.8,89.7,84.9,61.9,87.6,84.2,72.3,"Chris Taylor","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,457708,108,126,100,145,227,183,97,172,186,231,191,264,662,"Justin Upton","Pitch Breakdown","[Catcher Perspective]",4.0,4.7,3.7,5.4,8.4,6.8,3.6,6.4,6.9,8.6,7.1,9.8,24.6,"Justin Upton","Pitch ","[Catcher Perspective]",.174,.314,.182,.220,.408,.203,.419,.333,.255,.370,.273,.341,.127,"Justin Upton","Batting Avg","[Catcher Perspective]",79.9,93.0,95.5,84.6,95.3,95.1,95.2,89.9,87.2,76.9,85.0,85.8,74.6,"Justin Upton","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,514888,85,116,130,85,151,142,61,119,122,233,317,186,554,"Jose Altuve","Pitch Breakdown","[Catcher Perspective]",3.7,5.0,5.6,3.7,6.6,6.2,2.7,5.2,5.3,10.1,13.8,8.1,24.1,"Jose Altuve","Pitch ","[Catcher Perspective]",.425,.382,.391,.359,.415,.360,.476,.381,.311,.216,.306,.167,.281,"Jose Altuve","Batting Avg","[Catcher Perspective]",85.6,92.9,87.6,87.4,86.4,86.7,85.9,88.6,86.7,72.2,86.1,80.2,80.2,"Jose Altuve","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,134181,59,59,53,79,111,88,64,94,118,158,110,200,380,"Adrian Beltre","Pitch Breakdown","[Catcher Perspective]",3.8,3.8,3.4,5.0,7.1,5.6,4.1,6.0,7.5,10.0,7.0,12.7,24.2,"Adrian Beltre","Pitch ","[Catcher Perspective]",.474,.176,.350,.441,.333,.333,.444,.450,.195,.222,.273,.200,.186,"Adrian Beltre","Batting Avg","[Catcher Perspective]",86.0,83.9,92.1,90.5,91.7,87.7,84.6,92.1,87.9,81.4,84.3,85.3,71.3,"Adrian Beltre","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,593428,71,103,92,135,192,213,107,170,188,176,186,217,689,"Xander Bogaerts","Pitch Breakdown","[Catcher Perspective]",2.8,4.1,3.6,5.3,7.6,8.4,4.2,6.7,7.4,6.9,7.3,8.5,27.1,"Xander Bogaerts","Pitch ","[Catcher Perspective]",.250,.286,.261,.477,.420,.222,.217,.293,.262,.161,.263,.118,.206,"Xander Bogaerts","Batting Avg","[Catcher Perspective]",79.8,90.7,93.1,89.2,94.5,90.5,81.9,90.4,83.1,78.2,86.2,85.9,79.3,"Xander Bogaerts","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,608324,69,113,99,99,182,199,82,118,172,185,225,190,560,"Alex Bregman","Pitch Breakdown","[Catcher Perspective]",3.0,4.9,4.3,4.3,7.9,8.7,3.6,5.1,7.5,8.1,9.8,8.3,24.4,"Alex Bregman","Pitch ","[Catcher Perspective]",.190,.132,.318,.313,.360,.338,.355,.333,.296,.235,.231,.244,.184,"Alex Bregman","Batting Avg","[Catcher Perspective]",84.6,90.0,92.9,90.9,93.5,87.5,86.8,91.0,84.5,80.0,84.1,84.1,75.7,"Alex Bregman","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,518626,78,111,76,108,133,150,67,123,150,185,204,181,532,"Josh Donaldson","Pitch Breakdown","[Catcher Perspective]",3.7,5.3,3.6,5.1,6.3,7.1,3.2,5.9,7.1,8.8,9.7,8.6,25.4,"Josh Donaldson","Pitch ","[Catcher Perspective]",.136,.419,.200,.412,.472,.212,.200,.222,.263,.350,.207,.071,.108,"Josh Donaldson","Batting Avg","[Catcher Perspective]",86.4,96.6,93.9,93.8,96.8,87.9,89.9,92.8,86.7,87.2,87.4,85.6,74.1,"Josh Donaldson","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,451594,66,56,57,158,136,102,147,124,68,230,147,367,288,"Dexter Fowler","Pitch Breakdown","[Catcher Perspective]",3.4,2.9,2.9,8.1,7.0,5.2,7.6,6.4,3.5,11.8,7.6,18.9,14.8,"Dexter Fowler","Pitch ","[Catcher Perspective]",.222,.294,.300,.316,.389,.375,.262,.333,.182,.167,.000,.103,.071,"Dexter Fowler","Batting Avg","[Catcher Perspective]",89.3,87.3,78.4,91.5,94.1,82.5,91.1,95.6,86.0,82.7,73.6,79.8,80.3,"Dexter Fowler","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,543281,79,103,68,95,145,153,73,132,161,165,163,193,482,"Josh Harrison","Pitch Breakdown","[Catcher Perspective]",3.9,5.1,3.4,4.7,7.2,7.6,3.6,6.6,8.0,8.2,8.1,9.6,24.0,"Josh Harrison","Pitch ","[Catcher Perspective]",.389,.200,.250,.289,.411,.265,.357,.318,.333,.048,.154,.143,.200,"Josh Harrison","Batting Avg","[Catcher Perspective]",84.2,87.0,85.0,85.2,90.3,88.3,88.9,89.1,84.2,65.2,77.2,77.0,75.8,"Josh Harrison","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,592450,87,74,55,126,170,175,128,191,255,187,132,399,1008,"Aaron Judge","Pitch Breakdown","[Catcher Perspective]",2.9,2.5,1.8,4.2,5.7,5.9,4.3,6.4,8.5,6.3,4.4,13.4,33.7,"Aaron Judge","Pitch ","[Catcher Perspective]",.400,.545,.083,.357,.500,.380,.362,.283,.250,.147,.067,.154,.091,"Aaron Judge","Batting Avg","[Catcher Perspective]",92.9,100.1,102.9,99.9,100.7,97.1,101.2,97.5,88.1,76.2,92.5,86.7,86.3,"Aaron Judge","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,518934,122,125,91,160,246,186,119,168,204,253,206,231,563,"DJ LeMahieu","Pitch Breakdown","[Catcher Perspective]",4.6,4.7,3.4,6.0,9.2,7.0,4.5,6.3,7.6,9.5,7.7,8.6,21.1,"DJ LeMahieu","Pitch ","[Catcher Perspective]",.323,.250,.414,.386,.361,.375,.366,.333,.283,.171,.360,.256,.123,"DJ LeMahieu","Batting Avg","[Catcher Perspective]",88.8,89.1,94.3,91.6,95.8,91.1,91.1,92.4,83.0,73.5,84.5,84.9,78.9,"DJ LeMahieu","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,606466,40,36,33,61,75,44,56,78,56,105,63,141,155,"Ketel Marte","Pitch Breakdown","[Catcher Perspective]",4.2,3.8,3.5,6.5,8.0,4.7,5.9,8.3,5.9,11.1,6.7,15.0,16.4,"Ketel Marte","Pitch ","[Catcher Perspective]",.167,.300,.300,.423,.237,.368,.294,.100,.333,.462,.000,.333,.056,"Ketel Marte","Batting Avg","[Catcher Perspective]",86.5,79.8,89.2,92.1,85.2,89.7,80.0,91.0,88.7,82.1,85.2,83.1,81.3,"Ketel Marte","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,542303,73,103,79,119,165,166,77,178,201,179,212,268,735,"Marcell Ozuna","Pitch Breakdown","[Catcher Perspective]",2.9,4.0,3.1,4.7,6.5,6.5,3.0,7.0,7.9,7.0,8.3,10.5,28.8,"Marcell Ozuna","Pitch ","[Catcher Perspective]",.423,.225,.333,.400,.453,.415,.345,.373,.258,.217,.250,.308,.137,"Marcell Ozuna","Batting Avg","[Catcher Perspective]",88.3,94.9,98.1,92.2,97.0,94.4,95.0,95.8,84.9,74.2,86.9,89.7,77.8,"Marcell Ozuna","Exit Velocity Against","[Catcher Perspective]"
