Date,PLayerID,PBreak1,PBreak2,PBreak3,PBreak4,PBreak5,PBreak6,PBreak7,PBreak8,PBreak9,PB1,PB2,PB3,PB4,PlayerName,Breakdown,CPBrea,PPerreak1,PPerreak2,PPerreak3,PPerreak4,PPerreak5,PPerreak6,PPerreak7,PPerreak8,PPerreak9,PPer1,PPer2,PPer3,PPer4,PlayerNamePer,BreakdownPer,PerCP,BAvg1,BAvg2,BAvg3,BAvg4,BAvg5,BAvg6,BAvg7,BAvg8,BAvg9,BAvgQ1,BAvgQ2,BAvgQ3,BAvgQ4,PlayerNameBAvg,BAvgQ,BAvgQCP,EVAvg1,EVAvg2,EVAvg3,EVAvg4,EVAvg5,EVAvg6,EVAvg7,EVAvg8,EVAvg9,EVAvgQ1,EVAvgQ2,EVAvgQ3,EVAvgQ4,PlayerNameEVA,EVAvgQ,EVAvgQCP
2018-04-09,543760,45,65,80,73,125,121,70,95,111,118,158,147,383,"Marcus Semien","Pitch Breakdown","[Catcher Perspective]",2.8,4.1,5.0,4.6,7.9,7.6,4.4,6.0,7.0,7.4,9.9,9.2,24.1,"Marcus Semien","Pitch ","[Catcher Perspective]",.000,.250,.217,.231,.354,.371,.300,.359,.282,.000,.111,.053,.151,"Marcus Semien","Batting Avg","[Catcher Perspective]",97.7,89.3,86.5,87.9,90.9,88.1,87.1,90.6,86.3,59.4,86.6,89.5,77.2,"Marcus Semien","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,570731,96,100,73,134,168,157,92,169,161,200,223,271,696,"Jonathan Schoop","Pitch Breakdown","[Catcher Perspective]",3.8,3.9,2.9,5.3,6.6,6.2,3.6,6.7,6.3,7.9,8.8,10.7,27.4,"Jonathan Schoop","Pitch ","[Catcher Perspective]",.262,.375,.385,.333,.429,.417,.348,.327,.244,.208,.194,.129,.120,"Jonathan Schoop","Batting Avg","[Catcher Perspective]",81.1,86.2,96.2,85.6,91.7,92.0,88.4,93.8,89.8,79.9,84.1,86.0,79.3,"Jonathan Schoop","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,608336,87,71,60,158,131,74,168,133,65,307,157,494,334,"Joey Gallo","Pitch Breakdown","[Catcher Perspective]",3.9,3.2,2.7,7.1,5.9,3.3,7.5,5.9,2.9,13.7,7.0,22.1,14.9,"Joey Gallo","Pitch ","[Catcher Perspective]",.167,.200,.308,.210,.393,.321,.200,.156,.250,.185,.100,.107,.091,"Joey Gallo","Batting Avg","[Catcher Perspective]",95.7,90.7,83.6,95.9,98.5,95.5,87.5,96.5,101.8,92.9,78.4,84.1,79.6,"Joey Gallo","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,430945,66,84,69,110,159,133,100,133,143,147,230,254,652,"Adam Jones","Pitch Breakdown","[Catcher Perspective]",2.9,3.7,3.0,4.8,7.0,5.8,4.4,5.8,6.3,6.4,10.1,11.1,28.6,"Adam Jones","Pitch ","[Catcher Perspective]",.167,.241,.313,.400,.339,.404,.306,.358,.339,.267,.300,.149,.185,"Adam Jones","Batting Avg","[Catcher Perspective]",78.6,84.2,95.4,85.3,91.4,92.6,87.9,91.2,87.6,73.5,86.3,84.8,80.1,"Adam Jones","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,446359,78,117,101,104,153,165,66,121,134,164,265,162,490,"Zack Cozart","Pitch Breakdown","[Catcher Perspective]",3.7,5.5,4.8,4.9,7.2,7.8,3.1,5.7,6.3,7.7,12.5,7.6,23.1,"Zack Cozart","Pitch ","[Catcher Perspective]",.214,.425,.212,.238,.403,.451,.077,.378,.300,.000,.326,.067,.136,"Zack Cozart","Batting Avg","[Catcher Perspective]",77.2,89.5,90.1,83.8,90.4,89.6,81.6,90.4,83.6,73.7,86.4,55.0,75.2,"Zack Cozart","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,476704,90,138,91,174,197,151,163,152,124,344,220,393,338,"Jed Lowrie","Pitch Breakdown","[Catcher Perspective]",3.5,5.4,3.5,6.8,7.7,5.9,6.3,5.9,4.8,13.4,8.5,15.3,13.1,"Jed Lowrie","Pitch ","[Catcher Perspective]",.300,.167,.240,.310,.271,.327,.414,.297,.342,.273,.000,.218,.135,"Jed Lowrie","Batting Avg","[Catcher Perspective]",82.8,88.9,85.3,93.8,91.3,84.5,90.7,90.6,89.0,88.5,71.5,87.0,82.7,"Jed Lowrie","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,462101,104,128,116,116,190,196,103,158,161,289,245,215,518,"Elvis Andrus","Pitch Breakdown","[Catcher Perspective]",4.1,5.0,4.6,4.6,7.5,7.7,4.1,6.2,6.3,11.4,9.6,8.5,20.4,"Elvis Andrus","Pitch ","[Catcher Perspective]",.218,.511,.476,.313,.341,.299,.421,.278,.212,.196,.354,.286,.073,"Elvis Andrus","Batting Avg","[Catcher Perspective]",84.2,89.6,93.6,87.3,91.3,88.4,86.2,85.2,82.5,76.2,89.1,90.8,72.7,"Elvis Andrus","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,542921,90,105,76,124,180,162,95,173,143,186,178,244,554,"Tim Beckham","Pitch Breakdown","[Catcher Perspective]",3.9,4.5,3.3,5.4,7.8,7.0,4.1,7.5,6.2,8.1,7.7,10.6,24.0,"Tim Beckham","Pitch ","[Catcher Perspective]",.355,.486,.364,.261,.417,.353,.367,.373,.021,.320,.074,.111,.083,"Tim Beckham","Batting Avg","[Catcher Perspective]",85.7,96.5,93.8,89.7,93.4,88.5,89.4,88.9,82.5,76.1,79.2,83.7,72.7,"Tim Beckham","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,517369,53,53,47,59,118,84,46,82,93,119,96,130,311,"Jose Pirela","Pitch Breakdown","[Catcher Perspective]",4.1,4.1,3.6,4.6,9.1,6.5,3.6,6.4,7.2,9.2,7.4,10.1,24.1,"Jose Pirela","Pitch ","[Catcher Perspective]",.304,.286,.417,.433,.341,.217,.308,.300,.394,.190,.071,.250,.167,"Jose Pirela","Batting Avg","[Catcher Perspective]",90.1,90.2,97.8,89.6,93.8,90.1,100.4,94.2,84.5,78.1,78.6,73.2,80.4,"Jose Pirela","Exit Velocity Against","[Catcher Perspective]"
2018-04-09,458731,174,157,103,217,208,138,144,152,76,588,238,382,311,"Brett Gardner","Pitch Breakdown","[Catcher Perspective]",6.0,5.4,3.6,7.5,7.2,4.8,5.0,5.3,2.6,20.4,8.2,13.2,10.8,"Brett Gardner","Pitch ","[Catcher Perspective]",.265,.320,.200,.300,.443,.278,.194,.182,.364,.231,.231,.143,.071,"Brett Gardner","Batting Avg","[Catcher Perspective]",91.8,90.3,77.9,86.6,90.2,82.1,81.9,87.1,89.1,86.9,73.0,77.3,80.6,"Brett Gardner","Exit Velocity Against","[Catcher Perspective]"
