"","RFPred","RFPer","RF_M","RF_P","Actual","Salary","Name","HTeam","Opp","Pts","Pos","C1B","C2B","C3B","C4B","C5B","C6B","C7B","C8B","C9B","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","Xgb","XgbPer","xgb_M","xgb_P","DNN","DNNPer"
"33069",16.8640555555556,0,-8,16,0,4800,"Wil Myers","SD","COL",1.6,"1B/OF",0,0,0,0,3.85,0,0,0,0,1.7982,1.18,0,0,1.2543,3.2,1.725,2.96,0,0,0,0,0,0,0
"33070",8.13266666666667,0,-8,8,0,4300,"Jose Pirela","SD","COL",1.6,"OF",2.8014,2.6,0.9657,1.8315,1.2876,6.4236,0,2.32,1.2525,1.7982,1.18,0,0,1.2543,3.2,1.725,2.96,0,0,0,0,0,0,0
"33071",9.16733333333333,0,-10,14,0,3500,"Josh Bell","PIT","DET",2,"1B",1.98,0,0.82,0.96,0.7348,2.05,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33072",8.73455555555555,0,-9,13,0,3100,"David Freese","PIT","DET",1.8,"1B/3B",1.1322,0,0,6.7,2.25,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33073",7.10311111111111,0,-2,16,0,3200,"Adam Frazier","PIT","DET",2.2,"2B/OF",0,2.65,0,4.95,0,0,0,1.15,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33074",8.33622222222222,0,-7,-2,0,3300,"Francisco Cervelli","PIT","DET",1.8,"C",0,2.7456,2,1.332,1.6872,2.64,0,1.5984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33075",6.66005555555556,0,-8,4,0,2600,"Sean Rodriguez","PIT","DET",1.9,"2B/OF",0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33076",9.534,0,-10,8,0,4100,"Gregory Polanco","PIT","DET",1.7,"OF",1.1,0,0,1.9162,5.125,0,2.6307,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33077",8.41027777777778,0,-10,12,0,3600,"Corey Dickerson","PIT","DET",1.9,"OF",2.5,0.85,0,1.675,3.66,2.2011,0,2.5,2.6169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33078",9.06177777777778,0,-9,22,0,4300,"Starling Marte","PIT","DET",1.7,"OF",1.5651,1.5651,0,0,4.1205,1.88,0,1.9647,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
