RFPred,Name,HTeam,Pos
19.92833333,A.J. Pollock,ARI,CF
19.21927778,Mitch Haniger,SEA,RF
18.9535,Jose Osuna,PIT,RF
17.50566667,Xander Bogaerts,BOS,SS
16.91022222,Chad Pinder,OAK,UT
16.83533333,Wilson Ramos,TBR,C
16.54794444,Jose Reyes,NYM,IF
15.92683333,Daniel Palka,CHW,UT
15.63883333,Ozzie Albies,ATL,2B
15.44355556,Adrian Gonzalez,NYM,1B
15.10266667,Brian Anderson,MIA,3B
15.09627778,Todd Frazier,NYM,3B
14.80333333,Jake Lamb,ARI,3B
14.65755556,Asdrubal Cabrera,NYM,2B
14.62305556,Ender Inciarte,ATL,CF
14.542,J.D. Martinez,BOS,DH
14.24066667,Mitch Moreland,BOS,1B
14.22133333,Max Kepler,MIN,RF
14.14594444,Elias Diaz,PIT,C
13.81177778,Whit Merrifield,KCR,2B
13.59111111,Ryon Healy,SEA,1B
13.4755,Brandon Nimmo,NYM,OF
13.33372222,Yasmani Grandal,LAD,C
13.14666667,Alcides Escobar,KCR,SS
12.94022222,Jeff Mathis,ARI,C
12.92911111,Yoenis Cespedes,NYM,LF
12.86844444,Taylor Motter,SEA,UT
12.84094444,Franchy Cordero,SDP,OF
12.81072222,Tomas Nido,NYM,C
12.76383333,Pedro Alvarez,BAL,DH
12.65833333,Mookie Betts,BOS,RF
12.51666667,Trea Turner,WSN,SS
12.51233333,Justin Upton,LAA,LF
12.38911111,Jorge Alfaro,PHI,C
12.38088889,Jason Castro,MIN,C
12.38022222,Robinson Cano,SEA,2B
12.15922222,Ronald Acuna,ATL,LF
12.09733333,Evan Longoria,SFG,3B
12.09238889,Mac Williamson,SFG,LF
11.93027778,J.T. Realmuto,MIA,C
11.89422222,Alen Hanson,SFG,2B
11.87855556,Robbie Grossman,MIN,UT
11.828,Scott Schebler,CIN,UT
11.51183333,Noel Cuevas,COL,RF
11.46194444,Starlin Castro,MIA,2B
11.39416667,Yangervis Solarte,TOR,3B
11.37777778,Lourdes Gurriel,TOR,MI
11.2995,Nolan Arenado,COL,3B
11.25872222,Yoan Moncada,CHW,2B
11.23427778,J.D. Davis,HOU,1B
11.21811111,Mike Trout,LAA,CF
11.19877778,Mitch Garver,MIN,C
11.14611111,Christian Villanueva,SDP,3B
11.14233333,Dee Gordon,SEA,CF
11.11944444,Leury Garcia,CHW,UT
11.08383333,Jonathan Lucroy,OAK,C
10.91861111,Boog Powell,OAK,CF
10.88361111,Addison Russell,CHC,SS
10.87872222,Eugenio Suarez,CIN,3B
10.71666667,Danny Valencia,BAL,UT
10.64666667,Hanley Ramirez,BOS,UT
10.55866667,Gary Sanchez,NYY,C
10.52083333,Devin Mesoraco,CIN,C
10.48927778,Jonathan Schoop,BAL,2B
10.35488889,Kris Bryant,CHC,3B
10.23472222,Kevin Pillar,TOR,CF
10.168,Jay Bruce,NYM,RF
10.07472222,Ian Kinsler,LAA,2B
9.983222222,Eduardo Escobar,MIN,SS
9.920166667,Eric Hosmer,SDP,1B
9.843555556,Albert Almora,CHC,CF
9.777722222,Joey Rickard,BAL,OF
