"RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
11.5253666666667,"Joey Votto","CIN","1B",6,1,0,1,0.666666666666667,0.821428571428571,0.581395348837209,0.796536796536797
5.2294,"Jesse Winker","CIN","OF",3,0.666666666666667,0,0,0,0.904761904761905,0.857142857142857,0.897058823529412
7.69156666666667,"Jose Peraza","CIN","SS",3,1.07692307692308,3,0,0.666666666666667,0.806451612903226,0.571428571428571,0.757225433526012
10.0330333333333,"Eugenio Suarez","CIN","3B",5,1,0,3,0.5,0.611111111111111,0.78125,0.75
7.49563333333333,"Scott Schebler","CIN","RF",15,0.615384615384615,0,1,0.666666666666667,0.764705882352941,0.794117647058823,0.764705882352941
4.27916666666667,"Tucker Barnhart","CIN","C",8,1.2,0,0,0.5,0.681818181818182,0.727272727272727,0.861313868613139
14.5773,"Scooter Gennett","CIN","2B",11,1.16666666666667,0,4,0.571428571428571,0.838709677419355,0.828571428571429,0.857142857142857
8.24633333333333,"Ronald Acuna","ATL","LF",5,0.916666666666667,1,2,0.666666666666667,0.5,0.666666666666667,0.5
6.3953,"Nick Markakis","ATL","RF",10,1.75,0,4,0.333333333333333,0.317073170731707,0.4375,0.187772925764192
8.09346666666666,"Tyler Flowers","ATL","C",10,0.8,0,0,0,0.4,0.214285714285714,0.151515151515152
9.34123333333333,"Ender Inciarte","ATL","CF",29,1,6,1,0.5,0.34375,0.166666666666667,0.156934306569343
9.78416666666667,"Freddie Freeman","ATL","1B",37,1.16666666666667,0,2,0,0.342857142857143,0.0540540540540541,0.218905472636816
5.90803333333333,"Johan Camargo","ATL","IF",2,0.5,0,2,0.333333333333333,0.4,0.285714285714286,0.233333333333333
11.8403333333333,"Ozzie Albies","ATL","2B",0,1.25,3,4,0.333333333333333,0.235294117647059,0.2,0.185483870967742
5.0873,"Gerardo Parra","COL","LF",3,1.08333333333333,2,0,0,0.428571428571429,0.0909090909090909,0.192546583850932
10.2920666666667,"Chris Iannetta","COL","C",9,0.666666666666667,0,2,0.25,0.375,0.363636363636364,0.363636363636364
2.55946666666667,"Noel Cuevas","COL","OF",2,1,0,0,0,0.416666666666667,0,0.416666666666667
8.1671,"Trevor Story","COL","SS",38,0.666666666666667,2,2,0.333333333333333,0.318181818181818,0.228571428571429,0.25
13.2746333333333,"Charlie Blackmon","COL","CF",0,1.08333333333333,2,3,0.25,0.333333333333333,0.18,0.248175182481752
6.547,"DJ LeMahieu","COL","2B",0,1.33333333333333,0,0,0,0.25,0.384615384615385,0.245833333333333
8.27553333333334,"Ian Desmond","COL","1B",0,0.727272727272727,1,2,0.5,0.4,0.357142857142857,0.251968503937008
6.8555,"Nolan Arenado","COL","3B",21,1.08333333333333,0,4,0.125,0.291666666666667,0.270833333333333,0.236734693877551
3.46836666666667,"Luis Valbuena","LAA","3B",3,0.888888888888889,0,1,0.666666666666667,0.928571428571429,0.892857142857143,0.844660194174757
13.8425,"Justin Upton","LAA","LF",8,1.27272727272727,0,6,0.375,0.652173913043478,0.597701149425287,0.701570680628272
8.01213333333333,"Mike Trout","LAA","CF",13,1.45454545454545,2,2,0.625,0.612903225806452,0.692307692307692,0.664921465968586
4.83556666666667,"Albert Pujols","LAA","1B",5,1,0,1,0.4,0.65,0.828571428571429,0.706467661691542
6.4913,"Andrelton Simmons","LAA","SS",15,1.8,1,0,0.666666666666667,0.615384615384615,0.7,0.6875
5.82083333333333,"Zack Cozart","LAA","3B",10,1,0,3,0.5,0.625,0.666666666666667,0.771604938271605
3.805,"Rene Rivera","LAA","C",2,0.8,0,1,0,0.75,0.461538461538462,0.789855072463768
6.84023333333334,"Ian Kinsler","LAA","2B",7,0.909090909090909,0,1,0.5,0.75,0.769230769230769,0.79746835443038
5.01096666666667,"Kole Calhoun","LAA","RF",4,0.625,2,0,0,0.625,0.8,0.732954545454545
8.08820000000001,"Matthew Joyce","OAK","LF",6,0.583333333333333,0,1,0.5,0.833333333333333,0.733333333333333,0.797385620915033
9.85213333333333,"Khris Davis","OAK","DH",15,0.5,0,3,0.444444444444444,0.523809523809524,0.673076923076923,0.712121212121212
5.97743333333334,"Matt Chapman","OAK","3B",6,0.333333333333333,0,1,0.5,0.4,0.64,0.598214285714286
4.59746666666667,"Jed Lowrie","OAK","2B",0,1.27272727272727,0,3,0.714285714285714,0.571428571428571,0.826086956521739,0.693333333333333
6.8048,"Marcus Semien","OAK","SS",10,0.916666666666667,1,0,0,0.379310344827586,0.642857142857143,0.6
3.6517,"Bruce Maxwell","OAK","UT",5,0.75,0,0,0,0.2,0.8,0.771428571428571
7.4699,"Matt Olson","OAK","1B",6,0.5,0,1,0.666666666666667,0.736842105263158,0.766666666666667,0.758620689655172
6.65803333333334,"Mark Canha","OAK","CF",6,0.8,0,1,0.166666666666667,0.391304347826087,0.416666666666667,0.459016393442623
1.07,"Dustin Fowler","OAK","CF",0,0.5,0,0,0,0.5,0,0.5
5.648,"Aaron Hicks","NYY","CF",17,0.666666666666667,3,0,0.666666666666667,0.705882352941177,0.526315789473684,0.531531531531532
7.71083333333333,"Gary Sanchez","NYY","C",26,0.666666666666667,0,3,0.714285714285714,0.8,0.659090909090909,0.710227272727273
6.6694,"Neil Walker","NYY","1B",8,0.75,0,0,0,0.833333333333333,0.838709677419355,0.761702127659574
11.1088,"Aaron Judge","NYY","RF",17,1.07692307692308,0,3,0.875,0.851851851851852,0.696969696969697,0.707547169811321
9.31793333333334,"Brett Gardner","NYY","LF",22,0.666666666666667,0,0,0,0.882352941176471,0.833333333333333,0.778846153846154
4.7675,"Didi Gregorius","NYY","SS",10,0.416666666666667,0,0,0.5,0.5,0.75609756097561,0.686915887850467
7.63286666666666,"Gleyber Torres","NYY","2B",0,1.23076923076923,1,3,0.75,0.608695652173913,0.75,0.608695652173913
7.97273333333333,"Giancarlo Stanton","NYY","DH",4,0.846153846153846,1,4,0.571428571428571,0.636363636363636,0.714285714285714,0.713636363636364
4.95036666666666,"Miguel Andujar","NYY","3B",6,0.923076923076923,0,0,0.5,0.580645161290323,0.5,0.538461538461538
5.4768,"Andrew McCutchen","SFG","RF",16,1.07142857142857,0,0,0,0.739130434782609,0.484848484848485,0.669902912621359
7.26916666666667,"Alen Hanson","SFG","2B",22,0.928571428571429,3,2,0.666666666666667,0.928571428571429,0.769230769230769,0.875
6.9416,"Brandon Belt","SFG","1B",3,0.8125,1,0,0.666666666666667,0.857142857142857,0.730769230769231,0.8046875
5.69703333333333,"Brandon Crawford","SFG","SS",0,1.125,0,1,0.666666666666667,0.846153846153846,0.888888888888889,0.839080459770115
5.4205,"Evan Longoria","SFG","3B",18,0.9375,0,2,0.571428571428571,0.655172413793103,0.678571428571429,0.736363636363636
5.04766666666667,"Gregor Blanco","SFG","OF",2,1.15384615384615,3,1,0.5,0.952380952380952,0.8,0.820224719101124
8.05106666666667,"Buster Posey","SFG","C",8,1.27272727272727,0,0,0,0.909090909090909,0.263157894736842,0.704761904761905
3.74826666666666,"Austin Jackson","SFG","CF",11,0.75,1,0,0,0.6,0.7,0.462686567164179
4.30906666666667,"Jose Martinez","STL","1B",14,0.777777777777778,0,1,0.5,0.571428571428571,0.826086956521739,0.767441860465116
