"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
"65350",9.13149999999999,"Dansby Swanson","ATL","SS",6,1.63636363636364,0,2,0.333333333333333,0.884615384615385,0.777777777777778,0.842105263157895
"65351",9.953,"Dansby Swanson","ATL","SS",6,1.63636363636364,0,2,0.333333333333333,0.884615384615385,0.777777777777778,0.842105263157895
"653501",9.16456666666666,"Dansby Swanson","ATL","SS",6,1.63636363636364,0,2,0.333333333333333,0.884615384615385,0.777777777777778,0.842105263157895
"653511",9.63356666666667,"Dansby Swanson","ATL","SS",6,1.63636363636364,0,2,0.333333333333333,0.884615384615385,0.777777777777778,0.842105263157895
"65352",8.5042,"Ender Inciarte","ATL","CF",9,1,6,0,0,0.882352941176471,0.823529411764706,0.855421686746988
"65353",9.67483333333334,"Ender Inciarte","ATL","CF",9,1,6,0,0,0.882352941176471,0.823529411764706,0.855421686746988
"653521",8.34783333333333,"Ender Inciarte","ATL","CF",9,1,6,0,0,0.882352941176471,0.823529411764706,0.855421686746988
"653531",9.26483333333334,"Ender Inciarte","ATL","CF",9,1,6,0,0,0.882352941176471,0.823529411764706,0.855421686746988
"65358",4.47453333333333,"Kurt Suzuki","ATL","C",33,1,0,4,0.8,0.923076923076923,0.958333333333333,0.842105263157895
"65359",5.48626666666667,"Kurt Suzuki","ATL","C",33,1,0,4,0.8,0.923076923076923,0.958333333333333,0.842105263157895
"653581",5.10206666666667,"Kurt Suzuki","ATL","C",33,1,0,4,0.8,0.923076923076923,0.958333333333333,0.842105263157895
"653591",6.2093,"Kurt Suzuki","ATL","C",33,1,0,4,0.8,0.923076923076923,0.958333333333333,0.842105263157895
"65360",8.04286666666667,"Ozzie Albies","ATL","2B",17,1.90909090909091,1,5,0.666666666666667,0.888888888888889,0.846153846153846,0.838383838383838
"65361",10.5639666666667,"Ozzie Albies","ATL","2B",17,1.90909090909091,1,5,0.666666666666667,0.888888888888889,0.846153846153846,0.838383838383838
"653601",7.84943333333333,"Ozzie Albies","ATL","2B",17,1.90909090909091,1,5,0.666666666666667,0.888888888888889,0.846153846153846,0.838383838383838
"653611",10.6281666666667,"Ozzie Albies","ATL","2B",17,1.90909090909091,1,5,0.666666666666667,0.888888888888889,0.846153846153846,0.838383838383838
"65362",5.418,"Preston Tucker","ATL","LF",14,0.363636363636364,0,1,0.75,0.928571428571429,0.75,0.928571428571429
"65363",5.5337,"Preston Tucker","ATL","LF",14,0.363636363636364,0,1,0.75,0.928571428571429,0.75,0.928571428571429
"653621",5.1539,"Preston Tucker","ATL","LF",14,0.363636363636364,0,1,0.75,0.928571428571429,0.75,0.928571428571429
"653631",4.9358,"Preston Tucker","ATL","LF",14,0.363636363636364,0,1,0.75,0.928571428571429,0.75,0.928571428571429
"65364",12.1998666666667,"Freddie Freeman","ATL","1B",8,1,2,0,0.5,0.9,0.909090909090909,0.807017543859649
"65365",11.4386333333333,"Freddie Freeman","ATL","1B",8,1,2,0,0.5,0.9,0.909090909090909,0.807017543859649
"653641",11.8746,"Freddie Freeman","ATL","1B",8,1,2,0,0.5,0.9,0.909090909090909,0.807017543859649
"653651",11.5026666666667,"Freddie Freeman","ATL","1B",8,1,2,0,0.5,0.9,0.909090909090909,0.807017543859649
"65366",5.3677,"Ryan Flaherty","ATL","3B",4,1,2,1,0.5,0.95,0.5,0.964285714285714
"65367",4.88903333333333,"Ryan Flaherty","ATL","3B",4,1,2,1,0.5,0.95,0.5,0.964285714285714
"653661",5.3078,"Ryan Flaherty","ATL","3B",4,1,2,1,0.5,0.95,0.5,0.964285714285714
"653671",4.64643333333333,"Ryan Flaherty","ATL","3B",4,1,2,1,0.5,0.95,0.5,0.964285714285714
"65368",5.11116666666667,"Gregory Polanco","PIT","RF",0,0.636363636363636,0,4,0.8,0.785714285714286,0.888888888888889,0.672566371681416
"65369",10.2043333333333,"Starling Marte","PIT","CF",2,1.15384615384615,4,2,0.6,0.739130434782609,0.583333333333333,0.783783783783784
"65370",6.6866,"Jordy Mercer","PIT","SS",0,0.923076923076923,0,0,0,0.666666666666667,0.538461538461538,0.711409395973154
"65371",6.80183333333334,"Colin Moran","PIT","3B",0,1.09090909090909,0,0,0,0.705882352941177,0,0.761904761904762
"65374",7.6697,"Corey Dickerson","PIT","LF",0,1.54545454545455,1,1,0.5,0.80952380952381,0.939393939393939,0.805
"65375",6.67656666666667,"Adam Frazier","PIT","2B",0,0.5,0,1,0.5,0.5,0.777777777777778,0.784615384615385
"65376",5.0994,"Josh Bell","PIT","1B",0,0.923076923076923,0,0,0.5,0.666666666666667,0.818181818181818,0.782122905027933
"65377",5.49843333333334,"Francisco Cervelli","PIT","C",5,1.1,0,2,0.666666666666667,0.8125,0.75,0.744186046511628
"65379",5.85273333333333,"Cesar Hernandez","PHI","2B",15,0.833333333333333,4,1,0.5,0.764705882352941,0.818181818181818,0.755434782608696
"65380",9.567,"Scott Kingery","PHI","IF",7,0.833333333333333,2,2,0.333333333333333,0.733333333333333,0.333333333333333,0.733333333333333
"65381",7.70746666666667,"J.P. Crawford","PHI","SS",8,0.777777777777778,0,2,0.666666666666667,0.888888888888889,0.666666666666667,0.782608695652174
"65382",6.92613333333334,"Odubel Herrera","PHI","CF",8,1.5,1,1,0.5,0.80952380952381,0.722222222222222,0.716577540106952
"65383",8.73593333333334,"Nick Williams","PHI","RF",9,0.9,0,1,0,0.727272727272727,0.733333333333333,0.777777777777778
"65384",4.20173333333333,"Jorge Alfaro","PHI","C",0,0.666666666666667,0,1,0,0.5,0.714285714285714,0.651162790697674
"65385",9.7734,"Rhys Hoskins","PHI","LF",17,0.75,1,1,0,0.666666666666667,0.8,0.814285714285714
"65386",9.9216,"Carlos Santana","PHI","1B",9,0.416666666666667,0,1,0,0.444444444444444,0.678571428571429,0.621212121212121
"65387",6.83303333333334,"Alex Bregman","HOU","3B",16,0.909090909090909,1,1,0,0.25,0.16,0.335051546391753
"65388",1.88913333333333,"Max Stassi","HOU","C",24,0.333333333333333,0,1,0,0.125,0,0.214285714285714
"65389",7.59753333333333,"Marwin Gonzalez","HOU","LF",3,0.545454545454545,0,0,0,0.333333333333333,0.16,0.232142857142857
"65390",8.89393333333333,"Carlos Correa","HOU","SS",5,0.833333333333333,1,0,0.333333333333333,0.4,0.379310344827586,0.364705882352941
"65391",10.7708333333333,"Jose Altuve","HOU","2B",19,1,0,0,0,0.36,0.2,0.257692307692308
"65392",6.32306666666666,"Evan Gattis","HOU","DH",5,0.545454545454545,0,0,0,0.307692307692308,0.357142857142857,0.303030303030303
"65393",7.62773333333333,"Josh Reddick","HOU","RF",17,0.6,1,1,0,0,0.1,0.129533678756477
"65395",8.13533333333333,"George Springer","HOU","OF",9,0.916666666666667,0,3,0.75,0.388888888888889,0.404761904761905,0.32
"65396",6.12553333333333,"Jake Marisnick","HOU","CF",0,0.333333333333333,1,0,0,0.428571428571429,0.238095238095238,0.36986301369863
"65398",4.227,"Ketel Marte","ARI","2B",15,1.09090909090909,0,0,0,0.611111111111111,0.714285714285714,0.768292682926829
"65399",5.7572,"David Peralta","ARI","LF",3,1.55555555555556,0,1,0.333333333333333,0.681818181818182,0.764705882352941,0.81767955801105
"65400",2.30396666666667,"Jeff Mathis","ARI","C",13,0.25,0,0,0,0.333333333333333,0,0.739130434782609
"65401",8.7669,"A.J. Pollock","ARI","CF",15,0.818181818181818,2,3,0.25,0.705882352941177,0.777777777777778,0.776978417266187
"65402",4.5637,"Deven Marrero","ARI","3B",5,0.666666666666667,1,0,0,0.2,0.571428571428571,0.608695652173913
"65403",3.54946666666666,"Nick Ahmed","ARI","SS",0,0.3,0,1,0.5,0.666666666666667,0.75,0.655172413793103
