RFPred,Name,HTeam,Pos
3.664,Bryan Holaday,MIA,C
2.768222222,JB Shuck,MIA,OF
2.648222222,Martin Prado,MIA,3B
1.752444444,Lewis Brinson,MIA,CF
1.076888889,Tomas Telis,MIA,UT
1.029777778,Chad Wallach,MIA,C
0.685444444,Yadiel Rivera,MIA,MI
0.383611111,Braxton Lee,MIA,OF
7.051444444,Travis Shaw,MIL,3B
6.785277778,Lorenzo Cain,MIL,CF
6.6595,Domingo Santana,MIL,RF
6.116277778,Ryan Braun,MIL,UT
5.110111111,Christian Yelich,MIL,LF
5.061222222,Nick Franklin,MIL,2B
4.492277778,Eric Thames,MIL,1B
3.938444444,Jonathan Villar,MIL,2B
3.781666667,Orlando Arcia,MIL,SS
3.536833333,Hernan Perez,MIL,UT
3.448833333,Manny Pina,MIL,C
2.645222222,Brett Phillips,MIL,OF
2.590055556,Jesus Aguilar,MIL,1B
2.0095,Eric Sogard,MIL,MI
1.82,Jacob Nottingham,MIL,C
1.700888889,Jett Bandy,MIL,C
11.86766667,Eduardo Escobar,MIN,IF
9.945444444,Eddie Rosario,MIN,LF
9.113388889,Miguel Sano,MIN,3B
8.720611111,Ehire Adrianza,MIN,SS
8.38,Gregorio Petit,MIN,MI
7.114444444,Logan Morrison,MIN,DH
6.989,Max Kepler,MIN,RF
6.972333333,Joe Mauer,MIN,1B
5.928111111,Brian Dozier,MIN,2B
4.804611111,Byron Buxton,MIN,CF
4.179555556,Jason Castro,MIN,C
4.120666667,Mitch Garver,MIN,C
4.026333333,Robbie Grossman,MIN,RF
2.76,Bobby Wilson,MIN,C
1.626666667,Ryan LaMarre,MIN,UT
11.20694444,Giancarlo Stanton,NYY,DH
10.47255556,Brett Gardner,NYY,LF
9.670222222,Aaron Judge,NYY,RF
9.367722222,Gary Sanchez,NYY,C
9.058111111,Neil Walker,NYY,1B
6.777777778,Gleyber Torres,NYY,2B
6.016555556,Aaron Hicks,NYY,CF
5.897277778,Didi Gregorius,NYY,SS
4.277833333,Tyler Austin,NYY,1B
4.110166667,Jace Peterson,NYY,OF
3.985555556,Jace Peterson,NYY,OF
3.977611111,Brandon Drury,NYY,3B
3.921611111,Miguel Andujar,NYY,3B
3.816944444,Austin Romine,NYY,C
2.506777778,Shane Robinson,NYY,UT
1.684888889,Ronald Torreyes,NYY,IF
1.305222222,Tyler Wade,NYY,2B
1.12,Billy McKinney,NYY,LF
12.54511111,Manuel Margot,SDP,CF
8.480666667,Wil Myers,SDP,UT
7.189,A.J. Ellis,SDP,C
6.621666667,Franchy Cordero,SDP,OF
6.586722222,Jose Pirela,SDP,LF
6.401222222,Eric Hosmer,SDP,1B
5.840166667,Hunter Renfroe,SDP,RF
5.616611111,Freddy Galvis,SDP,SS
4.498444444,Travis Jankowski,SDP,OF
4.392833333,Cory Spangenberg,SDP,UT
4.2455,Rafael Lopez,SDP,C
3.824888889,Austin Hedges,SDP,C
2.686833333,Chase Headley,SDP,UT
2.217833333,Christian Villanueva,SDP,3B
1.897833333,Carlos Asuaje,SDP,2B
1.740277778,Matt Szczur,SDP,OF
8.920222222,Kyle Seager,SEA,3B
8.242611111,Jean Segura,SEA,SS
7.339555556,Robinson Cano,SEA,2B
7.056555556,Ryon Healy,SEA,1B
6.969777778,Ben Gamel,SEA,LF
6.366444444,Mitch Haniger,SEA,RF
6.353722222,Dee Gordon,SEA,CF
5.955333333,Nelson Cruz,SEA,DH
4.516388889,Mike Zunino,SEA,C
4.355111111,David Freitas,SEA,C
4.240333333,Andrew Romine,SEA,UT
3.898055556,Guillermo Heredia,SEA,UT
3.779611111,Taylor Motter,SEA,UT
2.428888889,Daniel Vogelbach,SEA,UT
2.136277778,Ichiro Suzuki,SEA,UT
1.887222222,Mike Marjama,SEA,C
12.77783333,Dexter Fowler,STL,RF
11.6295,Jose Martinez,STL,1B
10.81938889,Tommy Pham,STL,CF
10.69577778,Yadier Molina,STL,C
9.823111111,Paul DeJong,STL,SS
9.389722222,Kolten Wong,STL,2B
8.568055556,Marcell Ozuna,STL,LF
