"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
"65425",6.96793333333333,"Jose Pirela","SDP","LF",2,1.30769230769231,1,0,0,0.36,0.2,0.308333333333333
"65426",5.86276666666666,"Austin Hedges","SDP","C",0,0.636363636363636,0,1,0.5,0.222222222222222,0.409090909090909,0.272727272727273
"65427",6.15646666666667,"Eric Hosmer","SDP","1B",5,1.09090909090909,0,2,0,0.35,0.15625,0.16597510373444
"65428",2.9367,"Franchy Cordero","SDP","OF",15,0.75,2,1,0,0,0.4,0.178571428571429
"65429",3.9126,"Carlos Asuaje","SDP","2B",2,0.615384615384615,0,1,0,0.125,0.25,0.149532710280374
"65430",10.6023666666667,"Wil Myers","SDP","UT",8,NA,0,0,0,0,0.138888888888889,0.23841059602649
"65431",8.58823333333333,"Christian Villanueva","SDP","3B",5,1.16666666666667,0,3,0,0.333333333333333,0.25,0.333333333333333
"65432",6.98606666666667,"Freddy Galvis","SDP","SS",0,0.846153846153846,0,0,0.5,0.35,0.3125,0.313829787234043
"65433",12.6899,"Michael Conforto","NYM","CF",2,0.666666666666667,0,0,0,0.1,0.142857142857143,0.136
"65434",9.88573333333333,"Jay Bruce","NYM","RF",6,0.416666666666667,0,0,0,0,0.179487179487179,0.22360248447205
"65436",4.0614,"Wilmer Flores","NYM","CI",6,0.7,0,2,0,0.111111111111111,0.217391304347826,0.224137931034483
"65438",1.2029,"Tomas Nido","NYM","C",7,0.166666666666667,0,0,0,0,0,0.333333333333333
"65439",8.73453333333334,"Todd Frazier","NYM","3B",9,1.08333333333333,1,3,0,0.0555555555555556,0.264705882352941,0.213709677419355
"65440",4.76726666666667,"Amed Rosario","NYM","SS",14,0.666666666666667,0,0,0,0,0.142857142857143,0.1875
"65441",8.43363333333333,"Asdrubal Cabrera","NYM","2B",14,1.41666666666667,0,4,0,0.04,0.136363636363636,0.195530726256983
"65442",6.66683333333333,"Yoenis Cespedes","NYM","LF",7,0.75,0,1,0,0,0.272727272727273,0.219047619047619
"65443",6.41376666666667,"Roberto Perez","CLE","C",0,1,0,1,0,0,0,0
"65444",14.5222666666667,"Jose Ramirez","CLE","3B",2,1.1,2,3,0,0,0.0465116279069767,0.036144578313253
"65446",9.95516666666666,"Jason Kipnis","CLE","2B",7,0.7,0,0,0,0,0.0625,0.0357142857142857
"65447",6.9041,"Michael Brantley","CLE","LF",9,1.375,1,1,0,0,0.0909090909090909,0.0232558139534884
"65448",10.1006333333333,"Francisco Lindor","CLE","SS",7,1,1,2,0,0,0.0238095238095238,0.0387931034482759
"65449",11.197,"Edwin Encarnacion","CLE","DH",2,0.5,0,1,0,0,0,0.0160427807486631
"65450",11.6656666666667,"Yonder Alonso","CLE","1B",0,0.6,0,1,0,0,0,0.0136518771331058
"65454",9.19083333333334,"Khris Davis","OAK","DH",2,1.36363636363636,0,4,0.6,0.863636363636364,0.702127659574468,0.737967914438503
"65455",8.2508,"Matt Chapman","OAK","3B",5,0.818181818181818,0,3,0.666666666666667,0.545454545454545,0.652173913043478,0.627450980392157
"65456",9.3871,"Chad Pinder","OAK","UT",6,0,0,0,0,0,0.789473684210526,0.675
"65457",14.8624666666667,"Matt Olson","OAK","1B",6,1.18181818181818,0,2,0.666666666666667,0.761904761904762,0.758620689655172,0.773333333333333
"65458",8.7683,"Marcus Semien","OAK","SS",2,1.09090909090909,1,1,0.5,0.681818181818182,0.75,0.661016949152542
"65460",11.0030333333333,"Mark Canha","OAK","CF",3,1.14285714285714,0,2,0.333333333333333,0.666666666666667,0.555555555555556,0.521739130434783
"65461",7.48503333333334,"Jed Lowrie","OAK","2B",20,1.63636363636364,0,6,0.857142857142857,0.620689655172414,0.85,0.711442786069652
"65462",7.95906666666667,"Jonathan Lucroy","OAK","C",3,0.888888888888889,0,0,0,0.733333333333333,0.8,0.701149425287356
"65463",7.76353333333333,"Stephen Piscotty","OAK","RF",4,1.27272727272727,0,1,0,0.619047619047619,0.7,0.764705882352941
"65464",10.8754333333333,"Nolan Arenado","COL","3B",21,1.125,1,0,0,0.428571428571429,0.634146341463415,0.738738738738739
"65465",7.40486666666667,"Trevor Story","COL","SS",4,0.923076923076923,3,4,0.4,0.4375,0.709677419354839,0.737931034482759
"65466",5.50486666666666,"Gerardo Parra","COL","LF",3,0.692307692307692,1,0,0,0.692307692307692,0.727272727272727,0.798611111111111
"65469",6.6934,"Chris Iannetta","COL","C",0,0.7,0,2,0.333333333333333,0.5,0.6,0.626506024096386
"65470",1.61003333333333,"Ryan McMahon","COL","CI",13,0.333333333333333,0,0,0,0.8,0,0.875
"65471",11.0253666666667,"DJ LeMahieu","COL","2B",7,1.23076923076923,0,3,0.6,0.583333333333333,0.461538461538462,0.733624454148472
"65472",8.96449999999999,"Charlie Blackmon","COL","CF",5,0.875,0,3,0.571428571428571,0.333333333333333,0.782608695652174,0.736220472440945
"65473",6.6077,"Ian Desmond","COL","1B",0,0.230769230769231,1,2,0.25,0.272727272727273,0.666666666666667,0.745614035087719
"65475",7.43403333333333,"Marwin Gonzalez","HOU","LF",4,0.583333333333333,0,0,0.5,0.384615384615385,0.8,0.727810650887574
"65476",10.0427333333333,"Brian McCann","HOU","C",11,1,0,1,0,0.285714285714286,0.6,0.700934579439252
"65477",10.8961333333333,"George Springer","HOU","OF",16,0.923076923076923,0,3,0,0.526315789473684,0.571428571428571,0.671641791044776
"65478",12.9866,"Jose Altuve","HOU","2B",3,1.15384615384615,0,0,0,0.464285714285714,0.68,0.699619771863118
"65479",9.79389999999999,"Carlos Correa","HOU","SS",33,0.846153846153846,1,0,0.333333333333333,0.428571428571429,0.586206896551724,0.614035087719298
"65480",7.9296,"Josh Reddick","HOU","RF",3,0.636363636363636,1,2,0.6,0.642857142857143,0.80952380952381,0.845360824742268
"65481",7.81456666666667,"Yuli Gurriel","HOU","1B",11,1,0,0,0,0.428571428571429,0.714285714285714,0.708108108108108
"65483",5.27153333333333,"Derek Fisher","HOU","LF",8,0.0909090909090909,1,0,0,0.8,0.833333333333333,0.804878048780488
"65484",8.56136666666667,"Alex Bregman","HOU","3B",13,1,2,1,0.5,0.555555555555556,0.8,0.642857142857143
"65486",10.7918,"Tommy Pham","STL","CF",11,1.09090909090909,3,1,0,0.285714285714286,0.166666666666667,0.209876543209877
"65487",11.3095,"Matt Carpenter","STL","3B",3,0.6,0,1,0.5,0.363636363636364,0.148148148148148,0.202797202797203
"65488",8.12826666666667,"Yadier Molina","STL","C",6,1.1,0,2,0.2,0.315789473684211,0.32,0.251497005988024
"65489",11.5530666666667,"Paul DeJong","STL","SS",8,0.454545454545455,0,2,0.166666666666667,0.25,0.233333333333333,0.215827338129496
"65490",10.3509666666667,"Harrison Bader","STL","OF",10,0.555555555555556,2,1,0,0.333333333333333,0,0.214285714285714
"65491",9.51466666666667,"Marcell Ozuna","STL","LF",4,1.1,0,1,0.333333333333333,0.15,0.0851063829787234,0.170403587443946
"65493",9.92909999999999,"Jose Martinez","STL","1B",14,1.18181818181818,0,2,0.333333333333333,0.545454545454545,0.136363636363636,0.201754385964912
"65494",9.58336666666666,"Jedd Gyorko","STL","3B",2,1,0,0,0,0.333333333333333,0.333333333333333,0.251908396946565
"65495",7.99193333333333,"Trey Mancini","BAL","LF",6,1.45454545454545,0,1,0.333333333333333,0.478260869565217,0.777777777777778,0.673575129533679
