"","RFPred","Name","HTeam","Pos"
"1",5.77305555555555,"Ryan Zimmerman","WSN","1B"
"2",6.91605555555555,"Howie Kendrick","WSN","2B"
"3",7.79877777777778,"Trea Turner","WSN","SS"
"4",5.67472222222222,"Anthony Rendon","WSN","3B"
"5",6.18638888888889,"Michael Taylor","WSN","CF"
"6",7.88094444444444,"Bryce Harper","WSN","RF"
"7",10.8299444444444,"Matt Adams","WSN","UT"
"8",4.67788888888889,"Matt Wieters","WSN","C"
"9",8.40611111111111,"Adam Eaton","WSN","LF"
"10",8.43266666666667,"Brian Goodwin","WSN","OF"
"11",0,"Sean Doolittle","WSN","CL"
"12",7.76538888888889,"Wilmer Difo","WSN","IF"
"13",0,"Matt Grace","WSN",""
"14",3.19377777777778,"Enny Romero","WSN",""
"15",0.366666666666667,"Miguel MonteroDFA","WSN","C"
"16",3.52866666666667,"Pedro Severino","WSN","C"
"17",0,"Shawn Kelley","WSN",""
"18",0.3,"A.J. Cole","WSN",""
"19",2.3535,"Matt Reynolds","WSN","3B"
"20",2.421,"Moises Sierra","WSN","LF"
"21",2.31511111111111,"Andrew Stevenson","WSN","OF"
"22",0,"Carlos Torres","WSN",""
"23",2.11227777777778,"Adrian Sanchez","WSN","3B"
"24",2.33922222222222,"Rafael Bautista","WSN","OF"
"25",0,"Austin Adams","WSN",""
"26",0,"Wander Suero","WSN",""
"27",6.23372222222222,"Austin Hedges","SDP","C"
"28",11.7472777777778,"Eric Hosmer","SDP","1B"
"29",2.18238888888889,"Carlos Asuaje","SDP","2B"
"30",7.89033333333333,"Freddy Galvis","SDP","SS"
"31",8.07838888888889,"Jose Pirela","SDP","LF"
"32",7.80372222222222,"Manuel Margot","SDP","CF"
"33",5.66638888888889,"Hunter Renfroe","SDP","RF"
"34",2.76694444444444,"Cory Spangenberg","SDP","UT"
"35",3.95777777777778,"Chase Headley","SDP","UT"
"36",6.32977777777778,"Wil Myers","SDP","UT"
"37",1.66788888888889,"Matt Szczur","SDP","OF"
"38",5.44905555555556,"Rafael Lopez","SDP","C"
"39",0,"Brad Hand","SDP","CL"
"40",0,"Kirby Yates","SDP",""
"41",0,"Kyle McGrath","SDP",""
"42",3.63455555555556,"Christian Villanueva","SDP","3B"
"43",0.05,"Robbie Erlin","SDP",""
"44",3.52738888888889,"A.J. Ellis","SDP","C"
"45",0,"Phil Maton","SDP",""
"46",7.8875,"Franchy Cordero","SDP","OF"
"47",0,"Buddy Baumann","SDP",""
"48",0,"Colten Brewer","SDP",""
"49",0,"Tyler Webb","SDP",""
"50",7.08616666666667,"Travis Jankowski","SDP","OF"
"51",0,"Javy Guerra","SDP",""
"52",7.237,"Jonathan Lucroy","OAK","C"
"53",7.75883333333333,"Matt Olson","OAK","1B"
"54",7.02388888888889,"Jed Lowrie","OAK","2B"
"55",7.76472222222222,"Marcus Semien","OAK","SS"
"56",4.481,"Matt Chapman","OAK","3B"
"57",5.29016666666667,"Matthew Joyce","OAK","LF"
"58",3.34777777777778,"Stephen Piscotty","OAK","RF"
"59",9.48166666666667,"Khris Davis","OAK","DH"
"60",2.11561111111111,"Boog Powell","OAK","CF"
"61",6.60127777777778,"Chad Pinder","OAK","UT"
"62",1.90283333333333,"Jake Smolinski","OAK","CF"
"63",4.448,"Bruce Maxwell","OAK","C"
"64",3.95766666666667,"Trayce Thompson","OAK","CF"
"65",6.35638888888889,"Mark Canha","OAK","CF"
"66",0,"Chris Hatcher","OAK",""
"67",0,"Liam Hendriks","OAK",""
"68",7.46533333333333,"Franklin Barreto","OAK","2B"
"69",5.06327777777778,"Justin Bour","MIA","1B"
"70",7.02805555555555,"Starlin Castro","MIA","2B"
"71",4.06916666666667,"Miguel Rojas","MIA","SS"
"72",4.55933333333333,"Brian Anderson","MIA","3B"
