"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","BHSplit"
"72398",5.6267,"Pete Kozma","DET","IF",3,1.5,0,0,0
"72399",3.3589,"Victor Martinez","DET","DH",2,0.2,0,1,3
"72400",8.21116666666667,"Eric Hosmer","SDP","1B",13,0.5,0,0,1
"72401",6.49923333333334,"Jose Pirela","SDP","LF",0,1.16666666666667,0,0,0
"72402",6.2706,"Manuel Margot","SDP","CF",3,1,1,0,0
"72403",6.18036666666666,"A.J. Ellis","SDP","C",3,1,0,0,0
"72404",7.4038,"Freddy Galvis","SDP","SS",24,0.5,1,0,0
"72405",6.52813333333333,"Christian Villanueva","SDP","3B",3,0,0,0,3
"72408",5.03756666666667,"Franchy Cordero","SDP","OF",2,1,2,0,3
"72411",10.6666666666667,"Yonder Alonso","CLE","1B",0,1,0,1,5
"72412",11.3276333333333,"Yan Gomes","CLE","C",0,1.33333333333333,0,1,2
"72413",13.3199,"Francisco Lindor","CLE","SS",3,2.4,0,4,8
"72415",5.48153333333333,"Greg Allen","CLE","CF",19,0.666666666666667,0,0,0
"72416",11.0473333333333,"Edwin Encarnacion","CLE","DH",6,1,0,0,2
"72417",3.29573333333333,"Brandon Guyer","CLE","RF",2,0.5,0,0,0
"72418",10.2973,"Jose Ramirez","CLE","3B",19,1.2,3,3,6
"72419",5.27736666666667,"Jason Kipnis","CLE","2B",2,0.25,0,0,0
"72420",9.46693333333333,"Michael Brantley","CLE","LF",3,1.4,0,2,3
"72421",12.9098666666667,"Justin Upton","LAA","LF",6,1.5,0,4,2
"72422",4.64803333333333,"Luis Valbuena","LAA","3B",3,0.5,0,0,0
"72423",11.2494666666667,"Ian Kinsler","LAA","2B",0,1,0,1,0
"72424",5.65866666666667,"Martin Maldonado","LAA","C",4,2,0,0,0
"72425",6.51646666666667,"Mike Trout","LAA","CF",2,0.5,2,0,0
"72426",5.76983333333333,"Albert Pujols","LAA","1B",0,1,0,0,0
"72427",5.5737,"Kole Calhoun","LAA","RF",0,0.4,1,0,0
"72428",6.50846666666667,"Andrelton Simmons","LAA","SS",10,1,1,0,0
"72429",15.0028333333333,"Zack Cozart","LAA","3B",0,1.16666666666667,0,1,1
"72431",4.9059,"Brad Miller","TBR","1B",0,1,0,2,1
"72432",2.60486666666667,"Adeiny Hechavarria","TBR","SS",11,0.8,0,0,0
"72433",4.4825,"Daniel Robertson","TBR","IF",0,0.166666666666667,0,0,1
"72434",6.71436666666667,"Carlos Gomez","TBR","RF",3,0.714285714285714,0,0,1
"72435",8.91213333333334,"C.J. Cron","TBR","DH",8,1.75,0,2,1
"72436",5.3747,"Wilson Ramos","TBR","C",0,0.833333333333333,0,0,2
"72437",7.98583333333333,"Matt Duffy","TBR","3B",9,1.5,0,2,0
"72438",1.69176666666667,"Rob Refsnyder","TBR","UT",0,0.2,0,0,0
"72439",5.09813333333333,"Johnny Field","TBR","OF",3,1,0,0,2
"72441",5.5378,"Max Stassi","HOU","C",3,2,0,1,1
"72442",8.0647,"Josh Reddick","HOU","RF",8,0.5,0,0,1
"72443",7.6894,"George Springer","HOU","OF",3,1,0,0,2
"72444",10.6742333333333,"Carlos Correa","HOU","SS",7,0.75,0,2,2
"72445",8.4732,"Alex Bregman","HOU","3B",0,1,0,1,1
"72446",5.86973333333334,"Evan Gattis","HOU","DH",6,1.25,1,2,2
"72448",10.8763666666667,"Yuli Gurriel","HOU","1B",0,1.2,0,0,0
"72449",8.855,"Jose Altuve","HOU","2B",3,0.8,1,0,0
"72450",5.11443333333333,"Ketel Marte","ARI","2B",5,1.16666666666667,0,0,1
"72451",4.44636666666667,"John Ryan Murphy","ARI","C",5,0.25,0,1,0
"72452",9.22203333333334,"David Peralta","ARI","LF",0,1.4,0,1,5
"72453",5.60613333333333,"Daniel Descalso","ARI","3B",6,1,0,1,1
"72454",6.8693,"Paul Goldschmidt","ARI","1B",5,0.5,0,0,0
"72455",5.18493333333333,"Nick Ahmed","ARI","SS",0,0.833333333333333,0,1,3
"72457",6.53323333333333,"Steven Souza","ARI","RF",9,0.5,1,0,0
"72460",9.16966666666667,"A.J. Pollock","ARI","CF",0,1,1,1,5
"72462",11.0158666666667,"Jean Segura","SEA","SS",9,1.5,2,0,1
"72463",3.27396666666667,"Gordon Beckham","SEA","2B",0,NA,0,0,0
"72464",7.6955,"Mike Zunino","SEA","C",0,1.16666666666667,0,2,4
"72465",7.14596666666667,"Mitch Haniger","SEA","RF",0,1,2,0,5
"72466",13.897,"Nelson Cruz","SEA","DH",5,1,2,0,4
"72467",9.74986666666666,"Ryon Healy","SEA","1B",6,1.5,0,3,4
"72468",8.21536666666667,"Dee Gordon","SEA","CF",8,0.714285714285714,1,0,0
"72469",8.81466666666666,"Kyle Seager","SEA","3B",0,1.25,0,3,1
"72470",5.38436666666667,"Ben Gamel","SEA","LF",8,0.285714285714286,0,0,0
"72471",2.25,"Sandy Leon","BOS","C",5,0.5,0,0,0
"72472",12.0909666666667,"Andrew Benintendi","BOS","LF",5,1.4,2,1,2
"72473",6.94166666666667,"Xander Bogaerts","BOS","SS",2,1,0,1,2
"72474",8.15413333333333,"Hanley Ramirez","BOS","UT",3,0.75,0,2,2
"72475",2.6756,"Blake Swihart","BOS","UT",0,NA,0,0,0
"72476",5.1737,"Eduardo Nunez","BOS","2B",3,1.25,1,0,1
"72477",7.544,"J.D. Martinez","BOS","DH",18,1.2,0,1,3
"72478",12.3769333333333,"Mookie Betts","BOS","RF",16,1.4,3,0,5
"72479",7.69736666666667,"Rafael Devers","BOS","3B",15,0.8,0,0,3
"72481",8.50723333333333,"Gerardo Parra","COL","LF",15,1,1,0,0
"72482",9.091,"Chris Iannetta","COL","C",5,1,0,1,1
"72483",6.18636666666667,"Ian Desmond","COL","1B",5,0.333333333333333,0,0,2
"72484",2.5815,"Noel Cuevas","COL","OF",15,0.5,0,0,0
"72486",13.6337333333333,"Trevor Story","COL","SS",0,1.16666666666667,0,3,4
"72487",11.5246,"Nolan Arenado","COL","3B",11,1.16666666666667,0,0,1
"72488",12.1466,"Charlie Blackmon","COL","CF",10,0.833333333333333,0,0,2
"72489",0.9643,"Daniel Castro","COL","2B",15,0,0,0,0
"72490",7.75356666666667,"Joe Mauer","MIN","1B",3,1.25,0,0,0
"72491",6.37546666666667,"Eduardo Escobar","MIN","3B",0,0.6,0,1,1
"72492",3.33673333333333,"Byron Buxton","MIN","CF",0,0.333333333333333,0,0,0
"72493",7.26473333333334,"Logan Morrison","MIN","DH",3,0.8,0,0,0
"72495",4.30223333333333,"Mitch Garver","MIN","C",6,0.8,0,0,1
"72496",5.79196666666667,"Ehire Adrianza","MIN","SS",3,0.8,1,0,0
"72497",6.23586666666667,"Max Kepler","MIN","RF",0,0.4,0,1,0
"72499",12.5523333333333,"Brian Dozier","MIN","2B",0,1.8,0,2,1
"72500",10.5333666666667,"Scooter Gennett","CIN","2B",0,2.75,0,3,4
"72502",10.7435,"Billy Hamilton","CIN","CF",5,0.833333333333333,3,0,1
"72503",5.8642,"Scott Schebler","CIN","RF",28,0.5,0,1,3
"72504",5.84543333333334,"Adam Duvall","CIN","LF",20,0.666666666666667,0,1,3
"72505",3.39406666666667,"Tucker Barnhart","CIN","C",20,1.75,0,0,0
"72506",7.04246666666667,"Jose Peraza","CIN","SS",3,0.833333333333333,1,0,2
"72508",9.1541,"Eugenio Suarez","CIN","3B",0,1.33333333333333,0,1,2
"72509",5.86156666666667,"Jesse Winker","CIN","RF",11,0.75,0,0,0
"72511",7.9588,"Mike Moustakas","KCR","3B",3,1.33333333333333,0,2,4
"72512",5.23563333333334,"Alex Gordon","KCR","OF",0,1,1,1,1
"72513",5.84203333333333,"Alcides Escobar","KCR","SS",5,0.833333333333333,0,0,1
"72515",11.3651,"Whit Merrifield","KCR","2B",21,1.5,2,0,1
"72517",3.3475,"Cheslor Cuthbert","KCR","DH",0,0.5,0,0,3
"72518",5.6468,"Salvador Perez","KCR","C",2,1.16666666666667,0,3,3
"72519",9.18443333333332,"Jorge Soler","KCR","RF",2,1.66666666666667,0,1,2
"72520",6.16343333333334,"Jon Jay","KCR","LF",11,1.83333333333333,0,0,0
