"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","BHSplit"
"72339",4.23083333333333,"Jonathan Villar","MIL","2B",30,0.25,0,0,0
"72340",8.33996666666667,"Orlando Arcia","MIL","SS",8,0.6,1,0,1
"72342",2.52853333333333,"Jesus Aguilar","MIL","1B",0,1,0,1,0
"72343",7.29173333333333,"Travis Shaw","MIL","3B",2,1.6,0,3,0
"72344",8.64716666666667,"Lorenzo Cain","MIL","CF",7,1.75,0,1,2
"72346",5.28163333333333,"Manny Pina","MIL","C",11,1.25,0,1,1
"72347",4.2531,"Domingo Santana","MIL","RF",0,1,0,0,0
"72348",4.33146666666667,"Hernan Perez","MIL","UT",3,1.75,0,0,0
"72352",7.1517,"Kris Bryant","CHC","3B",15,0.8,0,2,3
"72353",3.38643333333333,"Victor Caratini","CHC","UT",5,0.5,0,0,0
"72354",6.79966666666667,"Kyle Schwarber","CHC","LF",9,0.5,2,0,4
"72355",5.0767,"Albert Almora","CHC","CF",21,0.75,0,0,0
"72356",7.55763333333334,"Anthony Rizzo","CHC","1B",4,1.4,1,2,4
"72357",8.13913333333333,"Javier Baez","CHC","2B",0,1,2,0,5
"72358",5.20416666666666,"Tommy La Stella","CHC","IF",5,0.75,0,0,0
"72360",4.55686666666667,"Ben Zobrist","CHC","UT",3,0.75,0,0,0
"72362",6.55673333333333,"Jed Lowrie","OAK","2B",0,1.2,0,1,5
"72363",1.92933333333333,"Dustin Fowler","OAK","CF",11,0.25,0,0,0
"72364",5.94956666666667,"Jonathan Lucroy","OAK","C",8,0.75,0,0,0
"72365",7.82963333333333,"Marcus Semien","OAK","SS",3,1.6,1,0,0
"72366",7.1503,"Matt Olson","OAK","1B",20,0.4,0,0,2
"72367",10.8257333333333,"Khris Davis","OAK","DH",18,0.8,0,2,3
"72368",6.69493333333333,"Matthew Joyce","OAK","LF",18,0.6,0,1,1
"72369",7.87903333333333,"Matt Chapman","OAK","3B",8,0.6,0,1,1
"72370",8.958,"Mark Canha","OAK","CF",0,1,0,1,2
"72371",6.92536666666667,"Jose Bautista","ATL","UT",17,0.166666666666667,0,1,0
"72373",6.27983333333334,"Tyler Flowers","ATL","C",26,1,0,0,0
"72374",6.29126666666667,"Nick Markakis","ATL","RF",10,1.5,0,1,3
"72376",8.82316666666667,"Ozzie Albies","ATL","2B",24,0.833333333333333,2,2,4
"72377",9.54583333333333,"Ender Inciarte","ATL","CF",0,1.5,4,2,1
"72378",7.56336666666667,"Ronald Acuna","ATL","LF",2,0.666666666666667,1,1,0
"72379",2.88403333333333,"Charlie Culberson","ATL","IF",2,1,0,0,0
"72380",8.76613333333333,"Freddie Freeman","ATL","1B",9,1.66666666666667,0,3,4
"72381",5.8653,"Austin Jackson","SFG","CF",2,0.6,0,0,0
"72382",5.75886666666667,"Brandon Crawford","SFG","SS",16,1.16666666666667,0,0,0
"72383",6.5873,"Evan Longoria","SFG","3B",11,1,0,1,1
"72384",4.65556666666667,"Gregor Blanco","SFG","OF",5,1,0,1,0
"72385",9.2666,"Buster Posey","SFG","C",15,1,0,0,0
"72386",9.49013333333334,"Brandon Belt","SFG","1B",26,1.16666666666667,1,0,1
"72387",2.73616666666667,"Kelby Tomlinson","SFG","MI",3,0.5,0,0,0
"72388",9.57156666666667,"Andrew McCutchen","SFG","RF",16,1.2,0,0,1
"72391",6.94836666666667,"Jose Iglesias","DET","SS",18,1.2,0,3,2
"72392",2.07786666666667,"Dixon Machado","DET","2B",3,1.14285714285714,1,0,0
"72393",7.0138,"JaCoby Jones","DET","LF",0,1.28571428571429,0,0,2
"72394",7.31366666666667,"Niko Goodrum","DET","UT",30,2,0,1,0
"72395",5.13123333333333,"James McCann","DET","C",6,0.857142857142857,0,0,2
"72396",6.33176666666667,"Mikie Mahtook","DET","LF",8,0.833333333333333,2,0,0
"72397",6.16423333333333,"John Hicks","DET","UT",12,1.57142857142857,0,2,2
