"","RFPred","Name","HTeam","Pos","Actual","H","SB"
"72487",11.6724333333333,"Nolan Arenado","COL","3B",11,0,0
"72488",11.5500333333333,"Charlie Blackmon","COL","CF",10,0,0
"72489",0.8998,"Daniel Castro","COL","2B",15,0,0
"72490",7.34433333333333,"Joe Mauer","MIN","1B",3,0,0
"72491",5.64463333333333,"Eduardo Escobar","MIN","3B",0,1,0
"72492",3.65553333333333,"Byron Buxton","MIN","CF",0,0,0
"72493",7.57083333333334,"Logan Morrison","MIN","DH",3,0,0
"72495",4.538,"Mitch Garver","MIN","C",6,0,0
"72496",6.1953,"Ehire Adrianza","MIN","SS",3,0,1
"72497",6.50056666666667,"Max Kepler","MIN","RF",0,1,0
"72499",12.6391,"Brian Dozier","MIN","2B",0,2,0
"72500",10.4074,"Scooter Gennett","CIN","2B",0,3,0
"72502",9.9697,"Billy Hamilton","CIN","CF",5,0,3
"72503",5.71206666666667,"Scott Schebler","CIN","RF",28,1,0
"72504",6.05393333333333,"Adam Duvall","CIN","LF",20,1,0
"72505",3.10443333333333,"Tucker Barnhart","CIN","C",20,0,0
"72506",6.69683333333333,"Jose Peraza","CIN","SS",3,0,1
"72508",8.436,"Eugenio Suarez","CIN","3B",0,1,0
"72509",5.7067,"Jesse Winker","CIN","RF",11,0,0
"72511",7.3771,"Mike Moustakas","KCR","3B",3,2,0
"72512",5.14973333333333,"Alex Gordon","KCR","OF",0,1,1
"72513",5.78376666666667,"Alcides Escobar","KCR","SS",5,0,0
"72515",11.4335333333333,"Whit Merrifield","KCR","2B",21,0,2
"72517",3.93106666666667,"Cheslor Cuthbert","KCR","DH",0,0,0
"72518",6.0727,"Salvador Perez","KCR","C",2,3,0
"72519",9.86413333333334,"Jorge Soler","KCR","RF",2,1,0
"72520",6.00280000000001,"Jon Jay","KCR","LF",11,0,0
