"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
"64597",9.50016666666667,"Nick Williams","PHI","RF",2,0.9,0,1,0,0.727272727272727,0.733333333333333,0.777777777777778
"64599",7.966,"Cesar Hernandez","PHI","2B",19,0.833333333333333,3,1,0.5,0.733333333333333,0.818181818181818,0.752747252747253
"64601",3.88713333333333,"Andrew Knapp","PHI","C",5,0.5,0,0,0,0.6,0.5,0.857142857142857
"64602",5.05953333333333,"Odubel Herrera","PHI","CF",3,1.54545454545455,1,1,0.5,0.789473684210526,0.722222222222222,0.713513513513514
"64603",2.09323333333333,"Maikel Franco","PHI","3B",9,0.888888888888889,0,2,0.333333333333333,0.6,0.586206896551724,0.721854304635762
"64607",9.9078,"Rhys Hoskins","PHI","LF",8,0.833333333333333,2,1,0,0.625,0.8,0.808823529411765
"64608",9.10866666666666,"Carlos Santana","PHI","1B",4,0.5,1,1,0,0.444444444444444,0.678571428571429,0.621212121212121
"64609",5.00846666666667,"Jose Iglesias","DET","SS",6,0.428571428571429,1,0,0,0.4,0.571428571428571,0.687074829931973
"64610",6.10186666666667,"Victor Martinez","DET","DH",21,1.14285714285714,0,0,0,0.727272727272727,0.5,0.752066115702479
"64611",6.41436666666667,"James McCann","DET","C",3,0.5,0,1,0,0.666666666666667,0.5,0.703703703703704
"64612",4.90556666666667,"Miguel Cabrera","DET","1B",4,0.75,0,0,0.666666666666667,0.8125,0.681818181818182,0.743243243243243
"64615",1.49176666666667,"Niko Goodrum","DET","UT",2,0.5,3,1,0.5,0.875,0.5,0.9
"64616",4.59536666666667,"Jeimer Candelario","DET","3B",14,1,0,1,0,0.846153846153846,0.75,0.802197802197802
"64617",4.0053,"Dixon Machado","DET","2B",0,0.75,0,0,0,0.857142857142857,0.5,0.712121212121212
"64618",2.83033333333333,"Leonys Martin","DET","CF",8,0.875,1,0,0,0.909090909090909,0.857142857142857,0.754098360655738
"64619",8.49443333333334,"Nicholas Castellanos","DET","RF",6,1.125,0,0,0,0.85,0.766666666666667,0.80952380952381
"64620",6.19603333333334,"Jefry Marte","LAA","1B",3,0.75,0,0,0,0.416666666666667,0.857142857142857,0.5
"64622",6.85663333333333,"Albert Pujols","LAA","1B",3,1.45454545454545,0,2,0.333333333333333,0.19047619047619,0.09375,0.27027027027027
"64623",5.90593333333333,"Martin Maldonado","LAA","C",4,1,0,0,0,0.454545454545455,0.3125,0.366071428571429
"64624",4.4554,"Andrelton Simmons","LAA","SS",4,1.09090909090909,1,1,0.5,0.181818181818182,0.277777777777778,0.281407035175879
