"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplit","HSplit"
"64681",0.786266666666667,"Luis Sardinas","BAL","2B",2,NA,0,0,0,0
"64683",6.87466666666667,"Adam Jones","BAL","CF",6,0.5,0,0,0,0.333333333333333
"64684",5.4526,"Danny Valencia","BAL","UT",2,0.333333333333333,0,0,0.5,0.5
"64686",5.41783333333333,"Chris Davis","BAL","1B",2,1,0,0,0,0
"64687",5.49263333333333,"Tim Beckham","BAL","3B",2,0.25,0,0,0,0.333333333333333
"64688",5.2478,"Caleb Joseph","BAL","C",0,0,0,0,0,0.5
"64689",4.31526666666667,"Craig Gentry","BAL","OF",2,0.5,1,0,0,0.857142857142857
"64691",7.76976666666666,"Trey Mancini","BAL","LF",18,1.5,0,0,0,0.421052631578947
"64692",6.41863333333333,"Manny Machado","BAL","SS",5,1.25,0,0,0.5,0.4375
"64693",10.6276,"Jean Segura","SEA","SS",3,1,0,1,0,0.157894736842105
"64694",8.5514,"Kyle Seager","SEA","3B",0,2.25,0,2,0.25,0.1875
"64695",7.94476666666667,"Mitch Haniger","SEA","RF",0,1,0,2,0,0.0909090909090909
"64696",2.18973333333333,"Ichiro Suzuki","SEA","UT",3,0.5,0,0,0,0
"64697",9.17716666666667,"Robinson Cano","SEA","2B",15,0.75,0,0,0,0.133333333333333
"64698",8.76783333333334,"Nelson Cruz","SEA","DH",0,0.5,0,0,0,0
"64699",5.96103333333333,"Mike Marjama","SEA","C",0,0,0,0,0,0.25
"64700",9.03673333333334,"Dee Gordon","SEA","CF",0,1.25,2,0,0,0.111111111111111
"64701",10.8689666666667,"Daniel Vogelbach","SEA","UT",2,1,0,2,0,0
"64704",6.6888,"Luke Maile","TOR","C",10,2,0,0,0,0.5
"64705",8.0655,"Luke Maile","TOR","C",10,2,0,0,0,0.5
"647041",6.62456666666666,"Luke Maile","TOR","C",10,2,0,0,0,0.5
"647051",7.8762,"Luke Maile","TOR","C",10,2,0,0,0,0.5
"64726",8.09533333333333,"Russell Martin","TOR","C",4,0,0,0,0.333333333333333,0.5
"64727",12.7243333333333,"Russell Martin","TOR","C",4,0,0,0,0.333333333333333,0.5
"647261",8.93033333333333,"Russell Martin","TOR","C",4,0,0,0,0.333333333333333,0.5
"647271",12.6451,"Russell Martin","TOR","C",4,0,0,0,0.333333333333333,0.5
"64736",4.11696666666667,"Devon Travis","TOR","2B",7,0,0,0,0,0.5
"64737",4.10896666666667,"Devon Travis","TOR","2B",7,0,0,0,0,0.5
"64738",4.12623333333333,"Devon Travis","TOR","2B",6,0,0,0,0,0.5
"64739",4.0207,"Devon Travis","TOR","2B",6,0,0,0,0,0.5
"647361",4.0886,"Devon Travis","TOR","2B",7,0,0,0,0,0.5
"647371",4.69033333333333,"Devon Travis","TOR","2B",7,0,0,0,0,0.5
"647381",4.18423333333333,"Devon Travis","TOR","2B",6,0,0,0,0,0.5
"647391",4.6467,"Devon Travis","TOR","2B",6,0,0,0,0,0.5
"647362",4.06603333333333,"Devon Travis","TOR","2B",7,0,0,0,0,0.5
"647372",4.38336666666666,"Devon Travis","TOR","2B",7,0,0,0,0,0.5
"647382",4.24323333333333,"Devon Travis","TOR","2B",6,0,0,0,0,0.5
"647392",4.4445,"Devon Travis","TOR","2B",6,0,0,0,0,0.5
"647363",4.17503333333333,"Devon Travis","TOR","2B",7,0,0,0,0,0.5
"647373",4.7064,"Devon Travis","TOR","2B",7,0,0,0,0,0.5
"647383",4.19903333333333,"Devon Travis","TOR","2B",6,0,0,0,0,0.5
"647393",4.76893333333333,"Devon Travis","TOR","2B",6,0,0,0,0,0.5
"64747",6.75343333333333,"Christian Vazquez","BOS","C",14,0.333333333333333,0,0,0,0.1
"64748",13.7226333333333,"Eduardo Nunez","BOS","2B",7,1.33333333333333,0,1,0,0.0714285714285714
"64750",5.34166666666667,"Rafael Devers","BOS","3B",18,0.8,0,0,0,0.0666666666666667
"64751",11.5373,"J.D. Martinez","BOS","DH",3,1.4,0,2,0,0
"64752",7.2096,"Hanley Ramirez","BOS","UT",3,0.75,0,2,0,0.111111111111111
"64753",3.4624,"Brock Holt","BOS","UT",18,1,0,0,0,0
"64754",7.2742,"Jackie Bradley","BOS","CF",23,1,1,0,0,0
"64755",8.751,"Mookie Betts","BOS","RF",49,0.5,0,0,0,0
"64756",15.179,"Andrew Benintendi","BOS","LF",0,1.75,1,0,0,0
"64759",7.4424,"Cory Spangenberg","SDP","UT",2,0.4,1,0,0.5,0.777777777777778
"64760",8.7627,"Eric Hosmer","SDP","1B",17,0.5,0,1,0.5,0.555555555555556
"64761",9.3905,"Christian Villanueva","SDP","3B",5,1.33333333333333,0,3,0.5,0.5
"64762",9.04736666666667,"Hunter Renfroe","SDP","RF",0,1,0,1,0,0.363636363636364
"64763",3.21303333333333,"A.J. Ellis","SDP","C",0,0.5,0,0,0,0.25
"64764",7.27376666666667,"Freddy Galvis","SDP","SS",3,0.666666666666667,0,0,0,0.473684210526316
"64766",8.48046666666667,"Jose Pirela","SDP","LF",2,1.33333333333333,1,0,0,0.52
"64767",7.12073333333334,"Franchy Cordero","SDP","OF",9,1,1,1,0.5,0.714285714285714
"64769",5.2755,"Carlos Asuaje","SDP","2B",8,0.333333333333333,0,0,0.5,0.692307692307692
"64770",8.01423333333333,"Miguel Andujar","NYY","3B",21,1.33333333333333,0,0,0,0
"64771",13.6618666666667,"Brett Gardner","NYY","LF",4,1.5,1,0,0,0.294117647058824
"64772",10.9911333333333,"Aaron Hicks","NYY","CF",2,1,0,2,0,0.333333333333333
"64773",17.2381666666667,"Aaron Judge","NYY","RF",4,1.5,1,1,0.4,0.428571428571429
"64774",10.9739666666667,"Giancarlo Stanton","NYY","DH",0,1.25,1,0,0.5,0.733333333333333
"64775",7.78333333333333,"Neil Walker","NYY","1B",0,0.333333333333333,0,0,0,0.4
"64776",7.76586666666667,"Tyler Austin","NYY","1B",0,1.5,0,0,0,0.166666666666667
"64777",11.9246666666667,"Gary Sanchez","NYY","C",3,2,0,2,0.75,0.454545454545455
"64778",9.80736666666667,"Didi Gregorius","NYY","SS",10,0.5,0,2,0.166666666666667,0.235294117647059
"64780",12.0366333333333,"Billy Hamilton","CIN","CF",0,0.833333333333333,0,1,0.5,0.727272727272727
"64781",5.4259,"Jesse Winker","CIN","RF",4,0.5,0,0,0,0.9
"64782",6.04366666666666,"Jose Peraza","CIN","SS",0,1.16666666666667,1,0,0,0.8
"64784",4.1535,"Cliff Pennington","CIN","IF",0,0,0,0,0,0.75
"64786",9.3587,"Adam Duvall","CIN","LF",0,1.16666666666667,0,1,0.333333333333333,0.583333333333333
"64787",8.52053333333333,"Joey Votto","CIN","1B",5,1.2,0,0,0,0.8125
"64789",18.1461666666667,"Scooter Gennett","CIN","2B",0,1.33333333333333,1,0,0,0.857142857142857
"64791",6.74856666666667,"Yan Gomes","CLE","C",3,1,0,0,0.5,0.571428571428571
"64792",5.9501,"Jason Kipnis","CLE","2B",7,1.66666666666667,0,0,0,0.6
"64793",7.53463333333333,"Edwin Encarnacion","CLE","DH",0,0.333333333333333,0,0,0.75,0.875
"64794",11.8668333333333,"Francisco Lindor","CLE","SS",15,2.33333333333333,0,1,0.5,0.733333333333333
"64795",7.36643333333333,"Yonder Alonso","CLE","1B",15,1,0,0,0.5,0.7
"64796",4.1847,"Bradley Zimmer","CLE","CF",14,1.66666666666667,0,0,0,0.727272727272727
"64798",9.89776666666666,"Jose Ramirez","CLE","3B",21,1,1,1,0.5,0.444444444444444
"64800",6.4546,"Michael Brantley","CLE","LF",24,2,1,0,0,0.714285714285714
"64801",2.70863333333333,"Moises SierraDFA","WSN","OF",13,0.5,0,0,0,0.25
"64802",7.12386666666666,"Michael Taylor","WSN","CF",14,0.833333333333333,1,0,0,0.214285714285714
"64803",2.3499,"Pedro Severino","WSN","C",3,0.666666666666667,0,0,0,0.272727272727273
"64804",11.2826,"Bryce Harper","WSN","RF",4,1,1,2,0.5,0.285714285714286
"64805",8.05486666666667,"Trea Turner","WSN","SS",26,1,2,0,0,0.3125
"64807",12.6741666666667,"Howie Kendrick","WSN","2B",3,1,0,2,0.333333333333333,0.25
"64808",8.41443333333333,"Ryan Zimmerman","WSN","1B",5,0.333333333333333,0,0,0,0.285714285714286
"64809",9.21566666666667,"Wilmer Difo","WSN","IF",3,0.833333333333333,1,0,0,0.333333333333333
"64811",2.2478,"Tomas Telis","MIA","UT",9,0.4,0,0,0,0.6
"64812",8.27776666666666,"J.T. Realmuto","MIA","C",20,NA,0,0,0,0
"64813",3.24116666666667,"Brian Anderson","MIA","3B",6,0.4,0,0,0,0.5
"64814",10.1763,"Justin Bour","MIA","1B",7,1,0,2,0.4,0.642857142857143
"64815",4.03163333333334,"Miguel Rojas","MIA","SS",7,1.6,0,1,0.333333333333333,0.65
"64816",4.8799,"Cameron Maybin","MIA","RF",2,0.2,0,0,0,0.363636363636364
"64817",7.4928,"Starlin Castro","MIA","2B",10,0.8,0,0,0,0.526315789473684
"64820",3.63673333333333,"Derek Dietrich","MIA","LF",8,0.6,0,0,0.5,0.5
"64821",6.35766666666667,"JB Shuck","MIA","OF",0,1.25,0,0,0,0.833333333333333
"64822",11.4963666666667,"Jose Abreu","CHW","1B",3,0.666666666666667,0,1,0.5,0.285714285714286
"64824",14.5397666666667,"Nick Delmonico","CHW","LF",3,1,0,0,0.5,0.8
"64825",8.7705,"Yolmer Sanchez","CHW","3B",0,1,0,0,0,0.769230769230769
"64826",7.04996666666667,"Avisail Garcia","CHW","RF",3,0.333333333333333,0,0,0,0.571428571428571
"64827",6.8856,"Yoan Moncada","CHW","2B",28,0.333333333333333,1,0,0,0.636363636363636
"64828",8.96353333333333,"Matt Davidson","CHW","DH",3,0.333333333333333,0,1,0.666666666666667,0.555555555555556
"64829",9.13423333333333,"Leury Garcia","CHW","UT",3,0,0,0,0,0.666666666666667
"64830",6.69626666666667,"Omar Narvaez","CHW","C",5,0.333333333333333,0,0,0,0.75
"64831",7.0687,"Tim Anderson","CHW","SS",9,0.666666666666667,0,0,0,0.461538461538462
"64832",5.1105,"Dansby Swanson","ATL","SS",6,1.2,0,0,0,0.863636363636364
"64834",4.5497,"Nick Markakis","ATL","RF",2,0.8,0,0,0,0.823529411764706
"64836",9.17156666666666,"Ender Inciarte","ATL","CF",11,0.25,5,0,0,0.833333333333333
"64839",9.95436666666667,"Ozzie Albies","ATL","2B",2,2.6,0,3,0.666666666666667,0.884615384615385
"64840",2.67923333333333,"Preston Tucker","ATL","LF",3,0.4,0,1,0.75,0.923076923076923
"64841",7.22516666666666,"Freddie Freeman","ATL","1B",2,1.4,2,0,0.5,0.894736842105263
"64844",3.3801,"Ryan Flaherty","ATL","3B",5,1,0,0,0,0.941176470588235
