"RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit","SplitsGood","Splits30Good","Date"
7.70806666666667,"Mookie Betts","BOS","RF",0,1.58333333333333,7,3,0.272727272727273,0.285714285714286,0.222222222222222,0.238866396761134,0,0,"2018-05-24"
7.54143333333333,"J.D. Martinez","BOS","DH",0,1.08333333333333,0,6,0.272727272727273,0.236842105263158,0.26890756302521,0.270114942528736,0,0,"2018-05-24"
5.72516666666667,"Hanley Ramirez","BOS","UT",0,0.6,1,1,0,0.210526315789474,0.272727272727273,0.245810055865922,0,0,"2018-05-24"
5.24616666666667,"Brock Holt","BOS","UT",0,1,0,0,0,0,0.5,0.254545454545455,0,0,"2018-05-24"
3.8405,"Sandy Leon","BOS","C",0,1,0,0,0.5,0.4,0.25,0.226190476190476,0,0,"2018-05-24"
3.24713333333333,"Blake Swihart","BOS","UT",0,0,0,0,0,0.5,0,0.166666666666667,0,0,"2018-05-24"
2.84893333333333,"TzuWei Lin","BOS","MI",0,NA,0,0,0,0,0,0,0,0,"2018-05-24"
4.9851,"Wilson Ramos","TBR","C",0,0.909090909090909,0,2,0.5,0.535714285714286,0.6,0.607843137254902,1,0,"2018-05-24"
3.34466666666667,"Brad Miller","TBR","1B",0,1.07142857142857,0,2,0.6,0.615384615384615,0.6875,0.745283018867924,1,1,"2018-05-24"
2.87166666666667,"Joey Wendle","TBR","2B",0,1.33333333333333,2,0,0,0.708333333333333,0.666666666666667,0.765957446808511,1,0,"2018-05-24"
4.82646666666667,"Adeiny Hechavarria","TBR","SS",0,1,0,0,0.5,0.333333333333333,0.631578947368421,0.711627906976744,1,0,"2018-05-24"
4.01386666666667,"Matt Duffy","TBR","3B",0,1.4,0,2,0.666666666666667,0.413793103448276,0.5,0.511111111111111,0,0,"2018-05-24"
5.09446666666667,"Denard Span","TBR","LF",0,0.692307692307692,2,1,0.25,0.526315789473684,0.764705882352941,0.810055865921788,1,0,"2018-05-24"
5.7407,"Mallex Smith","TBR","CF",0,0.857142857142857,3,0,0,0.782608695652174,0.75,0.717741935483871,1,0,"2018-05-24"
6.54346666666667,"Carlos Gomez","TBR","RF",0,0.714285714285714,0,0,0.333333333333333,0.444444444444444,0.681818181818182,0.689922480620155,1,0,"2018-05-24"
5.9886,"C.J. Cron","TBR","DH",0,1.33333333333333,1,5,0.625,0.617647058823529,0.580645161290323,0.673333333333333,1,1,"2018-05-24"
3.3971,"Daniel Robertson","TBR","IF",0,0.538461538461538,0,2,0.5,0.611111111111111,0.230769230769231,0.626262626262626,0,0,"2018-05-24"
1.90106666666667,"Rob Refsnyder","TBR","UT",0,0.222222222222222,0,0,0.5,0.333333333333333,0.5,0.763157894736842,0,0,"2018-05-24"
9.86733333333333,"Kevin Kiermaier","TBR","CF",0,NA,0,0,0,0,0.529411764705882,0.725,1,0,"2018-05-24"
4.59096666666667,"Jesus Sucre","TBR","C",0,0.285714285714286,0,0,0,0.25,0.625,0.783333333333333,1,0,"2018-05-24"
5.0367,"Johnny Field","TBR","OF",0,1.09090909090909,0,2,0,0.2,0,0.260869565217391,0,0,"2018-05-24"
2.016,"Brandon Snyder","TBR","3B",0,NA,0,0,0,0,0,0,0,0,"2018-05-24"
3.0988,"Christian Arroyo","TBR","IF",0,1,0,0,0,0.333333333333333,0.75,0.483870967741935,0,0,"2018-05-24"
6.45,"Willy Adames","TBR","SS",0,0.5,0,0,0,0,0,0,0,0,"2018-05-24"
3.8335,"Drew Butera","KCR","C",0,0.5,0,0,0,0.6,0.25,0.547169811320755,0,0,"2018-05-24"
7.07586666666667,"Lucas Duda","KCR","1B",0,1.5,0,0,0.5,0.85,0.753424657534247,0.78714859437751,1,0,"2018-05-24"
12.3307333333333,"Whit Merrifield","KCR","2B",0,1.18181818181818,1,1,0.5,0.620689655172414,0.516129032258065,0.69921875,1,0,"2018-05-24"
9.2827,"Alcides Escobar","KCR","SS",0,0.909090909090909,0,0,0,0.642857142857143,0.7,0.76036866359447,1,0,"2018-05-24"
11.1733333333333,"Mike Moustakas","KCR","3B",0,1,0,0,0.4,0.714285714285714,0.684210526315789,0.728813559322034,1,0,"2018-05-24"
5.48153333333333,"Jon Jay","KCR","LF",0,1.54545454545455,1,0,0,0.684210526315789,0.333333333333333,0.707865168539326,0,0,"2018-05-24"
7.23496666666667,"Jorge Soler","KCR","RF",0,1,1,0,0.4,0.696969696969697,0.444444444444444,0.651515151515151,0,0,"2018-05-24"
8.63456666666667,"Cheslor Cuthbert","KCR","DH",0,0.333333333333333,0,0,0.75,0.833333333333333,0.8,0.650793650793651,1,1,"2018-05-24"
9.1903,"Alex Gordon","KCR","LF",0,0.818181818181818,0,1,0.4,0.727272727272727,0.8,0.795918367346939,1,0,"2018-05-24"
4.7422,"Paulo Orlando","KCR","UT",0,NA,0,0,0,0,0.333333333333333,0.535714285714286,0,0,"2018-05-24"
6.35856666666667,"Ryan Goins","KCR","2B",0,0.5,0,0,0,0.5,0.9,0.785714285714286,1,0,"2018-05-24"
1.838,"Cam Gallagher","KCR","UT",0,NA,0,0,0,0,0.5,0.588235294117647,0,0,"2018-05-24"
4.8397,"Abraham Almonte","KCR","CF",0,0.714285714285714,0,0,0.5,0.909090909090909,0.625,0.808823529411765,1,0,"2018-05-24"
11.9502333333333,"Salvador Perez","KCR","C",0,0.636363636363636,0,4,0.714285714285714,0.785714285714286,0.736842105263158,0.795180722891566,1,1,"2018-05-24"
3.7294,"Hunter Dozier","KCR","1B",0,0.714285714285714,0,0,0,0.5,0,0.5,0,0,"2018-05-24"
7.93696666666666,"Robinson Chirinos","TEX","C",0,0.666666666666667,1,0,0.5,0.357142857142857,0.291666666666667,0.287128712871287,0,0,"2018-05-24"
10.4119,"Rougned Odor","TEX","2B",0,0.5,0,1,0,0.166666666666667,0.0967741935483871,0.213793103448276,0,0,"2018-05-24"
7.61126666666667,"Adrian Beltre","TEX","3B",0,0.333333333333333,0,0,0,0.333333333333333,0.4,0.284722222222222,0,0,"2018-05-24"
11.5556,"Joey Gallo","TEX","LF",0,0.545454545454545,0,2,0.25,0.111111111111111,0.169491525423729,0.169117647058824,0,0,"2018-05-24"
4.40136666666667,"Delino DeShields","TEX","CF",0,0.363636363636364,1,0,0.333333333333333,0.347826086956522,0.666666666666667,0.330935251798561,0,0,"2018-05-24"
7.5231,"Nomar Mazara","TEX","RF",0,0.727272727272727,0,0,0.375,0.185185185185185,0.290322580645161,0.198019801980198,0,0,"2018-05-24"
7.28453333333334,"ShinSoo Choo","TEX","DH",0,1,0,1,0,0.291666666666667,0.0666666666666667,0.248756218905473,0,0,"2018-05-24"
5.35306666666667,"Ryan Rua","TEX","LF",0,0,0,0,0.5,0.666666666666667,0.166666666666667,0.477272727272727,0,0,"2018-05-24"
9.18576666666667,"Elvis Andrus","TEX","SS",0,NA,0,0,0,0,0.260869565217391,0.215859030837004,0,0,"2018-05-24"
7.29576666666666,"Jurickson Profar","TEX","SS",0,1,2,1,0.25,0.217391304347826,0.25,0.217391304347826,0,0,"2018-05-24"
3.3809,"Drew Robinson","TEX","UT",0,NA,0,0,0,0,0.285714285714286,0.142857142857143,0,0,"2018-05-24"
3.61383333333333,"Juan Centeno","TEX","C",0,NA,0,0,0,0,0,0.0952380952380952,0,0,"2018-05-24"
2.2824,"Carlos Tocci","TEX","CF",0,NA,0,0,0,0,0,0.333333333333333,0,0,"2018-05-24"
6.3422,"Isiah KinerFalefa","TEX","IF",0,0.75,1,0,0,0.25,0,0.21875,0,0,"2018-05-24"
7.5265,"Ronald Guzman","TEX","1B",0,0.666666666666667,1,3,0,0.0666666666666667,0,0.0952380952380952,0,0,"2018-05-24"
2.7065,"Renato Nunez","TEX","UT",0,NA,0,0,0.5,0.8,0.666666666666667,0.7,1,0,"2018-05-24"
1.5167,"Carlos Perez","TEX","C",0,0.75,0,2,0.666666666666667,0.285714285714286,0.5,0.333333333333333,0,0,"2018-05-24"
