Zack Greinke,R,,SP,430,37,May 10 2018,ARI,NULL,WSN,L12,GS8,NULL,4,7.0,4,1,1,0,6,0,0,3.70,25,91,66,20,13,8,11,3,3,0,71,NULL,NULL,0,0,0,25,2,0,0,0,0,0,1.06,0.339,3.35,23.35,36.00,0,0,
Zack Greinke,R,,SP,431,42,May 15 2018,ARI,NULL,MIL,W21,GS6,NULL,4,6.0,4,1,1,1,5,0,0,3.46,23,104,64,19,8,9,8,5,1,0,64,NULL,NULL,0,0,0,22,3,0,0,0,0,0,1.02,0.251,2.42,18.50,30.00,0,0,
Zack Greinke,R,,SP,432,47,May 21 2018,ARI,1,MIL,L24,GS6,L33,5,6.0,5,4,4,0,9,3,0,3.71,23,93,58,10,16,4,10,1,0,0,55,NULL,NULL,0,0,0,23,0,0,0,0,0,0,.67,0.167,0.87,20.50,33.00,0,0,
Zack Greinke,R,,SP,433,52,May 27 2018,ARI,1,OAK,L12,GS6,L34,5,6.0,6,2,2,3,5,1,0,3.65,25,100,55,17,11,5,12,5,4,0,54,NULL,NULL,0,1,0,22,0,0,0,1,0,0,1.07,0.007,1.04,14.10,27.00,0,0,
Zack Godley,R,,SP,63,5,Apr 3 2018,ARI,NULL,LAD,W61,GS7,W10,99,7.0,4,1,1,1,3,0,0,1.29,26,96,58,19,7,11,11,6,1,0,67,NULL,NULL,0,0,0,23,2,0,0,0,1,0,1.11,0.380,2.98,20.75,39.00,0,0,
Zack Godley,R,,SP,64,10,Apr 9 2018,ARI,1,SFG,W21,GS7,W20,5,7.0,4,0,0,0,9,0,0,0.64,23,100,62,16,20,9,5,3,1,0,78,NULL,NULL,0,0,0,23,0,0,0,2,0,0,1.36,0.439,3.47,35.35,60.00,0,0,
Zack Godley,R,,SP,65,15,Apr 15 2018,ARI,1,LAD,L27,GS5,L21,5,4.0,5,6,5,6,4,1,0,3.00,24,93,52,19,9,10,4,2,0,0,28,NULL,NULL,0,0,0,17,0,0,0,0,1,1,.94,0.254,3.38,0.40,9.00,0,0,
Zack Godley,R,,SP,66,20,Apr 21 2018,ARI,NULL,SDP,W62,GS6,W31,5,5.1,6,2,2,1,8,0,0,3.09,22,94,57,20,13,6,7,5,1,0,55,NULL,NULL,1,1,0,21,1,0,0,0,0,0,1.05,0.141,1.11,23.80,46.00,0,0,
Zack Godley,R,,SP,67,25,Apr 27 2018,ARI,1,WSN,W54,GS5,W41,5,5.0,10,4,4,3,4,1,0,3.81,28,109,67,13,12,11,10,6,1,0,32,NULL,NULL,0,0,0,24,1,0,0,0,1,0,1.54,0.211,1.34,7.45,27.00,0,0,
Zack Godley,R,,SP,68,30,May 2 2018,ARI,NULL,LAD,L12,GS6,L42,4,6.0,5,1,1,3,5,0,0,3.41,23,100,56,19,9,9,6,4,1,0,60,NULL,NULL,0,0,0,20,1,0,0,3,0,0,1.05,0.231,2.42,16.70,30.00,0,0,
Zack Godley,R,,SP,69,35,May 8 2018,ARI,1,LAD,W85,GS6,NULL,5,5.2,6,4,4,4,4,1,0,3.83,26,103,58,20,4,7,11,5,1,0,41,NULL,NULL,0,0,0,22,1,0,0,1,0,0,1.21,0.097,1.22,6.75,17.00,0,0,
Zack Godley,R,,SP,70,40,May 13 2018,ARI,NULL,WSN,L46,GS7,NULL,4,6.1,7,4,4,1,6,3,0,4.08,27,103,64,17,11,9,11,4,5,0,48,NULL,NULL,1,0,0,26,2,0,0,0,0,0,.82,0.100,0.32,13.45,25.00,0,0,
Zack Godley,R,,SP,71,44,May 18 2018,ARI,1,NYM,L13,GS6,L43,4,6.0,4,3,1,4,6,0,0,3.78,27,106,61,21,10,9,8,3,2,0,58,NULL,NULL,0,0,0,23,1,0,0,0,0,1,.72,0.071,0.01,18.70,33.00,0,0,
Zack Godley,R,,SP,72,49,May 23 2018,ARI,1,MIL,L29,GS4,L44,4,3.1,7,8,6,6,3,1,0,4.53,24,88,50,12,12,6,9,5,0,0,15,NULL,NULL,0,0,0,17,2,0,0,0,0,1,1.33,0.430,4.85,6.30,1.00,0,0,
Zack Godley,R,,SP,73,54,May 29 2018,ARI,NULL,CIN,W52,GS6,W54,5,6.0,6,2,2,2,7,1,1,4.38,26,94,58,13,13,11,5,2,0,0,57,NULL,NULL,0,0,0,23,1,0,0,2,0,1,1.04,0.169,1.42,22.10,45.00,0,0,
Matt Koch,L,,SP,9,8,Apr 7 2018,ARI,1,STL,L35,67,NULL,99,2.0,0,0,0,0,3,0,0,0.00,6,34,21,9,1,0,3,0,0,0,NULL,1,0,0,0,0,6,0,0,0,0,0,0,.27,0.042,1.40,10.50,15.00,0,0,
Matt Koch,L,,SP,10,19,Apr 20 2018,ARI,NULL,SDP,L14,GS6,NULL,12,6.0,2,1,1,2,4,1,0,1.12,22,86,55,10,9,10,6,2,1,0,66,NULL,NULL,0,0,0,20,0,0,0,1,0,1,.91,0.221,2.42,17.10,27.00,0,0,
Matt Koch,L,,SP,11,24,Apr 26 2018,ARI,1,PHI,W82,GS6,W10,5,6.0,6,2,2,2,4,0,0,1.93,24,102,63,18,5,11,7,6,1,0,54,NULL,NULL,0,0,0,22,3,0,0,2,0,0,.44,0.111,0.97,16.70,36.00,0,0,
Matt Koch,L,,SP,12,29,May 1 2018,ARI,NULL,LAD,W43,GS5,NULL,4,5.0,4,3,2,3,3,1,1,2.37,22,85,53,17,6,7,8,5,1,0,49,NULL,NULL,0,0,0,18,1,0,1,2,0,1,.98,0.067,0.15,8.45,18.00,0,0,
Matt Koch,L,,SP,13,34,May 6 2018,ARI,NULL,HOU,W31,GS7,W20,4,6.1,6,1,1,0,3,1,1,2.13,25,77,48,10,5,10,11,5,1,0,60,NULL,NULL,0,0,0,24,1,1,0,1,0,0,1.01,0.225,2.40,18.05,37.00,0,0,
Matt Koch,L,,SP,14,38,May 11 2018,ARI,NULL,WSN,L13,GS8,L21,4,8.0,7,3,3,1,3,2,1,2.43,32,97,67,12,5,10,17,8,1,0,58,NULL,NULL,0,0,0,30,3,0,0,1,0,0,.96,0.094,1.55,12.60,24.00,0,0,
Matt Koch,L,,SP,15,43,May 16 2018,ARI,NULL,MIL,L28,GS5,L22,4,4.1,9,8,8,1,0,4,0,4.06,22,83,54,18,3,8,13,4,1,0,12,NULL,NULL,1,0,0,21,1,0,0,0,0,0,.60,0.389,4.63,12.25,11.00,0,0,
Matt Koch,L,,SP,16,48,May 22 2018,ARI,1,MIL,L01,GS6,L23,5,5.1,3,1,1,3,5,0,0,3.77,22,91,56,16,7,4,10,4,1,0,60,NULL,NULL,0,0,0,19,1,0,0,0,0,0,1.08,0.160,1.71,16.40,28.00,0,0,
Matt Koch,L,,SP,17,53,May 28 2018,ARI,NULL,CIN,W125,GS5,W33,5,5.0,11,5,5,1,0,0,1,4.31,26,82,51,10,4,8,16,9,3,0,24,NULL,NULL,0,0,0,22,2,0,0,1,0,0,1.31,0.124,2.15,2.55,12.00,0,0,
Robbie Ray,L,,SP,93,2,Mar 30 2018,ARI,NULL,COL,W98,GS5,W10,99,5.0,7,7,6,3,8,3,0,10.80,25,85,52,19,13,4,10,3,1,0,32,NULL,NULL,1,0,0,22,0,0,0,1,0,1,.87,0.246,4.15,13.25,33.00,0,0,
Robbie Ray,L,,SP,94,7,Apr 5 2018,ARI,1,STL,W31,GS6,W20,5,6.0,2,1,1,5,9,0,0,5.73,24,98,55,22,11,3,7,3,1,0,68,NULL,NULL,0,0,0,19,1,0,0,1,0,0,1.48,0.266,2.04,29.30,54.00,0,0,
Robbie Ray,L,,SP,95,12,Apr 11 2018,ARI,1,SFG,W73,GS5,NULL,5,4.2,5,3,3,3,6,1,0,5.74,22,100,60,19,12,7,6,1,1,0,45,NULL,NULL,0,0,0,19,1,0,1,0,0,0,1.32,0.116,0.63,11.70,23.00,0,0,
Robbie Ray,L,,SP,96,17,Apr 18 2018,ARI,NULL,SFG,L34,GS6,NULL,6,6.0,5,2,2,3,9,1,1,4.98,26,99,61,14,14,6,7,4,1,0,60,NULL,NULL,0,1,0,22,1,0,0,0,0,0,1.15,0.074,1.42,22.10,39.00,0,0,
Robbie Ray,L,,SP,97,22,Apr 24 2018,ARI,1,PHI,W84,GS5,NULL,5,4.2,5,3,3,3,11,0,0,5.13,22,107,69,22,14,1,7,4,0,0,50,NULL,NULL,0,0,0,18,1,0,0,0,1,0,1.37,0.120,0.75,21.70,38.00,0,0,
Robbie Ray,L,,SP,98,27,Apr 29 2018,ARI,1,WSN,L13,GS2,NULL,4,1.1,1,0,0,0,2,0,0,4.88,5,20,15,4,4,3,0,0,0,0,54,NULL,NULL,0,0,0,5,0,0,0,0,0,0,.72,0.073,0.78,6.40,10.00,0,0,
Fernando Salas,R,,RP,453,1,Mar 29 2018,ARI,NULL,COL,W82,9GF,NULL,99,1.0,1,0,0,0,1,0,0,0.00,4,15,9,3,1,1,2,2,0,0,NULL,0,0,0,0,0,4,0,0,0,0,0,0,.04,0.003,0.57,3.65,6.00,0,9tenda6,
Fernando Salas,R,,RP,454,3,Mar 31 2018,ARI,NULL,COL,L12,78,L01,1,2.0,1,1,1,0,1,1,0,3.00,7,43,28,5,4,3,3,0,1,0,NULL,0,0,0,0,0,7,0,0,0,0,0,0,1.16,0.077,0.14,3.90,6.00,0,0,
Fernando Salas,R,,RP,455,4,Apr 2 2018,ARI,NULL,LAD,W87,13GF15,W11,1,3.0,3,1,1,2,0,0,0,3.00,14,41,26,7,2,4,8,1,4,0,NULL,0,0,0,0,0,10,0,0,1,0,0,0,2.57,0.025,0.71,5.75,18.00,0,0,
Fernando Salas,R,,RP,456,8,Apr 7 2018,ARI,1,STL,L35,8GF8,NULL,4,1.0,1,0,0,0,1,0,0,2.57,4,16,10,2,3,2,1,1,0,0,NULL,0,0,0,0,0,4,0,0,0,0,0,0,.34,0.014,0.51,3.65,6.00,0,8bendd2,
Fernando Salas,R,,RP,457,11,Apr 10 2018,ARI,1,SFG,L45,67,NULL,2,1.2,1,0,0,0,1,0,0,2.08,5,16,12,3,1,2,2,1,0,0,NULL,3,1,0,0,0,4,0,0,0,0,1,0,1.72,0.100,1.06,5.15,8.00,0,0,
Fernando Salas,R,,RP,458,12,Apr 11 2018,ARI,1,SFG,W73,56,W21,0,1.0,0,0,0,0,2,0,0,1.86,3,10,8,3,3,0,1,0,0,0,NULL,0,0,0,0,0,3,0,0,0,0,0,0,1.10,0.083,0.50,10.25,21.00,0,0,
Fernando Salas,R,,RP,459,14,Apr 14 2018,ARI,1,LAD,W91,77,NULL,2,1.0,1,0,0,0,1,0,0,1.69,4,20,14,5,1,1,2,0,1,0,NULL,0,0,0,0,0,4,0,0,0,0,0,0,.22,0.011,0.50,3.65,6.00,0,0,
Fernando Salas,R,,RP,460,17,Apr 18 2018,ARI,NULL,SFG,L34,77,NULL,3,1.0,1,0,0,0,1,0,0,1.54,3,18,12,2,2,2,0,0,0,0,NULL,0,0,0,0,0,3,0,0,0,1,0,0,.68,0.041,0.57,3.65,6.00,0,0,
