,RFPred,Name,HTeam,Pos,Actual
69528,7.805444444,Miguel Rojas,MIA,SS,0
69527,6.004,Justin Bour,MIA,1B,2
69534,5.157444444,Brian Anderson,MIA,3B,6
69535,4.848777778,J.T. Realmuto,MIA,C,3
69530,4.362555556,Martin Prado,MIA,3B,2
69536,3.7365,Derek Dietrich,MIA,LF,5
69532,1.8305,JB Shuck,MIA,OF,0
69533,1.710611111,Lewis Brinson,MIA,CF,15
69531,0.541722222,Yadiel Rivera,MIA,MI,0
69657,7.984333333,Christian Yelich,MIL,OF,10
69660,7.862833333,Travis Shaw,MIL,3B,6
69654,7.5725,Ryan Braun,MIL,LF,0
69656,7.3215,Lorenzo Cain,MIL,CF,0
69664,6.750055556,Domingo Santana,MIL,RF,18
69662,5.711722222,Manny Pina,MIL,C,17
69655,5.405777778,Jonathan Villar,MIL,2B,3
69665,5.310833333,Orlando Arcia,MIL,SS,3
69661,5.124055556,Hernan Perez,MIL,UT,0
69663,5.087333333,Jett Bandy,MIL,C,3
69659,3.987666667,Jesus Aguilar,MIL,1B,7
69658,1.964222222,Eric Sogard,MIL,MI,0
69518,12.22322222,Brian Dozier,MIN,2B,29
69526,8.761,Logan Morrison,MIN,DH,15
69524,8.4595,Ehire Adrianza,MIN,SS,5
69519,8.435833333,Eduardo Escobar,MIN,IF,38
69525,7.129666667,Eddie Rosario,MIN,LF,8
69520,5.910111111,Jason Castro,MIN,C,2
69522,5.331777778,Joe Mauer,MIN,1B,6
69521,5.105055556,Max Kepler,MIN,RF,5
69523,2.465222222,Ryan LaMarre,MIN,UT,5
69555,9.663222222,Yoenis Cespedes,NYM,LF,7
69548,8.970666667,Michael Conforto,NYM,CF,0
69553,7.7625,Asdrubal Cabrera,NYM,2B,28
69546,7.291222222,Todd Frazier,NYM,3B,23
69550,6.016944444,Jay Bruce,NYM,RF,5
69551,5.952222222,Amed Rosario,NYM,SS,8
69549,5.019777778,Jose Reyes,NYM,IF,0
69547,3.992833333,Wilmer Flores,NYM,IF,8
69554,1.771444444,Jose Lobaton,NYM,C,3
69552,1.7005,Brandon Nimmo,NYM,OF,7
69545,18.13311111,Giancarlo Stanton,NYY,DH,10
69542,15.282,Didi Gregorius,NYY,SS,0
69539,14.67761111,Gary Sanchez,NYY,C,17
69543,13.1805,Aaron Judge,NYY,RF,23
69541,12.0995,Aaron Hicks,NYY,CF,0
69540,11.297,Brett Gardner,NYY,LF,7
69538,9.691777778,Miguel Andujar,NYY,3B,10
69544,6.441444444,Neil Walker,NYY,1B,12
69537,4.738222222,Gleyber Torres,NYY,2B,18
69495,8.504277778,Jed Lowrie,OAK,2B,9
69496,8.127277778,Matt Olson,OAK,1B,21
69494,7.9665,Khris Davis,OAK,DH,15
69490,7.929111111,Mark Canha,OAK,CF,0
69497,6.683388889,Matthew Joyce,OAK,LF,4
69491,6.034444444,Matt Chapman,OAK,3B,5
69492,6.010722222,Marcus Semien,OAK,SS,7
69498,5.436611111,Jonathan Lucroy,OAK,C,19
69493,3.331055556,Stephen Piscotty,OAK,RF,0
69736,10.81005556,Cesar Hernandez,PHI,2B,8
69738,10.20794444,Rhys Hoskins,PHI,LF,0
69739,5.707222222,Carlos Santana,PHI,1B,21
69744,5.643111111,Pedro Florimon,PHI,UT,0
69742,5.635222222,Odubel Herrera,PHI,CF,3
69745,5.249611111,Maikel Franco,PHI,3B,21
69740,4.810277778,Aaron Altherr,PHI,RF,7
69737,4.165444444,Jorge Alfaro,PHI,C,0
69741,3.541166667,Scott Kingery,PHI,UT,0
69743,0,Jesmuel Valentin,PHI,UT,0
69607,13.71655556,Starling Marte,PIT,CF,18
69609,9.818444444,Francisco Cervelli,PIT,C,7
69612,7.449222222,David Freese,PIT,CI,15
69613,6.703833333,Josh Bell,PIT,1B,7
69606,6.481555556,Gregory Polanco,PIT,RF,11
69611,5.360555556,Adam Frazier,PIT,2B,0
69608,5.268555556,Corey Dickerson,PIT,LF,17
69610,5.209611111,Jordy Mercer,PIT,SS,0
69605,5.110444444,Colin Moran,PIT,3B,3
69604,2.335722222,Sean Rodriguez,PIT,UT,5
69590,9.142222222,Eric Hosmer,SDP,1B,0
69589,8.021166667,Christian Villanueva,SDP,3B,0
69585,7.780777778,Franchy Cordero,SDP,OF,4
69586,7.050888889,Jose Pirela,SDP,LF,2
69592,6.616611111,Manuel Margot,SDP,CF,0
69587,5.457055556,Freddy Galvis,SDP,SS,0
69591,4.291944444,Rafael Lopez,SDP,C,2
69593,3.674388889,Matt Szczur,SDP,OF,0
69588,3.538888889,Travis Jankowski,SDP,OF,0
69583,10.23005556,Kyle Seager,SEA,3B,0
69582,9.391444444,Jean Segura,SEA,SS,3
69577,7.347055556,Ben Gamel,SEA,LF,0
69579,6.965833333,Robinson Cano,SEA,2B,3
69584,6.806277778,Dee Gordon,SEA,CF,3
69578,6.662166667,Nelson Cruz,SEA,DH,0
69576,4.975611111,Mitch Haniger,SEA,RF,3
69581,4.012555556,David Freitas,SEA,C,2
69580,3.546611111,Ryon Healy,SEA,1B,3
69483,9.164888889,Andrew McCutchen,SFG,RF,9
69485,8.048333333,Brandon Belt,SFG,1B,6
69480,7.906444444,Evan Longoria,SFG,3B,20
69488,7.133,Buster Posey,SFG,C,8
69487,5.063166667,Pablo Sandoval,SFG,UT,0
69484,4.177777778,Brandon Crawford,SFG,SS,23
69481,3.898777778,Austin Jackson,SFG,CF,6
69489,3.260277778,Gorkys Hernandez,SFG,UT,0
69482,2.966,Alen Hanson,SFG,2B,11
69486,2.851166667,Gregor Blanco,SFG,OF,13
69509,8.944944444,Dexter Fowler,STL,RF,6
69517,7.725055556,Yadier Molina,STL,C,3
69512,6.911722222,Matt Carpenter,STL,3B,2
69513,6.428388889,Paul DeJong,STL,SS,2
69516,6.315722222,Tommy Pham,STL,CF,15
69515,6.230555556,Marcell Ozuna,STL,LF,11
69511,6.064222222,Jedd Gyorko,STL,3B,8
69514,4.578,Jose Martinez,STL,1B,6
69510,3.677611111,Kolten Wong,STL,2B,0
69508,2.611277778,Harrison Bader,STL,OF,0
69730,10.04994444,Carlos Gomez,TBR,RF,0
69734,9.030611111,Wilson Ramos,TBR,C,3
69726,7.925833333,Denard Span,TBR,LF,7
69731,4.960444444,Brad Miller,TBR,1B,15
69728,4.592888889,Johnny Field,TBR,OF,29
69729,4.223611111,Adeiny Hechavarria,TBR,SS,3
69735,4.204944444,C.J. Cron,TBR,DH,6
69727,4.075055556,Rob Refsnyder,TBR,UT,0
69732,3.320055556,Daniel Robertson,TBR,UT,2
69733,3.315055556,Matt Duffy,TBR,3B,14
