"RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit","SplitsGood","Splits30Good","Date"
6.7607,"Aaron Altherr","PHI","RF",0,0.5,0,1,0,0.0833333333333333,0.285714285714286,0.353741496598639,0,0,"2018-5-31"
7.2175,"Aaron Hicks","NYY","CF",0,1.09090909090909,0,2,0.5,0.4,0.545454545454545,0.512,1,0,"2018-5-31"
6.95463333333334,"Aaron Judge","NYY","RF",0,0.916666666666667,1,4,0.777777777777778,0.666666666666667,0.704225352112676,0.702222222222222,1,1,"2018-5-31"
5.7767,"Adam Eaton","WSN","LF",0,NA,0,0,0,0,0.25,0.195121951219512,0,0,"2018-5-31"
2.8524,"Adam Frazier","PIT","2B",0,0.363636363636364,0,0,0.666666666666667,0.833333333333333,0.818181818181818,0.8,1,1,"2018-5-31"
7.4199,"Adam Jones","BAL","CF",0,1.58333333333333,0,2,0.833333333333333,0.810810810810811,0.8,0.7625,1,1,"2018-5-31"
6.29233333333333,"Addison Russell","CHC","SS",0,1.08333333333333,1,1,0.666666666666667,0.76,0.6,0.621212121212121,1,1,"2018-5-31"
5.3691,"Adrian Beltre","TEX","3B",0,NA,0,0,0,0.333333333333333,0.4,0.284722222222222,0,0,"2018-5-31"
5.8451,"Adrian Gonzalez","NYM","1B",0,0.875,0,1,0.75,0.708333333333333,0.8,0.784313725490196,1,1,"2018-5-31"
2.4422,"Adrian Sanchez","WSN","IF",0,0,0,0,0,0,0,0.347826086956522,0,0,"2018-5-31"
6.71523333333333,"AJ Ellis","SDP","C",0,1.2,0,1,0.5,0.846153846153846,0.75,0.755102040816326,1,0,"2018-5-31"
5.86826666666666,"Albert Almora","CHC","CF",0,1.21428571428571,0,0,0.5,0.793103448275862,0.583333333333333,0.635135135135135,1,0,"2018-5-31"
5.89823333333333,"Alex Bregman","HOU","3B",0,1.2,2,2,0.6,0.6,0.793103448275862,0.649350649350649,1,1,"2018-5-31"
3.65446666666666,"Alex Verdugo","LAD","OF",0,NA,0,0,0,0.428571428571429,0.5,0.666666666666667,0,0,"2018-5-31"
7.02606666666667,"Amed Rosario","NYM","SS",0,1.0625,3,3,0.25,0.633333333333333,0.6,0.727272727272727,1,0,"2018-5-31"
9.85706666666667,"Andrew Benintendi","BOS","LF",0,1.33333333333333,1,4,0.142857142857143,0.181818181818182,0.181818181818182,0.165957446808511,0,0,"2018-5-31"
5.01886666666667,"Andrew Knapp","PHI","C",0,0.25,0,0,0,0,0.25,0.107142857142857,0,0,"2018-5-31"
2.24573333333333,"Andrew Romine","SEA","UT",0,0.222222222222222,1,0,0,0.125,0.8,0.763440860215054,1,0,"2018-5-31"
2.1999,"Andrew Stevenson","WSN","OF",0,0.142857142857143,0,0,0,0,0,0.166666666666667,0,0,"2018-5-31"
0.4874,"Andrew Susac","BAL","C",0,0.285714285714286,0,0,0,0.333333333333333,0,0.5,0,0,"2018-5-31"
9.44293333333333,"Anthony Rendon","WSN","3B",0,0.785714285714286,0,2,0.4,0.210526315789474,0.393939393939394,0.307317073170732,0,0,"2018-5-31"
13.5691,"Anthony Rizzo","CHC","1B",0,1.28571428571429,0,2,0.714285714285714,0.806451612903226,0.7,0.731707317073171,1,1,"2018-5-31"
