"","RFPred","Name","HTeam","Pos","Actual"
"69181",6.34677777777777,"Chase Utley","LAD","2B",0
"69182",5.21966666666667,"Max Muncy","LAD","UT",3
"69183",6.84488888888889,"Matt Kemp","LAD","LF",3
"69184",9.16716666666668,"Chris Taylor","LAD","CF",0
"69185",7.58533333333333,"Cody Bellinger","LAD","1B",6
"69186",7.583,"Yasmani Grandal","LAD","C",2
"69187",2.96527777777778,"Alex Verdugo","LAD","OF",16
"69188",3.18255555555555,"Austin Barnes","LAD","UT",2
"69189",5.39166666666666,"Joc Pederson","LAD","OF",2
"69190",2.16594444444444,"Kyle Farmer","LAD","3B",0
"69191",2.437,"Enrique Hernandez","LAD","UT",2
"69192",8.97338888888889,"Yoenis Cespedes","NYM","LF",6
"69193",7.50872222222222,"Todd Frazier","NYM","3B",0
"69194",4.27722222222222,"Jose Lobaton","NYM","C",0
"69195",4.77372222222222,"Juan Lagares","NYM","CF",0
"69196",7.17483333333333,"Asdrubal Cabrera","NYM","2B",2
"69197",5.73072222222222,"Amed Rosario","NYM","SS",3
"69198",3.59611111111111,"Wilmer Flores","NYM","IF",6
"69199",2.73911111111111,"Brandon Nimmo","NYM","OF",0
"69200",8.61933333333334,"Jay Bruce","NYM","RF",0
"69201",5.40827777777778,"Ryan Schimpf","LAA","UT",0
"69202",5.54966666666667,"Andrelton Simmons","LAA","SS",16
"69203",9.08922222222223,"Zack Cozart","LAA","IF",4
"69204",5.66977777777778,"Albert Pujols","LAA","1B",21
"69205",10.4797222222222,"Shohei Ohtani","LAA","DH",2
"69206",7.60361111111111,"Justin Upton","LAA","LF",15
"69207",4.331,"Chris Young","LAA","UT",2
"69208",8.65655555555556,"Ian Kinsler","LAA","2B",2
"69209",4.49333333333333,"Luis Valbuena","LAA","3B",0
"69210",4.92888888888889,"Martin Maldonado","LAA","C",28
"69211",4.77811111111111,"Kole Calhoun","LAA","RF",0
"69212",2.71972222222222,"Jefry Marte","LAA","CI",0
"69213",9.33744444444445,"Mike Trout","LAA","CF",21
"69214",6.62377777777778,"Alcides Escobar","KCR","SS",5
"69215",4.81594444444444,"Jon Jay","KCR","LF",5
"69216",10.3058333333333,"Alex Gordon","KCR","OF",8
"69217",12.3236666666667,"Salvador Perez","KCR","UT",0
"69218",9.29977777777778,"Lucas Duda","KCR","1B",0
"69219",8.33672222222222,"Whit Merrifield","KCR","2B",4
"69220",11.1366111111111,"Jorge Soler","KCR","RF",12
"69221",9.08044444444445,"Mike Moustakas","KCR","3B",3
"69222",5.60516666666667,"Cheslor Cuthbert","KCR","DH",20
"69223",6.66172222222222,"Drew Butera","KCR","C",6
"69224",6.48833333333334,"Chris Iannetta","COL","C",17
"69225",0,"Daniel Castro","COL","2B",3
"69226",13.3518888888889,"Charlie Blackmon","COL","CF",11
"69227",9.296,"Nolan Arenado","COL","3B",36
"69228",5.83183333333333,"Trevor Story","COL","SS",20
"69229",3.53816666666667,"Pat Valaika","COL","IF",6
"69230",5.07666666666667,"Gerardo Parra","COL","LF",24
"69231",3.40411111111111,"Noel Cuevas","COL","OF",8
"69232",8.1833888888889,"David Dahl","COL","OF",6
"69233",10.1718333333333,"Matt Carpenter","STL","3B",4
"69234",8.93594444444444,"Dexter Fowler","STL","RF",15
"69235",7.28683333333334,"Kolten Wong","STL","2B",0
"69236",10.9994444444444,"Jose Martinez","STL","1B",0
"69237",5.6965,"Greg Garcia","STL","IF",0
"69238",8.08894444444444,"Yadier Molina","STL","C",8
"69239",9.50355555555556,"Marcell Ozuna","STL","LF",0
"69240",8.2835,"Paul DeJong","STL","SS",0
"69241",10.0977777777778,"Tommy Pham","STL","CF",9
"69242",6.4295,"Orlando Arcia","MIL","SS",9
"69243",8.03888888888889,"Travis Shaw","MIL","3B",0
"69244",6.81127777777778,"Christian Yelich","MIL","LF",21
"69245",3.402,"Brett Phillips","MIL","OF",0
"69246",4.33172222222222,"Hernan Perez","MIL","UT",5
"69247",7.61766666666667,"Ryan Braun","MIL","UT",0
"69248",2.11583333333333,"Jett Bandy","MIL","C",3
"69249",10.4218888888889,"Lorenzo Cain","MIL","CF",2
"69250",5.91844444444444,"Jonathan Villar","MIL","2B",8
"69251",7.15694444444444,"Manny Pina","MIL","C",0
"69252",2.95266666666667,"Jesus Aguilar","MIL","1B",8
"69253",6.08883333333334,"Domingo Santana","MIL","RF",6
"69254",12.1375,"Joey Gallo","TEX","1B",15
"69255",5.65222222222222,"Drew Robinson","TEX","UT",8
"69256",10.3885,"ShinSoo Choo","TEX","DH",6
"69257",3.1855,"Ronald Guzman","TEX","1B",3
"69258",7.60211111111111,"Isiah KinerFalefa","TEX","2B",0
"69259",2.7555,"Juan Centeno","TEX","C",15
"69260",6.83744444444444,"Nomar Mazara","TEX","RF",17
"69261",8.40188888888889,"Jurickson Profar","TEX","SS",0
"69262",4.26627777777778,"Renato Nunez","TEX","UT",0
"69263",10.6453333333333,"Delino DeShields","TEX","CF",3
"69264",4.87816666666667,"Ryan Rua","TEX","LF",0
"69265",8.76327777777778,"Kris Bryant","CHC","3B",15
"69266",5.50972222222222,"Willson Contreras","CHC","C",4
"69267",3.42144444444444,"Victor Caratini","CHC","UT",0
"69268",6.77033333333333,"Javier Baez","CHC","2B",6
"69269",5.90983333333333,"Jason Heyward","CHC","RF",0
"69270",8.66566666666667,"Ian Happ","CHC","OF",0
"69271",5.0655,"Addison Russell","CHC","SS",0
"69272",6.98638888888889,"Anthony Rizzo","CHC","1B",18
"69273",6.83138888888889,"Ben Zobrist","CHC","UT",0
"69274",4.20944444444444,"Albert Almora","CHC","CF",0
"69275",6.46483333333333,"C.J. Cron","TBR","DH",3
"69276",9.32,"Carlos Gomez","TBR","RF",8
"69277",5.02427777777778,"Matt Duffy","TBR","3B",0
"69278",6.23922222222222,"Denard Span","TBR","LF",6
"69279",7.04005555555556,"Daniel Robertson","TBR","UT",2
"69280",4.51805555555555,"Mallex Smith","TBR","CF",5
"69281",9.63494444444445,"Wilson Ramos","TBR","C",9
"69282",4.57805555555556,"Adeiny Hechavarria","TBR","SS",0
"69283",5.31372222222222,"Brad Miller","TBR","1B",5
"69284",4.12077777777778,"Joey Wendle","TBR","2B",0
"69285",3.53816666666667,"Neil Walker","NYY","1B",0
"69286",4.181,"Miguel Andujar","NYY","3B",0
"69287",4.63511111111111,"Tyler Austin","NYY","1B",0
"69288",5.58427777777778,"Didi Gregorius","NYY","SS",5
"69289",9.93261111111111,"Aaron Judge","NYY","RF",6
"69290",12.4948888888889,"Giancarlo Stanton","NYY","DH",36
"69291",8.81472222222222,"Gary Sanchez","NYY","C",2
"69292",4.65,"Gleyber Torres","NYY","2B",6
"69293",6.27611111111111,"Aaron Hicks","NYY","CF",13
"69294",4.01083333333333,"Austin Romine","NYY","C",6
"69295",8.08811111111111,"Xander Bogaerts","BOS","SS",3
"69296",8.86733333333333,"Eduardo Nunez","BOS","2B",3
"69297",7.76111111111111,"J.D. Martinez","BOS","DH",18
"69298",8.45711111111111,"Mookie Betts","BOS","RF",48
"69299",10.2431666666667,"Rafael Devers","BOS","3B",3
"69300",3.1785,"Sandy Leon","BOS","C",0
"69301",7.26261111111111,"Hanley Ramirez","BOS","UT",10
"69302",7.8835,"Andrew Benintendi","BOS","LF",0
"69303",6.20211111111111,"Jackie Bradley","BOS","CF",0
"69304",4.21138888888889,"Anthony Santander","BAL","RF",4
"69305",4.93488888888889,"Caleb Joseph","BAL","C",3
"69306",6.715,"Chris Davis","BAL","1B",8
"69307",0,"Engelb Vielma","BAL","MI",7
"69308",8.00072222222223,"Trey Mancini","BAL","LF",2
"69309",5.05983333333333,"Jace Peterson","BAL","UT",13
"69312",5.33633333333333,"Jace Peterson","BAL","OF",13
"69310",6.3795,"Mark Trumbo","BAL","UT",8
"69311",9.96138888888889,"Manny Machado","BAL","SS",0
"693091",5.83294444444445,"Jace Peterson","BAL","UT",13
"693121",5.57694444444445,"Jace Peterson","BAL","OF",13
"69313",14.5405,"Adam Jones","BAL","CF",0
"69314",2.14561111111111,"Craig Gentry","BAL","OF",13
"69315",4.31305555555556,"Pedro Alvarez","BAL","DH",3
"69316",4.84322222222222,"Danny Valencia","BAL","UT",7
"69317",5.19966666666667,"Jarrod Dyson","ARI","RF",5
"69318",7.84372222222222,"David Peralta","ARI","LF",8
"69319",3.55105555555556,"Alex Avila","ARI","C",0
"69321",2.44394444444445,"Chris Owings","ARI","RF",3
"69322",5.35105555555555,"Ketel Marte","ARI","2B",2
"69323",5.74372222222222,"Nick Ahmed","ARI","SS",0
"69325",5.53216666666667,"Deven Marrero","ARI","3B",0
"69326",5.91877777777778,"John Ryan Murphy","ARI","C",9
"69327",6.40172222222222,"Daniel Descalso","ARI","3B",4
"69333",3.79788888888889,"Christian Walker","ARI","1B",0
"69335",9.88322222222222,"A.J. Pollock","ARI","CF",9
"69336",8.09494444444444,"Paul Goldschmidt","ARI","1B",2
"69340",5.44111111111111,"Jorge Alfaro","PHI","C",5
"69341",10.5678888888889,"Cesar Hernandez","PHI","2B",20
"69342",2.65755555555555,"Maikel Franco","PHI","3B",14
"69343",3.63094444444444,"Pedro Florimon","PHI","UT",11
"69344",6.17755555555556,"Carlos Santana","PHI","1B",0
"69345",8.69788888888889,"Odubel Herrera","PHI","CF",5
"69346",3.81133333333333,"Aaron Altherr","PHI","RF",8
"69347",7.7535,"Rhys Hoskins","PHI","LF",5
"69348",0,"Jesmuel Valentin","PHI","UT",0
"69349",9.89016666666668,"Eugenio Suarez","CIN","3B",6
"69350",8.84083333333333,"Joey Votto","CIN","1B",0
"69351",8.74372222222222,"Scott Schebler","CIN","OF",0
"69352",5.11305555555556,"Alex Blandino","CIN","IF",7
"69353",4.55172222222222,"Jesse Winker","CIN","RF",2
"69354",3.98205555555555,"Devin Mesoraco","CIN","C",6
"69358",3.89194444444444,"Devin Mesoraco","CIN","C",6
"69355",4.36377777777778,"Adam Duvall","CIN","LF",0
"69356",8.5305,"Billy Hamilton","CIN","CF",3
"69357",4.3105,"Scooter Gennett","CIN","2B",0
"693541",3.64577777777778,"Devin Mesoraco","CIN","C",6
"693581",3.43355555555556,"Devin Mesoraco","CIN","C",6
"69359",7.55955555555555,"Jose Peraza","CIN","SS",3
"69360",18.2546666666667,"Kendrys Morales","TOR","DH",3
"69361",5.9355,"Aledmys Diaz","TOR","SS",8
"69362",5.52183333333333,"Curtis Granderson","TOR","LF",2
"69363",6.88666666666667,"Justin Smoak","TOR","1B",3
"69364",16.5033888888889,"Teoscar Hernandez","TOR","OF",3
"69365",6.70183333333333,"Yangervis Solarte","TOR","3B",0
"69366",3.74588888888889,"Lourdes Gurriel","TOR","MI",0
"69367",11.9951666666667,"Kevin Pillar","TOR","CF",8
"69368",6.27622222222222,"Russell Martin","TOR","C",2
"69369",11.4761666666667,"Ronald Acuna","ATL","LF",0
"69370",5.9795,"Dansby Swanson","ATL","SS",0
"69371",7.16477777777778,"Tyler Flowers","ATL","C",0
"69372",10.8543333333333,"Ender Inciarte","ATL","CF",23
"69373",10.3206111111111,"Ozzie Albies","ATL","2B",0
"69374",9.4805,"Freddie Freeman","ATL","1B",11
"69375",7.80416666666667,"Johan Camargo","ATL","IF",15
"69376",5.33077777777778,"Nick Markakis","ATL","RF",14
"69377",5.74444444444444,"Ryan Flaherty","ATL","3B",15
"69378",4.44772222222222,"Preston Tucker","ATL","LF",0
"69379",9.30216666666666,"Kyle Seager","SEA","3B",6
"69380",6.2895,"Guillermo Heredia","SEA","UT",0
"69381",8.81083333333333,"Mitch Haniger","SEA","RF",3
"69382",6.38911111111111,"Mike Zunino","SEA","C",2
"69383",7.38805555555555,"Dee Gordon","SEA","CF",6
"69384",6.66211111111111,"Nelson Cruz","SEA","DH",0
"69385",8.36338888888889,"Robinson Cano","SEA","2B",2
"69386",11.9759444444444,"Ryon Healy","SEA","1B",18
"69387",3.99038888888889,"Andrew Romine","SEA","UT",0
"69388",2.3045,"Ichiro Suzuki","SEA","UT",4
"69389",9.98011111111111,"Jean Segura","SEA","SS",9
"69390",2.26188888888889,"Martin Prado","MIA","3B",3
"69391",8.88977777777778,"Justin Bour","MIA","1B",0
"69392",1.00622222222222,"Yadiel Rivera","MIA","MI",0
"69393",7.54288888888889,"Cameron Maybin","MIA","RF",3
"69394",3.61755555555556,"Lewis Brinson","MIA","CF",5
"69395",6.88072222222222,"J.T. Realmuto","MIA","C",3
"69396",5.81177777777778,"Brian Anderson","MIA","3B",0
"69397",5.90388888888889,"Derek Dietrich","MIA","LF",0
"69398",5.489,"Starlin Castro","MIA","2B",0
"69399",2.80094444444444,"JB Shuck","MIA","OF",0
"69400",9.299,"Miguel Rojas","MIA","SS",3
"69401",11.9278888888889,"Trea Turner","WSN","SS",3
"69402",7.139,"Wilmer Difo","WSN","IF",9
"69403",2.73311111111111,"Pedro Severino","WSN","C",7
"69404",12.0402777777778,"Michael Taylor","WSN","CF",10
"69405",15.0203333333333,"Bryce Harper","WSN","RF",31
"69406",2.13933333333333,"Andrew Stevenson","WSN","OF",5
"69407",3.43,"Moises Sierra","WSN","LF",0
"69408",5.56144444444444,"Matt Adams","WSN","UT",24
"69409",7.18827777777778,"Howie Kendrick","WSN","2B",16
"69410",7.63083333333334,"Evan Longoria","SFG","3B",7
"69411",6.25533333333334,"Austin Jackson","SFG","CF",13
"69412",6.50972222222222,"Brandon Belt","SFG","1B",17
"69413",2.24438888888889,"Nick Hundley","SFG","C",36
"69414",2.53527777777778,"Kelby Tomlinson","SFG","IF",6
"69415",2.52766666666667,"Gorkys Hernandez","SFG","UT",3
"69416",3.18155555555556,"Gregor Blanco","SFG","OF",0
"69417",2.43666666666667,"Alen Hanson","SFG","2B",0
"69418",9.32711111111111,"Andrew McCutchen","SFG","RF",7
"69419",5.45438888888889,"Brandon Crawford","SFG","SS",6
"69420",9.63627777777778,"Khris Davis","OAK","DH",0
"69421",3.05011111111111,"Jake Smolinski","OAK","CF",0
"69422",6.19944444444444,"Matt Chapman","OAK","3B",0
"69423",2.42638888888889,"Jonathan Lucroy","OAK","C",8
"69424",4.56511111111111,"Chad Pinder","OAK","UT",0
"69425",6.20016666666666,"Stephen Piscotty","OAK","RF",0
"69426",6.55522222222222,"Jed Lowrie","OAK","2B",18
"69427",6.17777777777778,"Mark Canha","OAK","CF",21
"69428",6.92716666666667,"Marcus Semien","OAK","SS",6
"69429",5.14027777777778,"Matthew Joyce","OAK","LF",8
"69430",9.30372222222222,"Matt Olson","OAK","1B",0
"69431",7.65238888888889,"Christian Villanueva","SDP","3B",0
"69432",5.543,"Freddy Galvis","SDP","SS",0
"69433",2.4105,"Chase Headley","SDP","UT",3
"69434",10.5745555555556,"Jose Pirela","SDP","LF",3
"69435",4.85611111111111,"Carlos Asuaje","SDP","2B",0
"69436",11.7697777777778,"Eric Hosmer","SDP","1B",9
"69437",3.79377777777778,"A.J. Ellis","SDP","C",6
"69438",1.75588888888889,"Matt Szczur","SDP","OF",19
"69439",6.2075,"Manuel Margot","SDP","CF",5
"69440",2.81188888888889,"Travis Jankowski","SDP","OF",3
"69441",7.31183333333333,"Franchy Cordero","SDP","OF",5
"69442",6.96816666666667,"Nick Delmonico","CHW","LF",0
"69443",4.74727777777778,"Yolmer Sanchez","CHW","3B",6
"69444",3.67733333333333,"Trayce Thompson","CHW","OF",2
"69449",4.17855555555556,"Trayce Thompson","CHW","CF",2
"69445",5.36311111111111,"Leury Garcia","CHW","UT",3
"69446",6.89355555555555,"Daniel Palka","CHW","UT",0
"69447",9.99244444444444,"Matt Davidson","CHW","DH",0
"69448",6.81844444444444,"Tim Anderson","CHW","SS",10
"694441",3.58177777777778,"Trayce Thompson","CHW","OF",2
"694491",4.61394444444444,"Trayce Thompson","CHW","CF",2
"69450",3.55866666666667,"Omar Narvaez","CHW","C",5
"69451",7.73872222222222,"Jose Abreu","CHW","1B",6
"69452",8.03294444444444,"Yoan Moncada","CHW","2B",4
"69453",3.81711111111111,"Dixon Machado","DET","2B",0
"69454",8.13216666666666,"Victor Martinez","DET","DH",3
"69455",5.69972222222222,"John Hicks","DET","UT",10
"69456",2.28461111111111,"Niko Goodrum","DET","UT",0
"69457",8.82455555555555,"Nicholas Castellanos","DET","RF",0
"69458",2.49338888888889,"Victor Reyes","DET","UT",0
"69459",8.75505555555556,"Leonys Martin","DET","CF",0
"69460",6.781,"Jose Iglesias","DET","SS",0
"69461",5.76722222222222,"James McCann","DET","C",18
"69462",6.36277777777778,"Jeimer Candelario","DET","3B",6
"69463",2.19466666666667,"JaCoby Jones","DET","LF",19
"69464",4.5035,"Bradley Zimmer","CLE","CF",0
"69465",10.524,"Francisco Lindor","CLE","SS",25
"69466",10.0947777777778,"Michael Brantley","CLE","LF",11
"69467",2.71183333333333,"Tyler Naquin","CLE","RF",0
"69468",6.79033333333333,"Brandon Guyer","CLE","RF",8
"69469",5.40561111111111,"Roberto Perez","CLE","C",2
"69470",8.04233333333333,"Edwin Encarnacion","CLE","DH",45
"69471",7.41977777777778,"Jason Kipnis","CLE","2B",25
"69472",5.41833333333333,"Yonder Alonso","CLE","1B",2
"69473",4.60572222222222,"Rajai Davis","CLE","UT",5
"69474",3.16244444444444,"Erik Gonzalez","CLE","IF",22
"69475",9.33972222222222,"Brian Dozier","MIN","2B",0
