,RFPred,Name,HTeam,Pos,Actual
384,9.3128,Nick Ahmed,ARI,SS,0
387,9.246533333,A.J. Pollock,ARI,CF,0
391,8.624666667,Jake Lamb,ARI,3B,10
382,7.413733333,Paul Goldschmidt,ARI,1B,5
396,6.547966667,Steven Souza,ARI,RF,9
388,6.320633333,Chris Owings,ARI,RF,0
385,6.175,Daniel Descalso,ARI,3B,6
386,6.0083,David Peralta,ARI,LF,0
389,5.8279,Jarrod Dyson,ARI,RF,5
383,5.3855,Ketel Marte,ARI,2B,5
393,4.140333333,John Ryan Murphy,ARI,C,5
392,2.9029,Alex Avila,ARI,C,0
395,2.855366667,Christian Walker,ARI,1B,0
394,2.328533333,Jeff Mathis,ARI,C,0
390,2.290466667,Deven Marrero,ARI,3B,0
275,14.56966667,Ozzie Albies,ATL,2B,24
282,10.06213333,Tyler Flowers,ATL,C,26
279,9.589433333,Nick Markakis,ATL,RF,10
289,9.282233333,Jose Bautista,ATL,UT,17
274,8.755033333,Freddie Freeman,ATL,1B,9
276,8.323966667,Dansby Swanson,ATL,SS,0
273,7.1457,Kurt Suzuki,ATL,C,5
288,6.717666667,Ronald Acuna,ATL,LF,2
278,5.766666667,Ender Inciarte,ATL,CF,0
277,4.9554,Ryan Flaherty,ATL,3B,0
280,4.1971,Preston Tucker,ATL,LF,3
287,3.886833333,Johan Camargo,ATL,IF,0
281,2.938433333,Charlie Culberson,ATL,IF,2
284,2.478066667,Lane Adams,ATL,OF,0
285,2.397966667,Chris Stewart,ATL,C,7
283,1.885566667,Peter Bourjos,ATL,OF,0
2861,1.317766667,Carlos Perez,ATL,C,0
286,1.167366667,Carlos Perez,ATL,C,0
127,13.1845,Joey Rickard,BAL,OF,35
114,9.935633333,Manny Machado,BAL,SS,21
119,9.7445,Danny Valencia,BAL,UT,28
116,8.069566667,Trey Mancini,BAL,LF,22
117,7.9387,Adam Jones,BAL,CF,5
113,6.781933333,Jonathan Schoop,BAL,2B,10
115,6.505666667,Tim Beckham,BAL,3B,3
121,6.365366667,Colby Rasmus,BAL,UT,0
128,6.123633333,Mark Trumbo,BAL,UT,10
123,5.458333333,Chance Sisco,BAL,C,0
118,5.395266667,Pedro Alvarez,BAL,DH,2
120,4.963,Craig Gentry,BAL,OF,8
112,4.380666667,Chris Davis,BAL,1B,0
126,3.844266667,Jace Peterson,BAL,OF,6
1261,3.718933333,Jace Peterson,BAL,OF,6
122,3.684266667,Anthony Santander,BAL,RF,0
111,3.673533333,Caleb Joseph,BAL,C,13
124,1.381333333,Engelb Vielma,BAL,MI,0
125,1.348166667,Luis Sardinas,BAL,2B,0
252,12.2221,J.D. Martinez,BOS,DH,18
251,11.6565,Mookie Betts,BOS,RF,16
248,10.74666667,Rafael Devers,BOS,3B,15
249,8.140366667,Andrew Benintendi,BOS,LF,5
253,6.9788,Hanley Ramirez,BOS,UT,3
247,6.084866667,Xander Bogaerts,BOS,SS,2
250,5.5196,Jackie Bradley,BOS,CF,12
245,4.428066667,Mitch Moreland,BOS,1B,0
254,4.121,Brock Holt,BOS,UT,6
246,4.067333333,Eduardo Nunez,BOS,2B,3
244,3.958666667,Christian Vazquez,BOS,C,0
255,3.662333333,Sandy Leon,BOS,C,5
257,2.896833333,TzuWei Lin,BOS,MI,0
256,1.695133333,Blake Swihart,BOS,UT,0
262,9.668533333,Kris Bryant,CHC,3B,15
