"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
"70859",6.7611,"Enrique Hernandez","LAD","UT",0,0.454545454545455,0,2,0.333333333333333,0.352941176470588,0.529411764705882,0.387096774193548
"70861",4.16063333333333,"Yasiel Puig","LAD","RF",13,0.333333333333333,1,0,0,0.1,0.2,0.177215189873418
"70863",9.9805,"Cody Bellinger","LAD","1B",0,1.2,1,1,0.25,0.0909090909090909,0.229166666666667,0.176795580110497
"70864",4.48813333333333,"Austin Barnes","LAD","UT",9,0.142857142857143,1,1,0.5,0.375,0.636363636363636,0.470588235294118
"70865",6.6737,"Matt Kemp","LAD","LF",2,1.2,0,2,0.333333333333333,0.28125,0.148148148148148,0.194117647058824
"70866",8.2291,"Chris Taylor","LAD","CF",16,1.06666666666667,2,3,0.142857142857143,0.28125,0.321428571428571,0.25
"70867",7.10083333333334,"Yasmani Grandal","LAD","C",7,0.6,0,2,0,0.0434782608695652,0.0740740740740741,0.133333333333333
"70868",2.9671,"Kyle Farmer","LAD","3B",3,0.5,0,0,0,0.166666666666667,0,0.15
"70870",4.4365,"Brad Miller","TBR","1B",0,0.833333333333333,0,2,0.333333333333333,0.5,0.642857142857143,0.758241758241758
"70871",2.98536666666667,"Joey Wendle","TBR","2B",0,0.875,1,0,0,0.705882352941177,0.666666666666667,0.774193548387097
"70872",3.75876666666667,"Daniel Robertson","TBR","IF",3,0.818181818181818,0,1,0.5,0.7,0.181818181818182,0.637362637362637
"70873",5.56696666666667,"Matt Duffy","TBR","3B",11,1.33333333333333,0,0,0,0.5,0,0.551724137931034
"70874",6.06203333333333,"Carlos Gomez","TBR","RF",0,1.09090909090909,2,2,0.6,0.526315789473684,0.681818181818182,0.701612903225806
"70875",6.4705,"Wilson Ramos","TBR","C",3,1.6,0,3,0.2,0.423076923076923,0.555555555555556,0.604395604395604
