,RFPred,Name,HTeam,Pos
59054,9.407222222,Francisco Cervelli,PIT,C
591371,9.370611111,Miguel Cabrera,DET,1B
59037,9.341388889,Robinson Cano,SEA,2B
59186,9.3155,Austin Barnes,LAD,UT
59162,9.306944444,Jose Iglesias,DET,SS
59231,9.294,Giancarlo Stanton,NYY,DH
59210,9.2745,Rafael Devers,BOS,3B
59137,9.271222222,Miguel Cabrera,DET,1B
591721,9.265222222,Jeimer Candelario,DET,3B
590701,9.262222222,Josh Bell,PIT,1B
59033,9.262055556,Kyle Seager,SEA,3B
590543,9.246333333,Francisco Cervelli,PIT,C
591403,9.239666667,Jeimer Candelario,DET,3B
590662,9.213611111,Josh Bell,PIT,1B
59034,9.199333333,Guillermo Heredia,SEA,UT
59121,9.193222222,Josh Donaldson,TOR,UT
590542,9.169333333,Francisco Cervelli,PIT,C
590453,9.090944444,Josh Harrison,PIT,2B
591623,9.069777778,Jose Iglesias,DET,SS
59237,9.058722222,Eugenio Suarez,CIN,3B
590663,9.054,Josh Bell,PIT,1B
591492,9.051277778,Miguel Cabrera,DET,1B
59065,8.992,Josh Bell,PIT,1B
59045,8.940111111,Josh Harrison,PIT,2B
59066,8.935,Josh Bell,PIT,1B
591531,8.924277778,John Hicks,DET,UT
59060,8.912444444,Starling Marte,PIT,CF
59025,8.905166667,Adam Eaton,WSN,LF
591622,8.898222222,Jose Iglesias,DET,SS
591591,8.889111111,Victor Martinez,DET,DH
59101,8.865055556,Ben Zobrist,CHC,UT
59217,8.860055556,Marwin Gonzalez,HOU,UT
591561,8.856055556,Jose Iglesias,DET,SS
591401,8.841444444,Jeimer Candelario,DET,3B
590631,8.841388889,Gregory Polanco,PIT,RF
59220,8.829722222,Derek Fisher,HOU,LF
59126,8.823777778,Kevin Pillar,TOR,CF
590463,8.795222222,Josh Harrison,PIT,2B
591373,8.754277778,Miguel Cabrera,DET,1B
59135,8.734666667,Jefry Marte,LAA,UT
590702,8.707166667,Josh Bell,PIT,1B
59161,8.678888889,Jose Iglesias,DET,SS
590601,8.668888889,Starling Marte,PIT,CF
590452,8.650388889,Josh Harrison,PIT,2B
590633,8.643222222,Gregory Polanco,PIT,RF
59039,8.6245,Ryon Healy,SEA,1B
591491,8.608777778,Miguel Cabrera,DET,1B
59234,8.593555556,Neil Walker,NYY,1B
590603,8.545333333,Starling Marte,PIT,CF
590732,8.5435,Francisco Cervelli,PIT,C
59156,8.531055556,Jose Iglesias,DET,SS
590462,8.498888889,Josh Harrison,PIT,2B
59058,8.488555556,David Freese,PIT,CI
591693,8.484166667,Dixon Machado,DET,2B
59149,8.482055556,Miguel Cabrera,DET,1B
591691,8.475,Dixon Machado,DET,2B
591552,8.466611111,Jose Iglesias,DET,SS
590422,8.463333333,Jordy Mercer,PIT,SS
59070,8.445611111,Josh Bell,PIT,1B
59235,8.440111111,Scott Schebler,CIN,UT
591562,8.439444444,Jose Iglesias,DET,SS
59035,8.435,Mitch Haniger,SEA,RF
59242,8.391722222,Joey Votto,CIN,1B
59110,8.387055556,Marcell Ozuna,STL,LF
59199,8.368,Todd Frazier,NYM,3B
590461,8.346777778,Josh Harrison,PIT,2B
59240,8.314166667,Scooter Gennett,CIN,2B
591613,8.302055556,Jose Iglesias,DET,SS
59169,8.295555556,Dixon Machado,DET,2B
59241,8.288277778,Adam Duvall,CIN,LF
590442,8.283888889,Starling Marte,PIT,CF
590733,8.261055556,Francisco Cervelli,PIT,C
590451,8.258277778,Josh Harrison,PIT,2B
59038,8.243833333,Jean Segura,SEA,SS
591563,8.240333333,Jose Iglesias,DET,SS
59152,8.232722222,James McCann,DET,C
59085,8.232222222,Joey Gallo,TEX,1B
59227,8.228277778,Brandon Drury,NYY,3B
590581,8.213833333,David Freese,PIT,CI
59032,8.213444444,David Freitas,SEA,C
590421,8.211611111,Jordy Mercer,PIT,SS
59026,8.207777778,Anthony Rendon,WSN,3B
590441,8.173,Starling Marte,PIT,CF
59181,8.171333333,Edwin Encarnacion,CLE,DH
59123,8.168277778,Russell Martin,TOR,C
59073,8.166555556,Francisco Cervelli,PIT,C
590703,8.163277778,Josh Bell,PIT,1B
590692,8.1505,Josh Bell,PIT,1B
590691,8.136333333,Josh Bell,PIT,1B
590562,8.124166667,Jordy Mercer,PIT,SS
59011,8.121944444,Miguel Rojas,MIA,SS
590602,8.083611111,Starling Marte,PIT,CF
591521,8.081666667,James McCann,DET,C
59202,8.080944444,Kevin Plawecki,NYM,C
591551,8.062888889,Jose Iglesias,DET,SS
59127,8.035,Curtis Granderson,TOR,LF
59225,8.033333333,Austin Romine,NYY,C
59053,7.984888889,Francisco Cervelli,PIT,C
591692,7.972611111,Dixon Machado,DET,2B
58994,7.967666667,Ryan LaMarre,MIN,UT
590533,7.960611111,Francisco Cervelli,PIT,C
59069,7.959277778,Josh Bell,PIT,1B
590561,7.920666667,Jordy Mercer,PIT,SS
590531,7.918722222,Francisco Cervelli,PIT,C
59219,7.892666667,Alex Bregman,HOU,3B
59122,7.880666667,Kendrys Morales,TOR,DH
59180,7.849222222,Jason Kipnis,CLE,2B
59044,7.802666667,Starling Marte,PIT,CF
59018,7.799888889,Justin Bour,MIA,1B
590693,7.779222222,Josh Bell,PIT,1B
59029,7.773444444,Wilmer Difo,WSN,IF
59001,7.772055556,Robbie Grossman,MIN,UT
59222,7.739833333,J.D. Davis,HOU,1B
590443,7.702222222,Starling Marte,PIT,CF
590532,7.634444444,Francisco Cervelli,PIT,C
591493,7.626944444,Miguel Cabrera,DET,1B
59154,7.612222222,John Hicks,DET,UT
