"","RFPred","Name","HTeam","Pos"
"59244",9.53477777777777,"Yasiel Puig","LAD","RF"
"59245",5.938,"Austin Barnes","LAD","UT"
"59246",6.89016666666667,"Matt Kemp","LAD","LF"
"59247",11.8254444444444,"Chris Taylor","LAD","CF"
"59248",4.08838888888889,"Enrique Hernandez","LAD","UT"
"59249",12.6606111111111,"Cody Bellinger","LAD","1B"
"59250",7.847,"Yasmani Grandal","LAD","C"
"59251",4.77283333333333,"Logan Forsythe","LAD","3B"
"59252",0.748333333333333,"Kyle Farmer","LAD","3B"
"59253",4.70961111111111,"Joc Pederson","LAD","OF"
"59254",3.44333333333333,"Chase Utley","LAD","2B"
"59255",9.41555555555556,"Corey Seager","LAD","SS"
"59256",11.9263888888889,"Ryan Zimmerman","WSN","1B"
"59257",4.47311111111111,"Michael Taylor","WSN","CF"
"59258",11.4813333333333,"Bryce Harper","WSN","RF"
"59259",2.88005555555556,"Pedro Severino","WSN","C"
"59260",9.95022222222222,"Howie Kendrick","WSN","2B"
"59261",12.0695,"Trea Turner","WSN","SS"
"59262",6.71788888888889,"Anthony Rendon","WSN","3B"
"59263",8.69377777777778,"Brian Goodwin","WSN","OF"
"59264",3.23505555555556,"Wilmer Difo","WSN","IF"
"59265",12.1766666666667,"Alex Bregman","HOU","3B"
"59266",7.97655555555556,"Marwin Gonzalez","HOU","UT"
"59267",13.8008888888889,"Jose Altuve","HOU","2B"
"59268",12.4698333333333,"Evan Gattis","HOU","DH"
"59269",5.12255555555555,"J.D. Davis","HOU","1B"
"59270",7.11038888888889,"Derek Fisher","HOU","LF"
"59271",9.45455555555556,"Brian McCann","HOU","C"
"59272",9.41983333333333,"Josh Reddick","HOU","RF"
"59273",8.34061111111111,"George Springer","HOU","UT"
"59274",13.0947777777778,"Carlos Correa","HOU","SS"
"59275",4.09322222222222,"Miguel Rojas","MIA","SS"
"59277",6.0045,"Justin Bour","MIA","1B"
"59278",7.996,"Starlin Castro","MIA","2B"
"59279",4.52133333333333,"Yadiel Rivera","MIA","UT"
"59280",10.5615555555556,"Cameron Maybin","MIA","RF"
"59281",1.45955555555556,"Tomas Telis","MIA","UT"
"59282",5.66855555555556,"Brian Anderson","MIA","3B"
"59283",6.95844444444445,"Chad Wallach","MIA","C"
"59284",9.58077777777777,"Lewis Brinson","MIA","CF"
"59285",7.00838888888889,"Derek Dietrich","MIA","LF"
"59286",8.50277777777777,"Scooter Gennett","CIN","2B"
"59287",3.11266666666667,"Cliff Pennington","CIN","IF"
"59288",2.23661111111111,"Philip Gosselin","CIN","UT"
"59289",6.51894444444445,"Jesse Winker","CIN","RF"
"59290",9.71655555555555,"Eugenio Suarez","CIN","3B"
"59291",4.38677777777778,"Phil Ervin","CIN","OF"
"59292",5.31416666666667,"Tucker Barnhart","CIN","C"
"59293",11.7071111111111,"Adam Duvall","CIN","LF"
"59294",11.7384444444445,"Billy Hamilton","CIN","CF"
"59295",10.0502777777778,"Joey Votto","CIN","1B"
"59296",7.086,"Justin Smoak","TOR","1B"
"59297",10.0151666666667,"Josh Donaldson","TOR","UT"
"59298",2.34988888888889,"Curtis Granderson","TOR","LF"
"59299",6.623,"Aledmys Diaz","TOR","SS"
"59300",4.64805555555556,"Russell Martin","TOR","C"
"59301",5.22605555555556,"Yangervis Solarte","TOR","3B"
"59302",2.50311111111111,"Devon Travis","TOR","2B"
"59303",7.83994444444444,"Kevin Pillar","TOR","CF"
"59304",8.9195,"Randal Grichuk","TOR","RF"
"59305",6.31866666666667,"Addison Russell","CHC","SS"
"59306",9.56094444444445,"Anthony Rizzo","CHC","1B"
"59307",8.69427777777778,"Ben Zobrist","CHC","UT"
"59308",13.1931111111111,"Kris Bryant","CHC","3B"
"59309",8.51244444444445,"Jason Heyward","CHC","RF"
"59310",7.33977777777778,"Ian Happ","CHC","OF"
"59311",6.42194444444444,"Javier Baez","CHC","2B"
"59312",9.77894444444444,"Willson Contreras","CHC","C"
"59313",8.32416666666667,"Kyle Schwarber","CHC","LF"
"59314",8.44016666666667,"Luis Valbuena","LAA","3B"
"59315",8.85594444444445,"Kole Calhoun","LAA","RF"
"59316",7.039,"Justin Upton","LAA","LF"
"59317",5.99783333333334,"Martin Maldonado","LAA","C"
"59318",13.0260555555556,"Mike Trout","LAA","CF"
"59319",9.01083333333333,"Zack Cozart","LAA","IF"
"59320",9.14455555555555,"Andrelton Simmons","LAA","SS"
"59321",4.725,"Albert Pujols","LAA","1B"
"59322",4.77794444444444,"Jefry Marte","LAA","UT"
"59323",8.98244444444444,"Cory Spangenberg","SDP","UT"
"59324",8.88016666666666,"Eric Hosmer","SDP","1B"
"59325",7.96161111111111,"Freddy Galvis","SDP","SS"
"59326",10.3458888888889,"Wil Myers","SDP","UT"
"59327",7.22961111111111,"A.J. Ellis","SDP","C"
"59328",10.8170555555556,"Hunter Renfroe","SDP","RF"
"59329",4.92122222222222,"Manuel Margot","SDP","CF"
"59330",5.06466666666666,"Carlos Asuaje","SDP","2B"
"59331",6.24161111111111,"Jose Pirela","SDP","LF"
"59332",3.59922222222222,"Matt Szczur","SDP","OF"
"59333",5.72066666666667,"Chase Headley","SDP","UT"
"59334",6.96538888888889,"Mike Moustakas","KCR","3B"
"59335",8.2335,"Lucas Duda","KCR","1B"
"59336",9.02966666666666,"Whit Merrifield","KCR","2B"
"59337",2.63661111111111,"Drew Butera","KCR","C"
"59338",3.47711111111111,"Alcides Escobar","KCR","SS"
"59339",5.59777777777778,"Paulo Orlando","KCR","UT"
"59340",4.08127777777778,"Alex Gordon","KCR","OF"
"59341",8.13305555555555,"Jon Jay","KCR","LF"
"59342",3.26127777777778,"Cheslor Cuthbert","KCR","DH"
"59343",2.60622222222222,"Jorge Soler","KCR","RF"
"59344",8.86166666666667,"Jonathan Schoop","BAL","2B"
"59345",6.30505555555556,"Chris Davis","BAL","1B"
"59346",6.46527777777778,"Colby Rasmus","BAL","UT"
"59347",5.51111111111111,"Manny Machado","BAL","SS"
"59349",6.34983333333334,"Tim Beckham","BAL","3B"
"59350",7.5295,"Adam Jones","BAL","CF"
"59351",9.64661111111112,"Trey Mancini","BAL","LF"
"59352",5.631,"Caleb Joseph","BAL","C"
"59354",8.12394444444445,"Jeimer Candelario","DET","3B"
"59355",7.84861111111111,"James McCann","DET","C"
"59356",5.96266666666667,"Leonys Martin","DET","CF"
"59357",6.75466666666667,"Victor Martinez","DET","DH"
"59358",11.9596111111111,"Nicholas Castellanos","DET","RF"
"59359",7.34966666666667,"Mikie Mahtook","DET","LF"
"59360",11.3826111111111,"Miguel Cabrera","DET","1B"
"59362",7.16388888888889,"Dixon Machado","DET","2B"
"59363",7.32422222222222,"Jason Kipnis","CLE","2B"
"59364",9.49666666666667,"Edwin Encarnacion","CLE","DH"
"59365",7.24044444444444,"Francisco Lindor","CLE","SS"
"59366",10.2872777777778,"Erik Gonzalez","CLE","IF"
"59367",2.75166666666667,"Tyler Naquin","CLE","RF"
"59368",9.82144444444444,"Lonnie Chisenhall","CLE","RF"
"59369",7.08505555555556,"Brandon Guyer","CLE","OF"
"59370",5.8655,"Yan Gomes","CLE","C"
"59371",12.4650555555556,"Jose Ramirez","CLE","3B"
"59372",15.3046666666667,"Yonder Alonso","CLE","1B"
"59373",4.38122222222222,"Bradley Zimmer","CLE","CF"
"59374",13.0252222222222,"Jarrod Dyson","ARI","OF"
"59375",11.3429444444444,"Chris Owings","ARI","RF"
"59376",8.73083333333333,"Alex Avila","ARI","C"
"59377",9.9405,"Jeff Mathis","ARI","C"
"59378",6.18011111111111,"David Peralta","ARI","LF"
"59379",8.89466666666667,"Ketel Marte","ARI","2B"
"59380",7.15522222222222,"Daniel Descalso","ARI","3B"
"59381",3.65455555555556,"Deven Marrero","ARI","3B"
"59382",9.46788888888889,"Jake Lamb","ARI","3B"
"59383",6.47616666666667,"Nick Ahmed","ARI","SS"
"59384",8.45422222222223,"A.J. Pollock","ARI","CF"
"59385",9.60766666666667,"Paul Goldschmidt","ARI","1B"
"59386",4.64494444444444,"Blake Swihart","BOS","UT"
"59387",3.71855555555556,"Mitch Moreland","BOS","1B"
"59388",5.11588888888889,"Christian Vazquez","BOS","C"
"59389",10.2121666666667,"Xander Bogaerts","BOS","SS"
"59390",7.17327777777778,"Jackie Bradley","BOS","CF"
"59391",10.5819444444444,"Mookie Betts","BOS","RF"
"59392",11.568,"Andrew Benintendi","BOS","LF"
"59393",8.13016666666667,"Hanley Ramirez","BOS","UT"
"59394",7.08694444444444,"Rafael Devers","BOS","3B"
"59395",8.76005555555555,"Eduardo Nunez","BOS","2B"
"59396",4.69238888888889,"Greg Garcia","STL","IF"
"59397",12.2155555555556,"Matt Carpenter","STL","3B"
"59398",13.0672777777778,"Marcell Ozuna","STL","LF"
"59399",13.8086111111111,"Jedd Gyorko","STL","3B"
"59400",3.88388888888889,"Yairo Munoz","STL","3B"
"59401",7.39361111111111,"Jose Martinez","STL","1B"
"59402",9.37566666666666,"Yadier Molina","STL","C"
"59403",12.7660555555556,"Tommy Pham","STL","CF"
"59404",11.3675555555556,"Dexter Fowler","STL","RF"
"59405",10.2950555555556,"Paul DeJong","STL","SS"
"59406",11.4167777777778,"Kolten Wong","STL","2B"
"59407",4.87772222222222,"Colin Moran","PIT","3B"
"59408",15.4333333333333,"Starling Marte","PIT","CF"
"59409",14.1181111111111,"Josh Harrison","PIT","2B"
"59410",4.84955555555556,"Sean Rodriguez","PIT","UT"
"59411",11.6427777777778,"Adam Frazier","PIT","UT"
"59412",7.94938888888889,"Gregory Polanco","PIT","RF"
"59413",5.90533333333333,"Francisco Cervelli","PIT","C"
"59414",6.94194444444444,"Josh Bell","PIT","1B"
"59415",5.42783333333333,"Jordy Mercer","PIT","SS"
"59416",11.5696111111111,"David Freese","PIT","CI"
"59417",3.76322222222222,"Corey Dickerson","PIT","LF"
"59418",7.26944444444444,"Rougned Odor","TEX","UT"
"59419",7.83222222222222,"Elvis Andrus","TEX","SS"
"59420",6.0645,"ShinSoo Choo","TEX","DH"
"59421",9.48194444444444,"Adrian Beltre","TEX","3B"
"59422",3.76433333333333,"Nomar Mazara","TEX","RF"
"59423",7.85294444444445,"Drew Robinson","TEX","UT"
"59424",2.657,"Jurickson Profar","TEX","SS"
"59425",2.66966666666667,"Ryan Rua","TEX","LF"
"59426",7.16727777777778,"Joey Gallo","TEX","1B"
"59427",5.66988888888889,"Robinson Chirinos","TEX","C"
"59428",10.4938888888889,"Miguel Sano","MIN","3B"
"59429",13.6053333333333,"Brian Dozier","MIN","2B"
"59430",4.36261111111111,"Eduardo Escobar","MIN","SS"
"59431",6.07427777777778,"Robbie Grossman","MIN","UT"
"59432",5.57177777777778,"Jason Castro","MIN","C"
"59433",7.79838888888889,"Max Kepler","MIN","RF"
"59434",3.8445,"Logan Morrison","MIN","DH"
"59435",6.96988888888889,"Ehire Adrianza","MIN","SS"
"59436",7.60961111111111,"Byron Buxton","MIN","CF"
"59437",6.13894444444445,"Eddie Rosario","MIN","LF"
"59438",5.91961111111111,"Joe Mauer","MIN","1B"
"59439",10.8018333333333,"Trevor Story","COL","SS"
"59440",7.98544444444444,"Gerardo Parra","COL","LF"
"59441",8.665,"DJ LeMahieu","COL","2B"
"59442",8.33844444444445,"Carlos Gonzalez","COL","RF"
"59443",13.3906111111111,"Ian Desmond","COL","1B"
"59444",7.955,"Nolan Arenado","COL","3B"
"59445",5.91216666666667,"Chris Iannetta","COL","C"
"59446",15.2421111111111,"Charlie Blackmon","COL","CF"
"59447",3.20072222222222,"Ryan McMahon","COL","CI"
"59448",1.22338888888889,"Mike Tauchman","COL","OF"
"59449",11.2704444444444,"Lorenzo Cain","MIL","CF"
"59450",12.4940555555556,"Eric Thames","MIL","1B"
"59451",7.69805555555555,"Jesus Aguilar","MIL","1B"
"59452",10.1298333333333,"Jonathan Villar","MIL","2B"
"59453",12.4042777777778,"Ryan Braun","MIL","LF"
"59454",6.49277777777778,"Orlando Arcia","MIL","SS"
"59455",11.2832222222222,"Christian Yelich","MIL","OF"
"59456",5.54211111111111,"Eric Sogard","MIL","MI"
"59457",10.4935555555556,"Travis Shaw","MIL","3B"
"59458",7.87772222222222,"Manny Pina","MIL","C"
"59459",7.87405555555556,"Jed Lowrie","OAK","2B"
"59460",7.98761111111111,"Matthew Joyce","OAK","LF"
"59461",7.43088888888889,"Boog Powell","OAK","CF"
"59462",4.25022222222222,"Jonathan Lucroy","OAK","C"
"59463",5.24588888888889,"Stephen Piscotty","OAK","RF"
"59464",9.48033333333333,"Matt Olson","OAK","1B"
"59465",6.9935,"Marcus Semien","OAK","SS"
"59466",8.96788888888889,"Matt Chapman","OAK","3B"
"59467",3.72133333333333,"Jake Smolinski","OAK","CF"
"59468",7.35988888888889,"Khris Davis","OAK","DH"
"59469",8.70405555555555,"Yolmer Sanchez","CHW","3B"
"59470",6.81522222222222,"Leury Garcia","CHW","UT"
"59471",7.32788888888889,"Jose Abreu","CHW","1B"
"59472",10.3075555555556,"Yoan Moncada","CHW","2B"
"59473",11.7371111111111,"Tim Anderson","CHW","SS"
"59474",19.1342222222222,"Matt Davidson","CHW","DH"
"59475",7.97705555555556,"Welington Castillo","CHW","C"
"59476",6.85433333333333,"Adam Engel","CHW","CF"
"59477",10.5642777777778,"Avisail Garcia","CHW","RF"
"59478",3.61683333333333,"Dansby Swanson","ATL","SS"
"59479",6.07605555555555,"Ryan Flaherty","ATL","3B"
"59480",7.70855555555555,"Nick Markakis","ATL","RF"
"59481",11.1442777777778,"Ozzie Albies","ATL","2B"
"59482",5.77677777777778,"Peter Bourjos","ATL","OF"
"59483",8.30772222222222,"Ender Inciarte","ATL","CF"
"59484",12.5041111111111,"Freddie Freeman","ATL","1B"
"59485",7.98605555555556,"Preston Tucker","ATL","LF"
"59486",4.93561111111111,"Chris Stewart","ATL","C"
"59487",4.80916666666667,"Lane Adams","ATL","OF"
