"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","BHSplit"
"72615",8.75753333333333,"Shohei Ohtani","LAA","DH",3,1.33333333333333,0,1,0.666666666666667
"72616",6.23086666666666,"Justin Upton","LAA","LF",15,1.5,0,3,0.285714285714286
"72617",7.95456666666666,"Ian Kinsler","LAA","2B",6,1,0,1,0.5
"72618",11.2884,"Rene Rivera","LAA","C",15,0.5,0,1,0
"72619",5.0782,"Luis Valbuena","LAA","3B",0,0.75,0,0,0.5
"72620",5.87196666666667,"Mike Trout","LAA","CF",6,0.5,1,0,0.571428571428571
"72621",7.41146666666667,"Andrelton Simmons","LAA","SS",6,1,2,0,0.666666666666667
"72622",7.3556,"Albert Pujols","LAA","1B",3,0.8,0,0,0.25
"72623",3.6029,"Kole Calhoun","LAA","RF",3,0.4,1,0,0
"72624",8.3055,"Denard Span","TBR","LF",5,0.857142857142857,2,0,0.333333333333333
"72626",8.44416666666667,"Carlos Gomez","TBR","RF",2,0.714285714285714,0,0,0.5
"72627",7.9215,"C.J. Cron","TBR","DH",18,1.75,0,2,0.666666666666667
"72628",4.92636666666667,"Brad Miller","TBR","1B",12,1,0,2,0.6
"72629",4.7495,"Mallex Smith","TBR","CF",8,0.875,2,0,0
"72630",5.47353333333333,"Adeiny Hechavarria","TBR","SS",3,1,0,0,0.666666666666667
"72631",7.80046666666667,"Matt Duffy","TBR","3B",8,2,0,2,0.666666666666667
"72633",5.9525,"Jesus Sucre","TBR","C",3,0,0,0,0
"72634",2.5534,"Joey Wendle","TBR","2B",3,1.42857142857143,2,0,0
"72635",8.3572,"Carlos Correa","HOU","SS",0,0.75,0,2,0.5
"72636",6.21643333333333,"Brian McCann","HOU","C",6,1,0,1,0
"72637",5.9897,"Josh Reddick","HOU","RF",8,0.75,0,0,0.5
"72638",9.0669,"George Springer","HOU","OF",0,0.666666666666667,0,0,0.5
"72639",9.78603333333333,"Jose Altuve","HOU","2B",11,0.8,1,0,0.666666666666667
"72640",3.3959,"Marwin Gonzalez","HOU","LF",7,0,1,0,0.333333333333333
"72641",7.3845,"Alex Bregman","HOU","3B",9,0.8,0,0,0.333333333333333
"72642",6.307,"Evan Gattis","HOU","DH",0,1.25,1,2,0.25
"72645",6.82243333333333,"Justin Bour","MIA","1B",6,0.4,0,1,0.4
"72646",6.6309,"Miguel Rojas","MIA","SS",0,1.6,0,1,0.5
"72647",3.57063333333333,"Cameron Maybin","MIA","RF",3,0.4,0,0,0
"72648",5.70403333333333,"Starlin Castro","MIA","2B",2,0.8,0,1,0.666666666666667
"72650",4.86446666666667,"Brian Anderson","MIA","3B",8,0.8,1,0,0.5
"72653",3.9716,"Martin Prado","MIA","3B",8,0.6,0,0,0
"72654",6.2243,"J.T. Realmuto","MIA","C",14,1.25,0,1,0.4
"72655",10.8558666666667,"Cody Bellinger","LAD","1B",15,0.666666666666667,0,1,0.5
"72656",6.85463333333333,"Matt Kemp","LAD","LF",0,0.333333333333333,0,0,0.4
"72659",9.93720000000001,"Justin Turner","LAD","3B",3,NA,0,0,0
"72660",9.2347,"Chris Taylor","LAD","CF",5,0.833333333333333,1,0,0.5
"72663",10.7480333333333,"Logan Forsythe","LAD","IF",0,NA,0,0,0
"72664",5.99106666666666,"Yasiel Puig","LAD","RF",19,0.666666666666667,0,1,0.5
"72666",7.83166666666667,"Steven Souza","ARI","RF",0,0.5,1,0,0
"72667",9.18526666666667,"Nick Ahmed","ARI","SS",0,0.5,0,1,0.6
"72668",6.21886666666667,"David Peralta","ARI","LF",3,1.2,0,1,0.833333333333333
"72670",6.47133333333333,"Ketel Marte","ARI","2B",0,1.33333333333333,0,0,0.5
"72673",7.59426666666667,"Paul Goldschmidt","ARI","1B",5,0.5,0,0,0
"72674",3.19926666666667,"Jeff Mathis","ARI","C",2,0,0,0,0
"72675",6.8125,"Daniel Descalso","ARI","3B",7,0.833333333333333,0,0,0.333333333333333
"72676",6.39776666666667,"Chris Owings","ARI","RF",2,0.2,0,0,0
"72677",6.27763333333333,"Jedd Gyorko","STL","3B",0,1,0,1,0.4
"72679",7.80373333333333,"Tommy Pham","STL","CF",0,1.25,0,2,0.666666666666667
"72680",5.45986666666666,"Matt Carpenter","STL","3B",0,0,0,0,0.5
"72681",9.78613333333333,"Harrison Bader","STL","OF",5,1,0,2,0.333333333333333
"72682",13.3012333333333,"Jose Martinez","STL","1B",0,1.25,0,0,0.5
"72683",10.2538,"Marcell Ozuna","STL","LF",0,1.75,1,1,0.5
"72684",6.7711,"Kolten Wong","STL","2B",2,0,1,0,0.666666666666667
"72685",7.45726666666667,"Paul DeJong","STL","SS",2,1.5,0,1,0.8
"72689",5.1701,"Curtis Granderson","TOR","LF",10,0,0,0,0
"72690",9.75763333333333,"Teoscar Hernandez","TOR","OF",5,1.4,0,1,0.285714285714286
"72691",5.1741,"Yangervis Solarte","TOR","3B",3,0.8,0,0,0.363636363636364
"72692",5.25333333333333,"Russell Martin","TOR","C",2,1.25,0,1,0
"72694",9.56643333333334,"Josh Donaldson","TOR","UT",6,1.4,0,0,0
"72695",9.69520000000001,"Kevin Pillar","TOR","CF",0,1.2,2,0,0.25
"72697",7.87323333333333,"Justin Smoak","TOR","1B",7,0.8,0,1,0.5
"72698",3.18776666666667,"Richard Urena","TOR","SS",0,0.4,0,0,0
"72699",9.8901,"J.D. Martinez","BOS","DH",5,1.4,0,2,0.5
"72701",8.4152,"Rafael Devers","BOS","3B",2,1,0,1,0.571428571428571
"72702",5.84456666666667,"Xander Bogaerts","BOS","SS",6,1,0,1,0.666666666666667
"72703",11.8653666666667,"Mookie Betts","BOS","RF",0,1.4,4,0,0.416666666666667
"72704",4.7298,"Mitch Moreland","BOS","1B",14,0.75,0,1,0.571428571428571
"72705",6.7986,"Andrew Benintendi","BOS","LF",24,1.4,2,1,0.666666666666667
"72706",5.76593333333333,"Hanley Ramirez","BOS","UT",3,0.75,0,2,0.666666666666667
"72707",5.102,"Eduardo Nunez","BOS","2B",0,1,0,0,0.5
"72708",3.6258,"Christian Vazquez","BOS","C",0,0.25,0,0,0
"72709",6.07016666666667,"Leury Garcia","CHW","UT",3,0.5,0,0,0.5
"72710",7.0975,"Yoan Moncada","CHW","2B",3,NA,0,0,0.833333333333333
"72711",14.0018666666667,"Daniel Palka","CHW","UT",0,1.25,1,1,0.6
"72712",6.03806666666667,"Nick Delmonico","CHW","LF",0,0.5,0,0,0
"72714",7.27796666666667,"Welington Castillo","CHW","C",3,1,0,0,0.75
"72715",5.33903333333333,"Yolmer Sanchez","CHW","3B",3,0.75,0,0,0
"72716",5.84226666666667,"Tim Anderson","CHW","SS",3,0.25,0,1,0.333333333333333
"72718",8.94809999999999,"Jose Abreu","CHW","1B",9,1.5,0,0,0.8
"72720",4.43263333333333,"Tony Wolters","COL","C",0,0.333333333333333,0,1,0.333333333333333
"72721",9.1859,"Nolan Arenado","COL","3B",0,1.5,0,0,0.75
"72723",4.96416666666666,"David Dahl","COL","OF",0,1.25,0,1,0.666666666666667
"72726",6.34046666666667,"Gerardo Parra","COL","LF",0,1,1,1,0
"72727",10.5984666666667,"Carlos Gonzalez","COL","RF",0,1.33333333333333,0,1,0
"72728",5.9121,"Pat Valaika","COL","IF",2,1,0,0,0
"72729",13.2946333333333,"Trevor Story","COL","SS",3,0.833333333333333,0,3,0.375
"72732",7.28973333333333,"Nomar Mazara","TEX","RF",11,1,0,2,0.5
"72733",5.42476666666667,"Robinson Chirinos","TEX","C",16,0,0,0,0.4
"72734",6.45263333333333,"Rougned Odor","TEX","2B",8,0.333333333333333,0,0,0
"72735",5.511,"Jurickson Profar","TEX","SS",5,1,0,0,0.333333333333333
"72736",4.5711,"Isiah KinerFalefa","TEX","2B",14,1,0,0,0.5
"72737",4.80586666666667,"Ronald Guzman","TEX","1B",7,0.666666666666667,0,1,0.5
"72738",6.96906666666667,"Delino DeShields","TEX","CF",2,0.5,1,0,0.333333333333333
"72739",7.1846,"ShinSoo Choo","TEX","DH",3,1,0,0,0.666666666666667
"72741",6.58366666666666,"Joey Gallo","TEX","1B",22,0,0,0,0.5
"72742",7.77893333333333,"Jesse Winker","CIN","RF",2,1,0,0,0
"72745",6.05016666666666,"Billy Hamilton","CIN","CF",3,0.833333333333333,3,0,0
"72746",11.3903666666667,"Scott Schebler","CIN","RF",2,0.666666666666667,0,2,0.8
"72747",5.05926666666667,"Eugenio Suarez","CIN","3B",23,0.833333333333333,0,1,0.4
"72748",7.60536666666667,"Scooter Gennett","CIN","2B",6,2.5,0,2,0.571428571428571
"72749",6.04643333333333,"Jose Peraza","CIN","SS",0,0.833333333333333,1,0,0.666666666666667
"72750",7.1672,"Adam Duvall","CIN","LF",0,0.833333333333333,0,2,0.6
"72751",2.544,"Tony Cruz","CIN","C",5,0.5,0,0,0
"72753",6.8563,"Eddie Rosario","MIN","LF",3,0.8,0,2,0.666666666666667
"72754",7.52456666666667,"Brian Dozier","MIN","2B",7,1.6,0,2,0.5
"72755",4.8686,"Max Kepler","MIN","RF",0,0.2,0,1,0.666666666666667
"72756",6.15413333333334,"Joe Mauer","MIN","1B",3,1.2,0,0,0.5
"72757",1.41733333333333,"Bobby Wilson","MIN","C",15,0,0,0,0
"72758",4.89926666666667,"Eduardo Escobar","MIN","3B",6,0.2,0,0,0.714285714285714
"72759",6.1809,"Logan Morrison","MIN","DH",8,0.8,0,0,0.8
"72760",4.50606666666667,"Byron Buxton","MIN","CF",5,0.25,0,0,0
"72761",4.88263333333333,"Ehire Adrianza","MIN","SS",3,0.8,0,0,0
"72762",11.4860333333333,"Whit Merrifield","KCR","2B",6,1.66666666666667,2,1,0.5
"72763",6.91376666666666,"Alcides Escobar","KCR","SS",6,0.666666666666667,0,0,0.333333333333333
"72764",5.60203333333333,"Alex Gordon","KCR","OF",9,0.333333333333333,1,0,0.25
"72765",8.4824,"Mike Moustakas","KCR","3B",11,1,0,0,0.3
"72766",0,"Hunter Dozier","KCR","1B",13,0,0,0,0
"72767",3.7332,"Abraham Almonte","KCR","CF",0,0.666666666666667,0,0,0.4
"72768",6.39726666666666,"Jon Jay","KCR","LF",3,1.5,0,0,0
"72769",7.96113333333333,"Salvador Perez","KCR","C",0,1,0,2,0
"72770",5.01026666666667,"Ryan Goins","KCR","2B",3,0,0,0,0
"72771",5.01036666666667,"Guillermo Heredia","SEA","LF",11,0.333333333333333,0,0,0
"72772",7.76196666666667,"Mike Zunino","SEA","C",3,1,0,1,0.571428571428571
"72774",6.27403333333334,"Kyle Seager","SEA","3B",8,1.125,0,3,0.2
"72776",4.3762,"Ben Gamel","SEA","LF",0,0.285714285714286,0,0,0
"72777",10.9052333333333,"Nelson Cruz","SEA","DH",6,0.875,2,0,0.8
"72778",8.15243333333333,"Mitch Haniger","SEA","RF",21,1,2,0,0.714285714285714
"72779",8.5984,"Dee Gordon","SEA","CF",0,0.428571428571429,0,0,0
"72780",3.27166666666667,"Gordon Beckham","SEA","2B",11,0,0,0,0
"72781",9.24073333333333,"Ryon Healy","SEA","1B",22,1.375,0,3,0.444444444444444
"72782",11.551,"Jean Segura","SEA","SS",37,1.83333333333333,2,0,0.5
"72783",4.3028,"Amed Rosario","NYM","SS",16,0.666666666666667,1,0,0
"72785",10.9708333333333,"Asdrubal Cabrera","NYM","2B",6,1.33333333333333,0,0,0.25
"72786",6.23516666666667,"Jose Reyes","NYM","IF",5,0.333333333333333,0,0,0.5
"72787",3.4648,"Juan Lagares","NYM","CF",29,0,0,0,0
"72789",5.90463333333333,"Brandon Nimmo","NYM","OF",3,1,0,0,0
"72792",5.75266666666667,"Wilmer Flores","NYM","CI",4,0.666666666666667,0,0,0
"72793",6.97703333333333,"Jay Bruce","NYM","RF",8,0,0,0,0
"72794",5.84486666666667,"Giancarlo Stanton","NYY","DH",7,1.4,0,1,0.5
"72795",11.0692666666667,"Aaron Judge","NYY","RF",4,1.6,0,3,0.888888888888889
"72796",4.63326666666667,"Didi Gregorius","NYY","SS",2,0.2,1,0,0.5
"72797",7.38023333333333,"Gleyber Torres","NYY","2B",5,1,0,1,0.75
"72799",5.4349,"Tyler Austin","NYY","1B",18,0,0,0,0.5
"72800",8.9595,"Gary Sanchez","NYY","C",8,0.8,0,1,0.75
"72801",7.8117,"Aaron Hicks","NYY","CF",0,0.5,2,1,0.5
"72802",5.1783,"Miguel Andujar","NYY","3B",6,1.4,1,0,0.5
