"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
"2781",2.64986666666667,"Trayce Thompson","OAK","CF",0,0.181818181818182,2,0,0.6,0.454545454545455,0.5,0.521739130434783
"279",6.24653333333333,"Mark Canha","OAK","CF",0,0.7,0,1,0.6,0.470588235294118,0.461538461538462,0.492537313432836
"280",7.34103333333334,"Franklin Barreto","OAK","2B",0,NA,0,0,0,0,0,0.117647058823529
"281",9.4239,"Dustin Fowler","OAK","CF",0,0.545454545454545,2,1,0,0,0,0
"282",4.40523333333333,"Josh Phegley","OAK","C",0,0.5,0,0,0,0,0,0.324324324324324
"283",5.91876666666666,"Chris Iannetta","COL","C",0,0.625,0,1,0.333333333333333,0.3,0.590909090909091,0.597826086956522
"284",8.48546666666667,"Ian Desmond","COL","1B",0,0.615384615384615,2,2,0,0.352941176470588,0.5,0.699248120300752
"285",11.0918333333333,"DJ LeMahieu","COL","2B",0,1,0,0,0,0.666666666666667,0.461538461538462,0.730290456431535
"286",7.9016,"Trevor Story","COL","SS",0,1.07692307692308,1,3,0.5,0.565217391304348,0.675675675675676,0.720930232558139
"287",7.73896666666666,"Nolan Arenado","COL","3B",0,1.38461538461538,1,0,0.8,0.533333333333333,0.666666666666667,0.719230769230769
"288",7.69133333333333,"Gerardo Parra","COL","LF",0,1.07692307692308,2,2,0.333333333333333,0.423076923076923,0.692307692307692,0.748538011695906
"289",11.9047666666667,"Charlie Blackmon","COL","CF",0,0.846153846153846,1,1,0.4,0.541666666666667,0.764705882352941,0.725978647686833
"290",8.86313333333333,"Carlos Gonzalez","COL","RF",0,0.875,0,1,0,0.555555555555556,0.772727272727273,0.745341614906832
"291",0.9589,"Ryan McMahon","COL","CI",0,NA,0,0,0,0.75,0,0.923076923076923
"292",3.17743333333333,"Mike Tauchman","COL","OF",0,NA,0,0,0,0,0,0.625
"293",3.03283333333333,"Pat Valaika","COL","IF",0,0.428571428571429,0,0,0,0.666666666666667,0.6875,0.709677419354839
"294",6.43966666666667,"Tony Wolters","COL","C",0,0.285714285714286,1,1,0.333333333333333,0.571428571428571,0.333333333333333,0.805970149253731
"295",3.26453333333333,"David Dahl","COL","OF",0,0.545454545454545,0,1,0.666666666666667,0.8125,0.666666666666667,0.736842105263158
"296",4.69503333333333,"Noel Cuevas","COL","OF",0,0.461538461538462,0,1,0,0.5,0,0.5
"297",3.86496666666667,"Daniel Castro","COL","2B",0,0.375,0,1,0,0.285714285714286,0,0.285714285714286
"298",5.94896666666667,"Yasmani Grandal","LAD","C",0,0.533333333333333,0,3,0,0.0555555555555556,0.0666666666666667,0.132911392405063
"299",7.6003,"Cody Bellinger","LAD","1B",0,0.5625,0,4,0.166666666666667,0.0714285714285714,0.211538461538462,0.168421052631579
"300",5.22656666666667,"Chase Utley","LAD","2B",0,0.461538461538462,0,0,0,0.176470588235294,0.0909090909090909,0.0754716981132075
"301",8.55736666666667,"Corey Seager","LAD","SS",0,NA,0,0,0,0.0909090909090909,0.296296296296296,0.261083743842365
"302",6.00706666666667,"Matt Kemp","LAD","LF",0,0.8125,0,0,0.333333333333333,0.212121212121212,0.148148148148148,0.180327868852459
"303",10.2745666666667,"Chris Taylor","LAD","CF",0,0.866666666666667,1,1,0.2,0.258064516129032,0.310344827586207,0.23963133640553
"304",6.8601,"Yasiel Puig","LAD","RF",0,0.733333333333333,2,5,0,0.230769230769231,0.171428571428571,0.183431952662722
"305",4.81206666666667,"Joc Pederson","LAD","OF",0,0.666666666666667,0,0,0,0.0740740740740741,0,0.189473684210526
"306",4.0235,"Enrique Hernandez","LAD","UT",0,0.25,0,1,0.25,0.222222222222222,0.5,0.375
"307",5.51523333333334,"Austin Barnes","LAD","UT",0,0.666666666666667,0,0,0.5,0.25,0.636363636363636,0.440860215053763
"308",4.3638,"Logan Forsythe","LAD","IF",0,0.875,0,0,0,0,0.1,0.36697247706422
"309",2.33793333333333,"Kyle Farmer","LAD","3B",0,0.333333333333333,0,0,0,0.2,0,0.181818181818182
"310",0.8921,"Breyvic Valera","LAD","UT",0,NA,0,0,0,0,0,0.5
"311",6.38196666666667,"Max Muncy","LAD","CI",0,0.9375,0,5,0,0.0416666666666667,0,0.0769230769230769
"312",3.3937,"Alex Verdugo","LAD","OF",0,NA,0,0,0,0.333333333333333,0,0.277777777777778
"313",1.59376666666667,"Tim Locastro","LAD","CF",0,0,0,0,0,0.333333333333333,0,0.333333333333333
"314",7.2012,"Justin Turner","LAD","3B",0,0.9,0,0,0,0,0.307692307692308,0.309941520467836
