RFPred,Name,HTeam,Pos
5.417944444,Cesar Hernandez,PHI,2B
5.359111111,Orlando Arcia,MIL,SS
5.287166667,Matt Kemp,LAD,LF
5.215722222,Adam Frazier,PIT,UT
5.210555556,Andrew Benintendi,BOS,LF
5.128166667,Scott Kingery,PHI,UT
5.110888889,Josh Reddick,HOU,RF
5.077722222,Alcides Escobar,KCR,SS
4.9775,Rafael Devers,BOS,3B
4.962166667,Brian Goodwin,WSN,OF
4.923277778,Gerardo Parra,COL,LF
4.885111111,Anthony Rizzo,CHC,1B
4.817833333,Pedro Florimon,PHI,UT
4.798888889,Adeiny Hechavarria,TBR,SS
4.777166667,Jarrod Dyson,ARI,OF
4.698611111,Adam Eaton,WSN,LF
4.646777778,Alex Verdugo,LAD,RF
4.524,Miguel Andujar,NYY,3B
4.454666667,Eddie Rosario,MIN,LF
4.439333333,Carlos Gomez,TBR,RF
4.420222222,Tommy La Stella,CHC,IF
4.322833333,Joe Panik,SFG,2B
4.303388889,Mitch Garver,MIN,C
4.283,Miguel Cabrera,DET,1B
4.208,Travis Jankowski,SDP,LF
4.206611111,Max Moroff,PIT,2B
4.151722222,Daniel Descalso,ARI,3B
4.132388889,Aaron Judge,NYY,RF
4.111777778,Robbie Grossman,MIN,UT
4.0765,Victor Caratini,CHC,UT
4.037111111,Jesus Sucre,TBR,C
4.001166667,Travis Shaw,MIL,3B
3.984722222,David Peralta,ARI,LF
3.956333333,Phil Ervin,CIN,OF
3.855833333,Victor Martinez,DET,DH
3.691555556,Wil Myers,SDP,UT
3.586444444,Pedro Severino,WSN,C
3.563777778,Jackie Bradley,BOS,CF
3.5435,Mike Tauchman,COL,OF
3.490277778,Hunter Pence,SFG,LF
3.416444444,Rhys Hoskins,PHI,LF
3.376944444,Carlos Correa,HOU,SS
3.373555556,Josh Harrison,PIT,2B
3.307222222,Rafael Lopez,SDP,
3.293833333,Jorge Alfaro,PHI,C
3.256944444,Odubel Herrera,PHI,CF
3.120444444,Didi Gregorius,NYY,SS
3.107833333,Manny Pina,MIL,C
3.052555556,Logan Forsythe,LAD,3B
3.029444444,Shane Robinson,NYY,UT
2.990277778,Justin Smoak,TOR,1B
2.989388889,Javier Baez,CHC,2B
2.926777778,Devon Travis,TOR,2B
2.896666667,Jacob Nottingham,MIL,C
2.889,Billy Hamilton,CIN,CF
2.834833333,Kris Bryant,CHC,3B
2.721388889,Jon Jay,KCR,LF
2.718111111,Steve Pearce,TOR,UT
2.703277778,TzuWei Lin,BOS,MI
2.669833333,Aledmys Diaz,TOR,SS
2.650222222,Alex Bregman,HOU,3B
2.628555556,Austin Romine,NYY,C
2.595666667,Jason Heyward,CHC,RF
2.53,Jett Bandy,MIL,C
2.511833333,Neil Walker,NYY,1B
2.483888889,Pablo Sandoval,SFG,UT
2.455444444,Lucas Duda,KCR,1B
2.443111111,Hunter Renfroe,SDP,RF
2.418888889,Max Stassi,HOU,C
2.399444444,Ian Happ,CHC,UT
2.38,Brett Gardner,NYY,LF
2.360555556,Jace Peterson,NYY,OF
2.349333333,Adrian Sanchez,WSN,3B
2.322055556,Cory Spangenberg,SDP,UT
2.3045,Christian Walker,ARI,1B
2.300222222,Jeff Mathis,ARI,C
2.2805,Cameron Maybin,MIA,RF
2.246666667,Mitch Moreland,BOS,1B
2.2445,Ryan Zimmerman,WSN,1B
2.198611111,Deven Marrero,ARI,IF
2.185666667,Ryan LaMarre,MIN,UT
2.083277778,Kyle Schwarber,CHC,LF
1.9545,Bryan Holaday,MIA,C
1.940111111,Leonys Martin,DET,CF
1.925111111,Kendrys Morales,TOR,DH
1.911722222,Chris Iannetta,COL,C
1.904388889,Ben Zobrist,CHC,UT
1.869333333,Gregory Polanco,PIT,RF
1.819388889,Starlin Castro,MIA,2B
1.794333333,Efren Navarro,CHC,1B
1.752444444,Andrew Knapp,PHI,C
1.734388889,Nicholas Castellanos,DET,RF
1.702166667,Mikie Mahtook,DET,LF
