RFPred,Name,HTeam,Pos
20.17766667,Wilson Ramos,TBR,C
18.60755556,J.D. Martinez,BOS,DH
17.75538889,Teoscar Hernandez,TOR,LF
16.97622222,Addison Russell,CHC,SS
15.34088889,Aaron Altherr,PHI,RF
14.63861111,Yangervis Solarte,TOR,3B
14.59566667,Ryan Braun,MIL,LF
14.58611111,George Springer,HOU,UT
14.506,Randal Grichuk,TOR,RF
14.19116667,Kevin Pillar,TOR,CF
13.79961111,Scooter Gennett,CIN,2B
13.43672222,Salvador Perez,KCR,UT
13.05788889,Jason Castro,MIN,C
12.73194444,Cheslor Cuthbert,KCR,DH
12.395,Matt Duffy,TBR,3B
12.35294444,Mike Moustakas,KCR,3B
12.31661111,Christian Yelich,MIL,OF
12.22083333,Daniel Robertson,TBR,UT
12.19077778,Joey Votto,CIN,1B
11.53694444,Marwin Gonzalez,HOU,1B
11.37494444,James McCann,DET,C
11.16977778,Adam Duvall,CIN,LF
10.98583333,Elias Diaz,PIT,C
10.78483333,Joey Wendle,TBR,2B
10.55638889,Bryce Harper,WSN,RF
10.52755556,Whit Merrifield,KCR,2B
10.5275,Russell Martin,TOR,C
10.52705556,Willson Contreras,CHC,C
10.51394444,Eugenio Suarez,CIN,3B
10.51227778,Jeimer Candelario,DET,3B
10.47216667,Denard Span,TBR,LF
10.46177778,Aaron Hicks,NYY,CF
10.3095,Miguel Rojas,MIA,SS
10.23616667,Eduardo Escobar,MIN,SS
10.22905556,Jose Peraza,CIN,SS
10.22166667,Gary Sanchez,NYY,C
10.12838889,Miguel Sano,MIN,3B
10.02066667,Francisco Cervelli,PIT,C
9.984888889,Devin Mesoraco,CIN,C
9.776055556,Brian Dozier,MIN,2B
9.638777778,Trea Turner,WSN,SS
9.634277778,Eric Thames,MIL,1B
9.564277778,J.D. Davis,HOU,1B
9.240055556,Curtis Granderson,TOR,UT
9.207444444,Hernan Perez,MIL,UT
9.179833333,John Hicks,DET,C
8.991666667,Mookie Betts,BOS,RF
8.946666667,Abraham Almonte,KCR,CF
8.919166667,Howie Kendrick,WSN,2B
8.913166667,Colin Moran,PIT,3B
8.860444444,C.J. Cron,TBR,DH
8.814944444,Mallex Smith,TBR,OF
8.757555556,Jorge Soler,KCR,RF
8.756944444,Jake Marisnick,HOU,CF
8.653166667,Byron Buxton,MIN,CF
8.647555556,Giancarlo Stanton,NYY,DH
8.577888889,Yuli Gurriel,HOU,UT
8.419277778,Derek Fisher,HOU,LF
8.4075,Josh Donaldson,TOR,UT
8.384444444,Logan Morrison,MIN,DH
8.250833333,Jose Altuve,HOU,2B
8.207666667,Kevin Kiermaier,TBR,CF
8.169,Charlie Blackmon,COL,CF
8.161777778,Lourdes Gurriel,TOR,MI
8.043055556,Ian Desmond,COL,1B
8.026222222,Anthony Rendon,WSN,3B
7.931111111,Matt Wieters,WSN,C
7.845,Eduardo Nunez,BOS,2B
7.819111111,Scott Schebler,CIN,UT
7.692888889,Carlos Gonzalez,COL,RF
7.670666667,Xander Bogaerts,BOS,SS
7.669222222,Victor Reyes,DET,UT
7.655888889,Michael Taylor,WSN,CF
7.599277778,Brock Holt,BOS,UT
7.344944444,Alex Gordon,KCR,OF
7.098722222,Nolan Arenado,COL,3B
7.019833333,Ehire Adrianza,MIN,SS
7.009333333,Hanley Ramirez,BOS,UT
6.976388889,Lorenzo Cain,MIL,CF
6.941055556,Jesse Winker,CIN,RF
6.907388889,Dixon Machado,DET,2B
6.835611111,Maikel Franco,PHI,3B
6.772166667,JB Shuck,MIA,OF
6.767333333,Gleyber Torres,NYY,2B
6.756,Brad Miller,TBR,1B
6.741722222,Lewis Brinson,MIA,CF
6.736833333,Joe Mauer,MIN,1B
6.736611111,David Freese,PIT,CI
6.735555556,Justin Bour,MIA,1B
6.680055556,Luke Maile,TOR,C
6.612777778,Wilmer Difo,WSN,IF
6.340833333,Starling Marte,PIT,CF
6.302055556,Jose Iglesias,DET,SS
6.200055556,Andrew Stevenson,WSN,OF
6.164555556,Josh Bell,PIT,1B
6.147777778,J.T. Realmuto,MIA,UT
6.050333333,J.P. Crawford,PHI,SS
6.027388889,Brian Anderson,MIA,3B
6.006888889,Niko Goodrum,DET,UT
5.972166667,Alex Blandino,CIN,IF
5.969666667,Cliff Pennington,CIN,IF
5.882777778,Corey Dickerson,PIT,LF
5.810111111,Sandy Leon,BOS,C
5.808444444,Carlos Santana,PHI,1B
5.807388889,Josh Reddick,HOU,RF
5.737222222,Cesar Hernandez,PHI,2B
5.598666667,Tyler Austin,NYY,1B
5.547777778,DJ LeMahieu,COL,2B
5.527833333,Jordy Mercer,PIT,SS
5.435777778,Tucker Barnhart,CIN,C
5.375333333,JaCoby Jones,DET,LF
5.310666667,Gerardo Parra,COL,LF
5.216444444,Carlos Gomez,TBR,RF
5.201666667,Scott Kingery,PHI,UT
5.0865,Brandon Drury,NYY,3B
5.028888889,Adeiny Hechavarria,TBR,SS
5.010888889,Brian Goodwin,WSN,OF
4.990722222,Andrew Benintendi,BOS,LF
4.9045,Eddie Rosario,MIN,LF
4.881888889,Alcides Escobar,KCR,SS
4.856944444,Rafael Devers,BOS,3B
4.809166667,Mitch Garver,MIN,C
4.801944444,Adam Frazier,PIT,UT
4.800666667,Pedro Florimon,PHI,UT
4.795833333,Adam Eaton,WSN,LF
4.711277778,Orlando Arcia,MIL,SS
4.545611111,Anthony Rizzo,CHC,1B
4.536277778,Jesus Sucre,TBR,C
4.410833333,Domingo Santana,MIL,RF
4.393388889,Robbie Grossman,MIN,UT
4.349777778,Aaron Judge,NYY,RF
4.172388889,Max Moroff,PIT,2B
4.138388889,Javier Baez,CHC,2B
4.102888889,Tommy La Stella,CHC,IF
4.018833333,Victor Martinez,DET,DH
4.017888889,Victor Caratini,CHC,UT
4.011722222,Rhys Hoskins,PHI,LF
3.884,Pedro Severino,WSN,C
3.698111111,Carlos Correa,HOU,SS
3.651222222,Travis Shaw,MIL,3B
