"Semien, M",543760,https://baseballsavant.mlb.com/player?player_id=543760&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,SS
"Schoop, J",570731,https://baseballsavant.mlb.com/player?player_id=570731&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,2B
"Gallo, J",608336,https://baseballsavant.mlb.com/player?player_id=608336&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,3B
"Jones, A",430945,https://baseballsavant.mlb.com/player?player_id=430945&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,CF
"Cozart, Z",446359,https://baseballsavant.mlb.com/player?player_id=446359&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,SS
"Lowrie, J",476704,https://baseballsavant.mlb.com/player?player_id=476704&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,2B
"Andrus, E",462101,https://baseballsavant.mlb.com/player?player_id=462101&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,SS
"Beckham, T",542921,https://baseballsavant.mlb.com/player?player_id=542921&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,3B
"Pirela, J",517369,https://baseballsavant.mlb.com/player?player_id=517369&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,LF
"Gardner, B",458731,https://baseballsavant.mlb.com/player?player_id=458731&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,LF
"Machado, M",592518,https://baseballsavant.mlb.com/player?player_id=592518&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,SS
"Pujols, A",405395,https://baseballsavant.mlb.com/player?player_id=405395&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,DH
"Simmons, A",592743,https://baseballsavant.mlb.com/player?player_id=592743&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,SS
"Stanton, G",519317,https://baseballsavant.mlb.com/player?player_id=519317&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,RF
"Albies, O",645277,https://baseballsavant.mlb.com/player?player_id=645277&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,2B
"Brinson, L",621446,https://baseballsavant.mlb.com/player?player_id=621446&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,CF
"Cain, L",456715,https://baseballsavant.mlb.com/player?player_id=456715&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,CF
"Calhoun, K",594777,https://baseballsavant.mlb.com/player?player_id=594777&pos=SS&player_type=batter&season=2018&tab=zone_chart_tab#,RF
