"Givens, M",571710,https://baseballsavant.mlb.com/player?player_id=434718&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Grace, M",594840,https://baseballsavant.mlb.com/player?player_id=543169&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Grimm, J",518748,https://baseballsavant.mlb.com/player?player_id=641490&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Guerrero, T",594027,https://baseballsavant.mlb.com/player?player_id=643603&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Hand, B",543272,https://baseballsavant.mlb.com/player?player_id=600986&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Harris, W",501789,https://baseballsavant.mlb.com/player?player_id=445055&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Hicks, J",663855,https://baseballsavant.mlb.com/player?player_id=430947&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Jeffress, J",502026,https://baseballsavant.mlb.com/player?player_id=457732&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Jennings, D",543359,https://baseballsavant.mlb.com/player?player_id=592341&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Johnson, J",462382,https://baseballsavant.mlb.com/player?player_id=541650&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Kimbrel, C",518886,https://baseballsavant.mlb.com/player?player_id=519048&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Kontos, G",502004,https://baseballsavant.mlb.com/player?player_id=543031&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Leone, D",608678,https://baseballsavant.mlb.com/player?player_id=656945&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Loup, A",571901,https://baseballsavant.mlb.com/player?player_id=613534&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Lyons, T",544928,https://baseballsavant.mlb.com/player?player_id=518614&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"McGee, J",459429,https://baseballsavant.mlb.com/player?player_id=592753&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Middleton, K",641871,https://baseballsavant.mlb.com/player?player_id=621056&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Milner, H",571948,https://baseballsavant.mlb.com/player?player_id=474039&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Morgan, A",605388,https://baseballsavant.mlb.com/player?player_id=446899&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Moylan, P",493247,https://baseballsavant.mlb.com/player?player_id=544727&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Neverauskas, D",596720,https://baseballsavant.mlb.com/player?player_id=435221&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Olson, T",621397,https://baseballsavant.mlb.com/player?player_id=572096&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Osich, J",592612,https://baseballsavant.mlb.com/player?player_id=641816&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Osuna, R",532077,https://baseballsavant.mlb.com/player?player_id=518693&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Ottavino, A",493603,https://baseballsavant.mlb.com/player?player_id=502154&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Parker, B",453284,https://baseballsavant.mlb.com/player?player_id=592222&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Poyner, B",596074,https://baseballsavant.mlb.com/player?player_id=642229&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Ramirez, N",598287,https://baseballsavant.mlb.com/player?player_id=650828&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Ramos, E",591693,https://baseballsavant.mlb.com/player?player_id=541652&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Roe, C",475054,https://baseballsavant.mlb.com/player?player_id=606983&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Rusin, C",543734,https://baseballsavant.mlb.com/player?player_id=518715&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
"Santana, E",650828,https://baseballsavant.mlb.com/player?player_id=623184&pos=P&player_type=pitcher&season=2017&tab=zone_chart_tab#
